Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
RYLD,25.28,2021/09/03,16:00 EDT,0.0100002,25.28,25.3,25.25,283115,,,,,,,
RDVY,49.43,2021/09/03,16:00 EDT,-0.13000107,49.46,49.5176,49.34,695520,,,,,,,
ZFL.TO,18.11,2021/09/03,15:30 EDT,-0.09000015,18.1,18.12,18.09,13762,,,,,,,
ZGB.TO,52.95,2021/09/03,15:42 EDT,-0.05999756,52.92,52.95,52.92,15769,,,,,,,
XYLD,49.9,2021/09/03,16:00 EDT,0.100002,49.86,50.0,49.8,145515,,,,,,,
ZWU.TO,13.06,2021/09/03,15:59 EDT,-0.019999504,13.08,13.08,13.03,158919,,,,,,,
CIC.TO,12.57,2021/09/03,15:58 EDT,0.009999275,12.58,12.58,12.52,25429,,,,,,,
ZWB.TO,20.73,2021/09/03,15:59 EDT,-0.020000458,20.78,20.78,20.67,80560,,,,,,,
VCN.TO,42.08,2021/09/03,15:59 EDT,0.060001373,42.09,42.11,42.0,74952,,,,,,,
ZAG.TO,15.995,2021/09/03,15:58 EDT,-0.025000572,15.98,16.0,15.98,50556,,,,,,,
VONV,71.73,2021/09/03,16:00 EDT,-0.26999664,71.92,71.92,71.635,205895,,,,,,,
VOOV,146.35,2021/09/03,15:59 EDT,-0.589996,146.71,146.68,146.13,54862,,,,,,,
VTI,234.29,2021/09/03,16:00 EDT,-0.0800018,234.0,234.5,233.63,2475822,,,,,,,
VOO,416.57,2021/09/03,16:00 EDT,-0.160004,415.58,417.0593,415.18,3695902,,,,,,,
QQQ,381.57,2021/09/03,16:00 EDT,1.1700134,379.22,381.98,379.2003,23210948,,,,,,,
VYM,107.58,2021/09/03,16:00 EDT,-0.349998,107.77,107.88,107.42,565919,,,,,,,
IWM,227.96,2021/09/03,16:00 EDT,-1.06,228.25,228.97,227.19,17281740,,,,,,,
ARKK,125.07,2021/09/03,16:00 EDT,0.239998,124.52,125.605,123.87,3904005,,,,,,,
SPY,453.08,2021/09/03,16:00 EDT,-0.110016,451.98,453.63,451.55,40152897,,,,,,,
