Country,Amount,Date,Year Gross Salary
Switzerland,"$6,302",2014,"$94,526"
Luxembourg,"$4,480",2014,"$67,197"
Zambia,"$4,331",2014,"$64,965"
Jersey,"$4,323",2014,"$64,849"
Bermuda,"$4,250",2014,"$63,750"
Norway,"$4,215",2014,"$63,231"
Monaco,"$4,143",2013,"$62,142"
Qatar,"$4,038",2014,"$60,571"
Gibraltar,"$3,991",2014,"$59,860"
Australia,"$3,781",2014,"$56,710"
Cayman Islands,"$3,313",2014,"$49,695"
Denmark,"$3,270",2014,"$49,044"
United States of America,"$3,259",2014,"$48,883"
British Virgin Islands,"$3,200",2014,"$48,000"
Sweden,"$3,181",2014,"$47,717"
United Arab Emirates,"$3,081",2014,"$46,220"
The Bahamas,"$3,025",2014,"$45,375"
Ireland,"$2,991",2014,"$44,868"
United Kingdom of Great Britain and Northern Ireland,"$2,961",2014,"$44,408"
Netherlands,"$2,938",2014,"$44,064"
Finland,"$2,924",2014,"$43,862"
Germany,"$2,852",2014,"$42,778"
Aruba,"$2,833",2014,"$42,500"
Japan,"$2,782",2014,"$41,736"
Canada,"$2,774",2014,"$41,603"
France,"$2,762",2014,"$41,430"
Singapore,"$2,759",2014,"$41,391"
Guam,"$2,750",2013,"$41,250"
Greenland,"$2,745",2013,"$41,173"
Andorra,"$2,731",2014,"$40,967"
New Zealand,"$2,693",2014,"$40,396"
Angola,"$2,650",2014,"$39,750"
Belgium,"$2,565",2014,"$38,473"
Hong Kong (S.A.R.),"$2,496",2014,"$37,438"
Guernsey,"$2,495",2014,"$37,431"
Faroe Islands,"$2,470",2014,"$37,055"
Austria,"$2,457",2014,"$36,860"
New Caledonia,"$2,425",2013,"$36,380"
Kuwait,"$2,237",2014,"$33,551"
Brunei,"$2,228",2014,"$33,423"
Iceland,"$2,176",2014,"$32,642"
South Korea,"$2,174",2014,"$32,615"
Italy,"$2,118",2014,"$31,766"
Oman,"$2,087",2014,"$31,307"
Reunion,"$1,912",2014,"$28,677"
Israel,"$1,875",2014,"$28,119"
Saudi Arabia,"$1,786",2014,"$26,791"
Gabon,"$1,704",2014,"$25,562"
Puerto Rico,"$1,704",2014,"$25,553"
Spain,"$1,635",2014,"$24,527"
Barbados,"$1,625",2014,"$24,375"
Cyprus,"$1,619",2014,"$24,283"
Malta,"$1,562",2014,"$23,433"
French Polynesia,"$1,502",2013,"$22,532"
Belize,"$1,441",2014,"$21,615"
South Africa,"$1,400",2014,"$21,000"
Mauritius,"$1,338",2014,"$20,066"
Taiwan,"$1,307",2014,"$19,611"
Slovenia,"$1,276",2014,"$19,135"
Grenada,"$1,250",2014,"$18,750"
Bahrain,"$1,227",2014,"$18,402"
Curacao,"$1,102",2013,"$16,527"
Malawi,"$1,099",2013,"$16,485"
Equatorial Guinea,"$1,088",2013,"$16,313"
Portugal,"$1,082",2014,"$16,226"
Jamaica,"$1,080",2014,"$16,207"
Czech Republic,"$1,020",2014,"$15,307"
Argentina,"$1,019",2014,"$15,279"
Lesotho,"$1,018",2014,"$15,267"
Malaysia,$980,2014,"$14,694"
Greece,$953,2014,"$14,302"
Chile,$950,2014,"$14,243"
Slovakia,$948,2014,"$14,219"
Lebanon,$937,2014,"$14,057"
Estonia,$915,2014,"$13,725"
Poland,$906,2014,"$13,584"
Croatia,$870,2014,"$13,046"
Uruguay,$863,2014,"$12,939"
Isle of Man,$831,2013,"$12,471"
Suriname,$808,2014,"$12,120"
Swaziland,$787,2014,"$11,804"
Costa Rica,$779,2014,"$11,686"
Panama,$770,2014,"$11,553"
Brazil,$758,2014,"$11,369"
Mozambique,$757,2014,"$11,358"
Turkey,$756,2014,"$11,341"
Nigeria,$732,2014,"$10,975"
China,$731,2014,"$10,967"
Mexico,$730,2014,"$10,949"
Trinidad and Tobago,$719,2014,"$10,792"
Latvia,$713,2014,"$10,697"
Haiti,$713,2014,"$10,688"
Fiji,$710,2014,"$10,653"
Lithuania,$701,2014,"$10,519"
Russia,$686,2014,"$10,292"
Hungary,$668,2014,"$10,014"
Sudan,$650,2014,"$9,750"
Libya,$644,2014,"$9,661"
Jordan,$637,2014,"$9,555"
Namibia,$633,2014,"$9,495"
Tanzania,$633,2014,"$9,490"
Maldives,$627,2014,"$9,410"
Kazakhstan,$614,2014,"$9,214"
Nicaragua,$593,2014,"$8,888"
Montenegro,$590,2014,"$8,847"
Iraq,$573,2014,"$8,593"
Guatemala,$571,2014,"$8,562"
Venezuela,$565,2014,"$8,471"
Bolivia,$564,2014,"$8,463"
Bosnia and Herzegovina,$562,2014,"$8,437"
Madagascar,$533,2014,"$8,000"
Botswana,$529,2014,"$7,933"
Azerbaijan,$525,2014,"$7,873"
Honduras,$523,2014,"$7,843"
Dominica,$514,2013,"$7,708"
Serbia,$507,2014,"$7,606"
Bulgaria,$507,2014,"$7,601"
Thailand,$503,2014,"$7,542"
Belarus,$502,2014,"$7,533"
Zimbabwe,$500,2014,"$7,500"
Peru,$492,2014,"$7,382"
Dominican Republic,$491,2014,"$7,371"
Romania,$487,2014,"$7,306"
Kenya,$481,2014,"$7,218"
Colombia,$475,2014,"$7,120"
Cameroon,$467,2014,"$7,001"
Mongolia,$465,2014,"$6,973"
Rwanda,$460,2014,"$6,900"
India,$452,2014,"$6,782"
"Iran, Islamic Republic of...",$448,2014,"$6,714"
Albania,$434,2014,"$6,513"
Paraguay,$426,2014,"$6,384"
Saint Lucia,$421,2014,"$6,317"
Morocco,$416,2014,"$6,234"
Mali,$400,2014,"$6,000"
Tunisia,$393,2014,"$5,895"
Republic of Macedonia,$387,2014,"$5,803"
Uganda,$380,2014,"$5,697"
Turkmenistan,$373,2013,"$5,600"
El Salvador,$365,2014,"$5,475"
Uzbekistan,$361,2014,"$5,411"
Ecuador,$359,2014,"$5,389"
Ukraine,$358,2014,"$5,366"
Sri Lanka,$353,2014,"$5,289"
Democratic Republic of the Congo,$352,2014,"$5,277"
Ghana,$351,2014,"$5,268"
Somalia,$350,2014,"$5,250"
Kyrgyzstan,$350,2014,"$5,250"
Algeria,$346,2014,"$5,197"
Bangladesh,$340,2014,"$5,103"
Viet Nam,$335,2014,"$5,019"
Philippines,$331,2014,"$4,961"
Armenia,$313,2014,"$4,693"
Indonesia,$304,2014,"$4,564"
Georgia,$299,2014,"$4,491"
Burma,$282,2014,"$4,224"
Laos,$281,2014,"$4,220"
Papua New Guinea,$274,2014,"$4,112"
Seychelles,$267,2014,"$4,008"
Egypt,$264,2014,"$3,965"
Burundi,$256,2013,"$3,844"
Syria,$252,2014,"$3,776"
Ethiopia,$249,2014,"$3,735"
Moldova,$244,2014,"$3,661"
Cambodia,$244,2014,"$3,659"
Pakistan,$239,2014,"$3,590"
Yemen,$229,2014,"$3,435"
Afghanistan,$214,2014,"$3,204"
Guyana,$209,2014,"$3,140"
Senegal,$200,2014,"$3,000"
Cape Verde,$191,2014,"$2,868"
Tajikistan,$187,2013,"$2,809"
Nepal,$166,2014,"$2,497"
Samoa,$64,2013,$957
Gambia,$39,2014,$591
Cuba,$25,2014,$376
Other,"$1,142",2014,"$16,900"
Republic of Korea,$214,2014,"$3,204"
