Country,Amount,Date
"Switzerland","$6,301.73",2014
"Luxembourg","$4,479.80",2014
"Zambia","$4,330.98",2014
"Jersey","$4,323.25",2014
"Bermuda","$4,250.00",2014
"Norway","$4,215.43",2014
"Monaco","$4,142.78",2013
"Qatar","$4,038.08",2014
"Gibraltar","$3,990.69",2014
"Australia","$3,780.69",2014
"Cayman Islands","$3,313.01",2014
"Denmark","$3,269.62",2014
"United States","$3,258.85",2014
"British Virgin Islands","$3,200.00",2014
"Sweden","$3,181.11",2014
"United Arab Emirates","$3,081.34",2014
"The Bahamas","$3,025.00",2014
"Ireland","$2,991.21",2014
"United Kingdom","$2,960.54",2014
"Netherlands","$2,937.58",2014
"Finland","$2,924.10",2014
"Germany","$2,851.85",2014
"Aruba","$2,833.33",2014
"Japan","$2,782.43",2014
"Canada","$2,773.50",2014
"France","$2,761.99",2014
"Singapore","$2,759.38",2014
"Guam","$2,750.00",2013
"Greenland","$2,744.84",2013
"Andorra","$2,731.12",2014
"New Zealand","$2,693.05",2014
"Angola","$2,650.03",2014
"Belgium","$2,564.89",2014
"Hong Kong","$2,495.86",2014
"Guernsey","$2,495.43",2014
"Faroe Islands","$2,470.36",2014
"Austria","$2,457.33",2014
"New Caledonia","$2,425.32",2013
"Kuwait","$2,236.71",2014
"Brunei","$2,228.21",2014
"Iceland","$2,176.15",2014
"South Korea","$2,174.36",2014
"Italy","$2,117.76",2014
"Oman","$2,087.14",2014
"Reunion","$1,911.78",2014
"Israel","$1,874.63",2014
"Saudi Arabia","$1,786.07",2014
"Gabon","$1,704.12",2014
"Puerto Rico","$1,703.52",2014
"Spain","$1,635.15",2014
"Barbados","$1,625.00",2014
"Cyprus","$1,618.85",2014
"Malta","$1,562.20",2014
"French Polynesia","$1,502.12",2013
"Belize","$1,441.00",2014
"South Africa","$1,400.01",2014
"Mauritius","$1,337.74",2014
"Taiwan","$1,307.43",2014
"Slovenia","$1,275.66",2014
"Grenada","$1,250.00",2014
"Bahrain","$1,226.79",2014
"Curacao","$1,101.83",2013
"Malawi","$1,098.99",2013
"Equatorial Guinea","$1,087.50",2013
"Portugal","$1,081.73",2014
"Jamaica","$1,080.44",2014
"Czech Republic","$1,020.48",2014
"Argentina","$1,018.58",2014
"Lesotho","$1,017.82",2014
"Malaysia","$979.60",2014
"Greece","$953.44",2014
"Chile","$949.50",2014
"Slovakia","$947.95",2014
"Lebanon","$937.16",2014
"Estonia","$914.97",2014
"Poland","$905.62",2014
"Croatia","$869.71",2014
"Uruguay","$862.60",2014
"Isle of Man","$831.39",2013
"Suriname","$808.02",2014
"Swaziland","$786.93",2014
"Costa Rica","$779.04",2014
"Panama","$770.21",2014
"Brazil","$757.92",2014
"Mozambique","$757.22",2014
"Turkey","$756.06",2014
"Nigeria","$731.68",2014
"China","$731.14",2014
"Mexico","$729.94",2014
"Trinidad and Tobago","$719.49",2014
"Latvia","$713.11",2014
"Haiti","$712.50",2014
"Fiji","$710.22",2014
"Lithuania","$701.28",2014
"Russia","$686.16",2014
"Hungary","$667.58",2014
"Sudan","$650.00",2014
"Libya","$644.09",2014
"Jordan","$636.99",2014
"Namibia","$633.02",2014
"Tanzania","$632.67",2014
"Maldives","$627.30",2014
"Kazakhstan","$614.24",2014
"Nicaragua","$592.50",2014
"Montenegro","$589.82",2014
"Iraq","$572.85",2014
"Guatemala","$570.79",2014
"Venezuela","$564.76",2014
"Bolivia","$564.23",2014
"Bosnia and Herzegovina","$562.45",2014
"Madagascar","$533.33",2014
"Botswana","$528.84",2014
"Azerbaijan","$524.84",2014
"Honduras","$522.86",2014
"Dominica","$513.89",2013
"Serbia","$507.08",2014
"Bulgaria","$506.76",2014
"Thailand","$502.78",2014
"Belarus","$502.19",2014
"Zimbabwe","$500.00",2014
"Peru","$492.13",2014
"Dominican Republic","$491.37",2014
"Romania","$487.08",2014
"Kenya","$481.21",2014
"Colombia","$474.66",2014
"Cameroon","$466.74",2014
"Mongolia","$464.89",2014
"Rwanda","$460.00",2014
"India","$452.11",2014
"Iran","$447.61",2014
"Albania","$434.19",2014
"Paraguay","$425.61",2014
"Saint Lucia","$421.11",2014
"Morocco","$415.59",2014
"Mali","$400.00",2014
"Tunisia","$393.03",2014
"Republic of Macedonia","$386.85",2014
"Uganda","$379.79",2014
"Turkmenistan","$373.33",2013
"El Salvador","$365.00",2014
"Uzbekistan","$360.72",2014
"Ecuador","$359.29",2014
"Ukraine","$357.71",2014
"Sri Lanka","$352.62",2014
"Democratic Republic of the Congo","$351.83",2014
"Ghana","$351.22",2014
"Somalia","$350.00",2014
"Kyrgyzstan","$350.00",2014
"Algeria","$346.48",2014
"Bangladesh","$340.22",2014
"Vietnam","$334.60",2014
"Philippines","$330.73",2014
"Armenia","$312.89",2014
"Indonesia","$304.25",2014
"Georgia","$299.37",2014
"Burma","$281.62",2014
"Laos","$281.33",2014
"Papua New Guinea","$274.10",2014
"Seychelles","$267.21",2014
"Egypt","$264.33",2014
"Burundi","$256.25",2013
"Syria","$251.75",2014
"Ethiopia","$249.00",2014
"Moldova","$244.09",2014
"Cambodia","$243.94",2014
"Pakistan","$239.31",2014
"Yemen","$229.00",2014
"Afghanistan","$213.58",2014
"Guyana","$209.33",2014
"Senegal","$200.00",2014
"Cape Verde","$191.18",2014
"Tajikistan","$187.27",2013
"Nepal","$166.49",2014
"Samoa","$63.82",2013
"Gambia","$39.37",2014
"Cuba","$25.05",2014
