EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
128628058,GB / Ling 5th Dec,6f Sell Stks,05-12-2016 13:25,11090822,Baby Gal,0,5.267356839,5.19577994045459027702640439078783032163,3.5258622458357001254278575439364943344,6.8,3.61,1000,4.9,1070.1,145579.36,2761.52
128628058,GB / Ling 5th Dec,6f Sell Stks,05-12-2016 13:25,11822604,Hollywood Style,0,34,31.680119451394735554796884226271649917,26.692288220132811527648234626347954661,40.26,20.13,1000,30,21.82,12760.16,746.68
128628063,GB / Ling 5th Dec,1m2f Hcap,05-12-2016 13:55,5623017,Ocean Tempest,0,112.33706459526584,86.3959519520764153194835727313496618992,47.598541736095080317108945340484121601,160,45.1,1000,65,154.48,4279.2,425.62
128628043,GB / Ling 5th Dec,1m2f Mdn Stks,05-12-2016 11:50,11944679,Serenade The Stars,0,46,69.3583784067468759468936136307745438515,108.856040910690783879957776183478392164,240,44,1000,30,193.82,4163.62,386.62
128628048,GB / Ling 5th Dec,5f Hcap,05-12-2016 12:20,4724640,Diamond Charlie,0,12.5,11.5161457474202520218383202688815008342,9.6182597462430301404069393858447589998,13.5,8.25,1000,10,1449.24,24427,1177.8
128628048,GB / Ling 5th Dec,5f Hcap,05-12-2016 12:20,5575066,Noble Act,0,13.797957241857658,17.919753422327403184435733112872728756,21.4396976593585826470548741855089985413,24,13,1000,4.6,242.78,14572.64,1628.54
128628048,GB / Ling 5th Dec,5f Hcap,05-12-2016 12:20,8463795,Bahango,0,25.734092342,25.5991698309060321839657347925067525515,18.879714012554596924216760701890568147,32,18,980,9.6,409.28,11750.08,1076.66
128628053,GB / Ling 5th Dec,5f Mdn Stks,05-12-2016 12:50,1128130,Little Miss Daisy,1,47.05341875945887,80.0208232044705177613795310539631840994,44.1183878709292474734583616801659925347,150,34,300,1.01,86.66,3932.9,48919
128628053,GB / Ling 5th Dec,5f Mdn Stks,05-12-2016 12:50,11454324,Street Jazz,0,7.735767892751683,7.15338368804411946137109316866145290385,6.46736850095176238545031929998330763548,8.2,6,1000,3.45,2047.66,56497.6,6194.96
128628068,GB / Ling 5th Dec,5f Hcap,05-12-2016 14:30,6320898,Top Boy,0,40,29.5870161444846024238553219586147510765,16.4903701429623325545999523198460495288,42,14,1000,34,673.78,13657.64,460.36
128628078,GB / Ling 5th Dec,6f Hcap,05-12-2016 15:30,5707859,Ghost Train,0,7.606158906156573,9.03249785254688437703719517102677625921,11.7296460431035630624487672025580605591,13.5,7,1000,9.8,527.56,63963.44,839.68
128628650,GB / Ayr 5th Dec,2m4f Nov Hrd,05-12-2016 12:10,1020280,Vertigo,0,25.386340905842367,26.604781406307671843366408467416297266,27.7337851632465377341705388269353142131,60,17.5,1000,9.6,463.7,14593.3,6134.32
128628655,GB / Ayr 5th Dec,2m3f Hcap Hrd,05-12-2016 12:40,3244003,Parc Des Princes,0,10.764518243329437,11.1463648715573674045452289564151568611,12.0952322495189956830469034684049937195,14,9.6,1000,8,296.34,24802.54,4531.12
