Category: All categories

Region,Bitcoin: (8/14/19 - 8/14/20)
Utah,100
Nevada,99
Colorado,98
Washington,95
Nebraska,90
Illinois,89
Florida,88
Idaho,87
California,86
Oregon,85
Arizona,85
Missouri,83
Michigan,82
Ohio,81
New Mexico,80
Wisconsin,80
New York,80
Wyoming,79
Hawaii,79
Minnesota,79
Pennsylvania,78
Texas,77
North Carolina,77
Montana,77
Indiana,74
Tennessee,74
Georgia,74
New Jersey,73
Kansas,72
Oklahoma,71
Maryland,70
South Dakota,69
Massachusetts,69
North Dakota,69
Virginia,69
Alabama,68
Connecticut,67
Rhode Island,67
Kentucky,67
Iowa,66
Alaska,65
New Hampshire,65
Louisiana,62
South Carolina,60
West Virginia,60
Maine,59
District of Columbia,59
Vermont,59
Arkansas,59
Delaware,58
Mississippi,47
