Rank,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
1,Afghanistan,20.37,2.72,12.09,14.92,12.41,23.04
2,Albania,35.5,8.47,22.83,29.32,25.82,30.19
3,Algeria,26.87,4.59,16.43,28.82,14.48,24.63
4,Argentina,34.69,7.71,22.04,28.17,33.32,30.72
5,Armenia,33.89,11.61,23.45,27.59,30.55,28.86
6,Australia,77.75,36.84,58.57,77.44,72.95,104.63
7,Austria,71.04,27.13,50.46,65.88,66.03,77.25
8,Azerbaijan,29.73,7.86,19.48,26.57,26.73,27.26
9,Bahamas,84,35.34,61.19,70.59,89.09,45.07
10,Bahrain,54.77,29.22,42.79,44.59,48.94,61.41
11,Bangladesh,33.13,4.42,19.67,30.41,21.7,25.3
12,Barbados,92.37,21.99,59.38,87.81,78.18,32.08
13,Belarus,30.89,9.81,21.01,27.24,31.64,31.78
14,Belgium,72.61,25.79,50.67,63.32,78.63,79.72
15,Belize,51.3,11.64,32.71,48.76,36.6,45.73
16,Bermuda,146.04,98.58,123.8,148.66,159.17,81.07
17,Bolivia,34.77,10.18,23.24,31.26,24.97,36.04
18,Bosnia And Herzegovina,36.12,6.82,22.39,31.14,25.34,44.1
19,Botswana,40.17,10.21,26.12,35.16,42.5,62.63
20,Brazil,33.24,8.27,21.54,28.16,25.24,27.85
21,Bulgaria,38.38,9.07,24.64,34.02,32.44,45.96
22,Cambodia,49.11,15.68,33.44,50.61,22.9,13.32
23,Cameroon,39.48,6.91,24.22,40.41,26.33,15.37
24,Canada,70.22,34.33,53.4,70.01,67.86,87.98
25,Chile,43.9,13.51,29.66,38.87,43.26,33.27
26,China,41.77,16.53,29.93,46.01,28.37,59.99
27,Colombia,26.72,8.18,18.03,23.47,19.44,28.85
28,Costa Rica,47.01,14.7,31.87,45.54,41.69,39.88
29,Croatia,48.94,13.38,32.27,41.98,41.29,47.55
30,Cuba,55,15.23,36.36,47.93,33.54,1.45
31,Cyprus,59.03,22.36,41.84,49.2,61.15,57.31
32,Czech Republic,48.24,18.4,34.25,42.76,36.72,66.47
33,Denmark,84.12,33.23,60.26,68.6,98.75,99.45
34,Dominican Republic,41.77,9.59,26.68,38.45,34.3,21.07
35,Ecuador,37.34,11.28,25.12,34.49,28.55,31.76
36,Egypt,29.52,5.82,18.41,27.42,23.42,21.54
37,El Salvador,44.37,13.19,29.75,44.32,35.47,21.17
38,Estonia,53.68,16.37,36.19,42.29,56.43,63.46
39,Ethiopia,47.49,16.88,33.14,36.68,18.03,10.15
40,Fiji,43.16,17.76,31.26,48.06,37.42,35.87
41,Finland,73.2,25.95,51.05,65.16,77.65,91.02
42,France,74.13,25.33,51.26,73.64,71.84,85.41
43,Georgia,30.18,9.26,20.37,26.44,27.88,31.15
44,Germany,65.58,27.62,47.78,52.31,60.91,103.08
45,Ghana,36.2,19.31,28.28,37.53,30.06,16.82
46,Greece,56.22,12.68,35.81,44.73,52.19,39.73
47,Guatemala,43.49,15.6,30.42,41.92,32.59,26.35
48,Guernsey,83.59,54.02,69.73,76.76,89.98,71.57
49,Honduras,40.46,10.28,26.31,34.73,28.67,32.09
50,Hong Kong,80.71,74.57,77.83,84.72,58.58,65.74
51,Hungary,40.66,11.91,27.18,35.19,32.82,51.98
52,Iceland,94.86,41.93,70.05,90.22,99.42,77.06
53,India,24.43,5.3,15.47,26.43,17.56,49.72
54,Indonesia,35.85,9.82,23.65,38.29,17.74,21.07
55,Iran,37.39,17.05,27.85,29.46,25.18,17.98
