,France,Germany,Italy,Spain,UK,Japan,Canada,USA
1998,12.4,12.5,12.2,11.8,12.6,13.7,13.2,12
1999,17.5,17.5,17.1,17,18,17.4,17.9,17.1
2000,28.2,28.1,27.8,27.2,28.5,28.7,29.1,27.5
2001,24.1,24.2,23.9,23.3,24.5,25,24.9,22.1
2002,24.6,24.4,24.3,24,24.6,25,25,23.5
2003,28.9,28.4,28.6,28.1,29.1,29.3,29.5,27.7
2004,37.6,36.7,36.6,36,37.8,36.6,38.1,35.9
2005,52.7,52.3,51.3,50.5,53.8,51.6,52.4,48.8
2006,63.7,63.3,62.5,61,65,64,64.3,59.2
2007,72.2,71.6,70.2,68.7,73.8,70.1,70,66.8
2008,97.6,96.7,96.7,94.9,99.3,101,101.4,95
2009,61.6,61.2,60.7,59.8,62.4,61.3,60.3,58.8
2010,79.8,78.5,79.3,77.8,80.6,79.4,79.1,76
2011,111.8,110.6,110.2,108.5,113.5,109.3,110.8,102.4
2012,112,112.2,112.2,109.5,112.6,114.8,110.6,101.2
2013,109.6,109.6,110,106.8,110.3,110.6,108.6,97.3
2014,99.4,99.8,99.1,97.1,100.1,104.2,98.6,89.4
2015,53.1,52.7,52.1,49.5,53.8,54.2,53.5,45.8
2016,43.5,42.8,42.3,40.1,44.6,41.8,43.6,37.9
2017,54.5,54,53.2,51.7,54.7,54.4,54.3,48.1
2Q2015        ,61.8,61.7,61,57.6,62.2,60.7,60.3,54.4
3Q2015        ,51.7,50.8,50.8,48.3,52,56.3,52.8,45.3
4Q2015        ,44.5,43.4,42.8,41.3,45.4,45.1,44.9,37.8
1Q2016        ,34.4,33.2,32.5,30.8,35.1,32.2,35.9,28.1
2Q2016        ,44,44.2,43.6,41.6,45.7,42,44.3,38.8
3Q2016        ,45.9,45.1,44.6,42.2,46.6,46,45.9,40.8
4Q2016        ,48.9,48.4,47.5,45.7,49.4,47.6,48.8,43.6
1Q2017        ,53.9,53.3,52.5,51.1,54.5,55.2,54.5,47.2
2Q2017        ,49.7,50.3,49,47.8,50.5,52.8,51.2,45.7
3Q2017        ,51.6,51.3,50.4,49.4,52,49.9,51.3,46.2
4Q2017        ,62,61,60.3,58.6,61.7,59.7,60.7,53.6
1Q2018        ,67.5,66.7,66.7,65.5,68.3,66.8,67,56.9
2Q2018        ,73.7,73.3,72.3,69.9,74.9,71.7,72.8,62.8
Jul-16,45.7,45,44.4,42.5,46.1,47.3,46.8,42
Aug-16,45.3,44.8,44.8,41.2,46,44.9,44.5,40.2
Sep-16,46.8,45.6,44.7,42.9,47.7,45.7,46.6,40.3
Oct-16,48.1,47.9,48.3,45.2,49.2,45.7,48.6,43.4
Nov-16,46.1,45.4,43.8,43.5,45.9,49.6,47.8,42.2
Dec-16,52.5,51.7,50.6,48.7,53.2,47.7,50.1,45.3
Jan-17,54.8,54.2,53.2,52,55.4,54.3,54.2,46.9
Feb-17,55,54.4,53.6,50.8,55.6,55.6,55.4,48.2
Mar-17,52.1,51.3,50.5,50.3,52.7,55.7,54,46.6
Apr-17,52.1,52.1,51.4,49.4,52.4,53.7,52.8,46.2
May-17,49.3,50.5,49.8,47.9,51,53.5,50.8,46.8
Jun-17,47.9,47.8,46.1,46,47.9,50.9,50.1,44
Jul-17,48.3,47.9,47.2,46.5,48.6,48,48.7,44.5
Aug-17,51.3,51.3,50.3,48.6,52,49.5,51.3,46.1
Sep-17,55.6,54.9,54,53.3,56.1,52.4,54.1,48.2
Oct-17,58.3,56.9,56.5,54.9,58,55.9,57.3,50.1
Nov-17,62.3,61.8,60.7,59.1,62.5,59.2,60.7,54.5
Dec-17,65.3,64.1,63.5,62,64.8,63.5,63.8,56.1
Jan-18,68.7,68.6,68.1,65.4,69.6,65.5,67.6,58.8
Feb-18,67.1,65.8,66.7,68.2,67.8,68.9,67.7,56.5
Mar-18,66.4,65.8,65.6,63.2,67.2,66.3,65.7,55.3
Apr-18,71,69.7,69,67.6,71.6,67.2,69.2,58.5
May-18,75.5,75.3,74.5,71.5,77.5,72.3,75,64.4
Jun-18,74.8,74.5,73.5,70.9,75.5,77.2,74.5,65.5
Jul-18,74.4,74.3,74.5,71.8,75.3,76.9,72,65.9
