NAME,CONTRACT_START,CONTRACT_END,AVG_SALARY,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
Wesley Matthews,2019,2020,2564753.0,32.0,69.0,27.0,42.0,2091.0,840.0,279.0,698.0,40.0,150.0,403.0,37.2,132.0,163.0,81.0,32.0,138.0,170.0,160.0,91.0,54.0,17.0,160.0,-90.0
Brook Lopez,2015,2017,21165675.0,27.0,72.0,34.0,38.0,2100.0,1236.0,506.0,987.0,51.3,1.0,10.0,10.0,223.0,274.0,81.4,214.0,321.0,535.0,50.0,104.0,43.0,126.0,206.0,-104.0
DeAndre Jordan,2011,2014,10759763.5,22.0,80.0,31.0,49.0,2047.0,566.0,234.0,341.0,68.6,0.0,1.0,0.0,98.0,217.0,45.2,207.0,368.0,575.0,42.0,101.0,41.0,142.0,255.0,-100.0
Markieff Morris,2015,2018,8143323.5,25.0,82.0,39.0,43.0,2581.0,1258.0,512.0,1100.0,46.5,57.0,179.0,31.8,177.0,232.0,76.3,110.0,396.0,506.0,192.0,170.0,101.0,39.0,245.0,105.0
Dwight Howard,2018,2019,13410739.0,32.0,81.0,35.0,46.0,2463.0,1347.0,506.0,911.0,55.5,1.0,7.0,14.3,334.0,582.0,57.4,255.0,757.0,1012.0,105.0,208.0,48.0,131.0,249.0,89.0
Austin Rivers,2015,2016,7055398.0,22.0,76.0,46.0,30.0,1563.0,530.0,203.0,496.0,40.9,39.0,131.0,29.8,85.0,126.0,67.5,27.0,125.0,152.0,155.0,65.0,48.0,14.0,146.0,-128.0
Wayne Ellington,2016,2017,6135000.0,28.0,76.0,18.0,58.0,1615.0,586.0,218.0,561.0,38.9,96.0,268.0,35.8,54.0,63.0,85.7,20.0,154.0,174.0,83.0,45.0,48.0,5.0,82.0,-322.0
JaMychal Green,2019,2020,4767000.0,29.0,65.0,31.0,34.0,1371.0,611.0,230.0,476.0,48.3,71.0,176.0,40.3,80.0,101.0,79.2,104.0,305.0,409.0,50.0,87.0,45.0,34.0,193.0,-214.0
Kyle O'Quinn,2015,2018,4051312.5,25.0,51.0,15.0,36.0,824.0,294.0,119.0,242.0,49.2,12.0,43.0,27.9,44.0,57.0,77.2,46.0,153.0,199.0,59.0,55.0,31.0,39.0,110.0,-123.0
Trevor Ariza,2014,2017,8000000.0,28.0,77.0,41.0,36.0,2723.0,1107.0,389.0,853.0,45.6,180.0,442.0,40.7,149.0,193.0,77.2,99.0,376.0,475.0,191.0,132.0,126.0,20.0,179.0,196.0
Stephen Curry,2013,2016,11000000.0,25.0,78.0,45.0,33.0,2983.0,1786.0,626.0,1388.0,45.1,272.0,600.0,45.3,262.0,291.0,90.0,59.0,255.0,314.0,539.0,240.0,126.0,12.0,198.0,133.0
Langston Galloway,2017,2019,7000000.0,25.0,74.0,29.0,45.0,1494.0,585.0,207.0,545.0,38.0,120.0,308.0,39.0,51.0,64.0,79.7,27.0,129.0,156.0,93.0,46.0,46.0,6.0,96.0,-60.0
Solomon Hill,2016,2019,12500000.0,25.0,59.0,31.0,28.0,866.0,246.0,93.0,208.0,44.7,24.0,74.0,32.4,36.0,42.0,85.7,39.0,127.0,166.0,57.0,33.0,37.0,11.0,68.0,46.0
Glenn Robinson III,2015,2017,1224935.0,21.0,35.0,2.0,33.0,261.0,73.0,26.0,67.0,38.8,5.0,19.0,26.3,16.0,24.0,66.7,15.0,24.0,39.0,11.0,11.0,6.0,1.0,15.0,27.0
Kyle Korver,2017,2019,5708251.0,36.0,67.0,33.0,34.0,1753.0,678.0,239.0,515.0,46.4,162.0,359.0,45.1,38.0,42.0,90.5,7.0,179.0,186.0,110.0,69.0,34.0,21.0,107.0,-169.0
Jared Dudley,2011,2015,4250000.0,25.0,82.0,40.0,42.0,2140.0,867.0,300.0,629.0,47.7,105.0,253.0,41.5,162.0,218.0,74.3,111.0,207.0,318.0,108.0,77.0,87.0,20.0,139.0,-31.0
Pat Connaughton,2018,2019,1682025.0,25.0,82.0,49.0,33.0,1488.0,441.0,165.0,390.0,42.3,74.0,210.0,35.2,37.0,44.0,84.1,36.0,125.0,161.0,91.0,43.0,23.0,22.0,120.0,141.0
Kyle Lowry,2017,2019,31633333.333333332,31.0,60.0,36.0,24.0,2244.0,1344.0,426.0,918.0,46.4,193.0,468.0,41.2,299.0,365.0,81.9,48.0,238.0,286.0,417.0,173.0,88.0,19.0,170.0,356.0
