Line number,Entity type,Payee name,Payee state,Date,Amount,Purpose
SB23,ORG,GILES-PARSCALE,Tex.,Feb. 2,"$555,974.88",DIGITAL CONSULTING/ONLINE ADVERTISING
SB23,ORG,AMERICAN EXPRESS,N.J.,Feb. 3,"$469,712.79",CREDIT CARD PAYMENT: SEE MEMO ENTRIES
SB23,ORG,"ACE SPECIALTIES, LLC",La.,Jan. 31,"$394,358.60",COLLATERAL: TSHIRTS/MUGS/STICKERS/FREIGHT
SB23,ORG,AMERICAN EXPRESS,N.J.,Feb. 3,"$378,146.13",CREDIT CARD PAYMENT: SEE MEMO ENTRIES
SB23,ORG,GILES-PARSCALE,Tex.,Jan. 25,"$340,224.42",DIGITAL CONSULTING/ONLINE ADVERTISING
SB24,COM,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,Mass.,Jan. 9,"$310,553.45",RETURN OF EXCESS FUNDS
SB23,ORG,GILES-PARSCALE,Tex.,March 1,"$243,164.34",DIGITAL CONSULTING/ONLINE ADVERTISING
SB23,ORG,GILES-PARSCALE,Tex.,Jan. 9,"$229,705.67",DIGITAL CONSULTING/ONLINE ADVERTISING
SB23,ORG,"ACE SPECIALTIES, LLC",La.,Feb. 1,"$209,039.11",COLLATERAL: TSHIRTS/MUGS/STICKERS/FREIGHT
SB23,ORG,JONES DAY,D.C.,March 31,"$184,550.17",LEGAL CONSULTING
SB23,ORG,TRUMP TOWER COMMERCIAL LLC,N.Y.,Feb. 22,"$158,996.39",RENT
SB23,ORG,"ACE SPECIALTIES, LLC",La.,March 13,"$137,982.03",COLLATERAL: TSHIRTS/MUGS/STICKERS/FREIGHT
SB23,ORG,"PRIVATE JET SERVICES, LLC",N.H.,Jan. 10,"$134,986.04",TRAVEL: AIR
SB23,ORG,GILES-PARSCALE,Tex.,Feb. 13,"$130,269.20",DIGITAL CONSULTING/ONLINE ADVERTISING
SB23,ORG,"ACE SPECIALTIES, LLC",La.,Jan. 9,"$103,641.68",COLLATERAL: TSHIRTS/MUGS/STICKERS/FREIGHT
SB23,ORG,"ACE SPECIALTIES, LLC",La.,Feb. 10,"$101,696.76",COLLATERAL: TSHIRTS/MUGS/STICKERS/FREIGHT
SB23,ORG,"AON RISK SERVICES NORTHEAST, INC.",N.Y.,Jan. 9,"$91,209.95",INSURANCE
SB23,ORG,RED CURVE SOLUTIONS,Mass.,Jan. 9,"$78,150.55",DATA MAINTENANCE SERVICES
