time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-01-15T20:24:23.203Z,-16.1588,-173.7742,149.23,4.5,mb,,85,4.581,0.72,us,us7000gcak,2022-01-15T21:05:35.040Z,"22 km S of Hihifo, Tonga",earthquake,11.5,7.6,0.074,53,reviewed,us,us
2022-01-15T04:14:45.000Z,-20.546,-175.39,0,5.8,ms_20,,,,1.02,us,us7000gc8r,2022-01-16T08:28:12.906Z,"68 km NNW of Nuku‘alofa, Tonga",volcanic eruption,21.9,9.7,0.021,506,reviewed,us,us
2022-01-14T23:43:22.533Z,-18.0028,-178.1076,586.33,4.4,mb,,75,3.665,0.82,us,us7000gc59,2022-01-15T02:55:20.040Z,"272 km E of Levuka, Fiji",earthquake,10.7,9.3,0.055,94,reviewed,us,us
2022-01-14T15:09:00.557Z,-28.2815,-176.7216,10,5,mb,,72,1.435,1.2,us,us7000gbyy,2022-01-14T15:30:01.040Z,"Kermadec Islands region",earthquake,7.8,1.6,0.1,36,reviewed,us,us
2022-01-14T05:56:26.641Z,-18.0237,-178.2551,563.22,4.4,mb,,123,3.526,0.62,us,us7000gbtl,2022-01-15T06:15:05.040Z,"257 km E of Levuka, Fiji",earthquake,15.6,9.3,0.082,43,reviewed,us,us
2022-01-12T19:43:48.916Z,-24.4536,-179.9511,509.26,4.9,mb,,107,5.121,0.78,us,us7000gbf9,2022-01-12T19:57:40.040Z,"south of the Fiji Islands",earthquake,13.7,10.6,0.103,30,reviewed,us,us
2022-01-12T03:04:27.351Z,-32.8793,-179.1754,52.65,5.1,mb,,76,3.763,1.03,us,us7000gb7e,2022-01-12T10:56:09.474Z,"south of the Kermadec Islands",earthquake,7.8,8,0.095,39,reviewed,us,us
2022-01-11T13:29:47.177Z,-15.7557,-173.131,35,5,mb,,65,5.031,0.36,us,us7000gay1,2022-01-11T14:58:38.040Z,"74 km ENE of Hihifo, Tonga",earthquake,9.2,1.9,0.062,89,reviewed,us,us
2022-01-11T08:55:03.055Z,-20.6621,-173.9181,10,4.9,mb,,49,8.122,1.08,us,us7000gauu,2022-01-11T09:59:09.040Z,"104 km SSE of Pangai, Tonga",earthquake,9.8,1.9,0.049,218,reviewed,us,us
2022-01-10T21:05:21.335Z,-17.3766,-178.717,548.23,4.9,mb,,119,3.103,0.67,us,us7000gany,2022-01-10T21:25:09.040Z,"222 km ENE of Levuka, Fiji",earthquake,14.2,8.2,0.06,86,reviewed,us,us
2022-01-10T20:03:03.140Z,-25.0021,179.8864,489.13,5.7,mww,,27,4.671,0.98,us,us7000gani,2022-01-11T20:06:15.742Z,"south of the Fiji Islands",earthquake,9.1,7,0.093,11,reviewed,us,us
2022-01-10T19:54:14.458Z,-22.6665,-174.8807,10,5,mb,,80,19.669,1.32,us,us7000gank,2022-01-10T20:38:56.040Z,"147 km S of ‘Ohonua, Tonga",earthquake,16.9,1.9,0.086,43,reviewed,us,us
