,emp_id,age,Dept,location,education,recruitment_type,job_level,rating,onsite,awards,certifications,salary,satisfied
0,HR8270,28,HR,Suburb,PG,Referral,5,2,0,1,0,86750,1
1,TECH1860,50,Technology,Suburb,PG,Walk-in,3,5,1,2,1,42419,0
2,TECH6390,43,Technology,Suburb,UG,Referral,4,1,0,2,0,65715,0
3,SAL6191,44,Sales,City,PG,On-Campus,2,3,1,0,0,29805,1
4,HR6734,33,HR,City,UG,Recruitment Agency,2,1,0,5,0,29805,1
5,PUR7265,40,Purchasing,Suburb,UG,Referral,3,3,0,7,1,42419,1
6,PUR1466,26,Purchasing,Suburb,UG,Referral,5,5,0,2,0,86750,0
7,TECH5426,25,Technology,City,UG,Recruitment Agency,1,1,0,4,0,24076,0
8,HR6578,35,HR,City,PG,Referral,3,4,0,0,0,42419,1
9,TECH9322,45,Technology,City,PG,Referral,3,3,0,9,0,42419,0
10,MKT2685,31,Marketing,City,UG,Walk-in,4,4,1,6,0,65715,1
11,TECH1769,43,Technology,Suburb,PG,Recruitment Agency,2,1,0,9,1,29805,1
12,TECH7949,28,Technology,City,UG,On-Campus,3,4,1,0,0,42419,0
13,PUR3433,48,Purchasing,Suburb,PG,Referral,3,4,1,8,0,42419,1
14,PUR6311,52,Purchasing,City,PG,Recruitment Agency,5,1,1,7,0,86750,1
15,PUR6051,50,Purchasing,City,UG,Walk-in,5,5,1,6,0,86750,1
16,MKT7420,34,Marketing,City,PG,On-Campus,1,4,1,9,0,24076,0
17,PUR2184,24,Purchasing,Suburb,UG,Recruitment Agency,4,4,0,6,0,65715,1
18,HR5555,54,HR,Suburb,PG,On-Campus,1,5,0,4,0,24076,1
19,SAL4385,25,Sales,City,UG,On-Campus,5,4,0,4,0,86750,1
20,HR7396,25,HR,Suburb,UG,On-Campus,2,4,1,4,0,29805,1
21,HR9666,50,HR,Suburb,PG,Referral,5,4,0,0,0,86750,1
22,PUR3558,34,Purchasing,City,PG,Referral,4,2,0,7,1,65715,1
23,SAL8849,37,Sales,City,UG,Walk-in,5,5,0,0,1,86750,1
24,SAL3047,31,Sales,Suburb,PG,Walk-in,4,4,0,3,1,65715,0
25,SAL3747,53,Sales,Suburb,PG,Recruitment Agency,4,5,0,8,1,65715,0
26,MKT1189,45,Marketing,Suburb,UG,Walk-in,4,3,1,8,0,65715,1
27,PUR3734,30,Purchasing,City,UG,On-Campus,4,3,0,4,1,65715,0
28,SAL4005,33,Sales,City,PG,On-Campus,4,4,1,3,1,65715,0
