Date(UTC),UnixTimeStamp,Supply,MarketCap,Price
7/30/2015,1438214400,72049306.59375,0.0,0.00
7/31/2015,1438300800,72085498.3125,0.0,0.00
8/1/2015,1438387200,72113204.25,0.0,0.00
8/2/2015,1438473600,72141427.6875,0.0,0.00
8/3/2015,1438560000,72169404.40625,0.0,0.00
8/4/2015,1438646400,72197882.84375,0.0,0.00
8/5/2015,1438732800,72225411.4375,0.0,0.00
8/6/2015,1438819200,72252486.90625,0.0,0.00
8/7/2015,1438905600,72279924.5625,216.8397736875,3.00
8/8/2015,1438992000,72307868.0,86.7694416,1.20
8/9/2015,1439078400,72335046.28125,86.8020555375,1.20
8/10/2015,1439164800,72362863.625,0.0,0.00
8/11/2015,1439251200,72390891.4375,71.666982523125,0.99
8/12/2015,1439337600,72418262.375,93.41955846375,1.29
8/13/2015,1439424000,72446530.5,136.19947734,1.88
8/14/2015,1439510400,72477637.21875,129.7349706215625,1.79
8/15/2015,1439596800,72506149.875,129.78600827625,1.79
8/17/2015,1439769600,72534268.78125,94.294549415625,1.30
8/16/2015,1439683200,72561363.3125,99.409067738125,1.37
8/18/2015,1439856000,72587526.125,98.71903553,1.36
8/19/2015,1439942400,72614808.15625,90.04236211375,1.24
8/20/2015,1440028800,72635865.1875,110.406515085,1.52
8/21/2015,1440115200,72662556.125,104.63408082,1.44
8/22/2015,1440201600,72690106.59375,101.76614923125,1.40
8/23/2015,1440288000,72716362.21875,98.1670889953125,1.35
8/24/2015,1440374400,72743695.5,90.20218242,1.24
8/25/2015,1440460800,72770431.59375,92.4184481240625,1.27
8/26/2015,1440547200,72796569.5625,85.89995208375,1.18
8/27/2015,1440633600,72821102.375,83.0160567075,1.14
8/28/2015,1440720000,72845327.53125,94.698925790625,1.30
8/29/2015,1440806400,72867852.53125,85.984065986875,1.18
8/30/2015,1440892800,72889306.125,96.213884085,1.32
8/31/2015,1440979200,72910599.5625,95.512885426875,1.31
9/1/2015,1441065600,72930942.53125,99.1860818425,1.36
9/2/2015,1441152000,72949329.875,83.1622360575,1.14
9/3/2015,1441238400,72966710.8125,89.749054299375,1.23
9/4/2015,1441324800,72989792.6875,98.536220128125,1.35
9/5/2015,1441411200,73015421.75,100.0311277975,1.37
9/6/2015,1441497600,73041590.03125,97.875730641875,1.34
9/7/2015,1441584000,73067050.5,93.52582464,1.28
9/8/2015,1441670400,73092943.0,92.09710818,1.26
9/9/2015,1441756800,73119370.65625,88.4744384940625,1.21
9/10/2015,1441843200,73145814.875,87.04351970125,1.19
9/11/2015,1441929600,73173054.71875,67.31921034125,0.92
9/12/2015,1442016000,73199455.8125,84.179374184375,1.15
9/13/2015,1442102400,73225627.21875,65.1708082246875,0.89
9/14/2015,1442188800,73251215.34375,70.32116673,0.96
9/15/2015,1442275200,73276830.65625,69.6129891234375,0.95
9/16/2015,1442361600,73303148.78125,68.904959854375,0.94
9/17/2015,1442448000,73328584.40625,64.5291542775,0.88
9/18/2015,1442534400,73354486.125,62.35131320625,0.85
9/19/2015,1442620800,73381665.8125,65.309682573125,0.89
9/20/2015,1442707200,73409648.46875,65.3345871371875,0.89
9/21/2015,1442793600,73436300.34375,69.030122323125,0.94
9/22/2015,1442880000,73462670.65625,59.5047632315625,0.81
9/23/2015,1442966400,73489750.96875,66.8756733815625,0.91
9/24/2015,1443052800,73516136.75,58.8129094,0.80
9/25/2015,1443139200,73543140.1875,50.0093353275,0.68
9/26/2015,1443225600,73569050.5,56.648168885,0.77
9/27/2015,1443312000,73594061.59375,51.515843115625,0.70
9/28/2015,1443398400,73618775.8125,44.1712654875,0.60
9/29/2015,1443484800,73643144.25,50.07733809,0.68
9/30/2015,1443571200,73668238.0,52.30444898,0.71
