Date(UTC),UnixTimeStamp,Value
9/21/2017,1505984872,21972679307
9/22/2017,1506083845,23233131734
9/23/2017,1506181878,22618063978
9/25/2017,1506341242,23481564613
9/28/2017,1506586384,23611297509
10/2/2017,1506927688,23609395021
10/9/2017,1507541116,24473677921
10/16/2017,1508128554,25527694297
10/25/2017,1508951322,26859303972
11/6/2017,1509965603,28940628765
11/13/2017,1510579933,30127132606
11/22/2017,1511383261,31891948932
11/28/2017,1511871269,33083938012
12/5/2017,1512445791,34868608835
12/12/2017,1513077467,36507887778
