Date(UTC),UnixTimeStamp,Value
7/30/2015,1438296258,2909592
7/31/2015,1438387199,2909592
8/1/2015,1438462956,2909592
8/2/2015,1438559999,2909592
8/3/2015,1438635801,2909592
8/4/2015,1438732799,2909592
8/5/2015,1438803970,2909592
8/6/2015,1438905599,2909592
8/7/2015,1438987918,2909592
8/8/2015,1439078399,2909592
8/9/2015,1439164679,2909592
8/10/2015,1439251199,2909592
8/11/2015,1439328631,2909592
8/12/2015,1439423999,2909592
8/13/2015,1439502399,2909592
8/14/2015,1439596799,2909592
8/15/2015,1439675589,2909592
8/16/2015,1439769599,2909592
8/17/2015,1439844672,2909592
8/18/2015,1439942399,2909592
8/19/2015,1440017726,2909592
8/20/2015,1440115199,2909592
8/21/2015,1440193400,2909592
8/22/2015,1440287999,229284566
8/23/2015,1440364437,455659541
8/24/2015,1440460799,455659541
8/25/2015,1440537042,455659541
8/26/2015,1440633599,455659541
8/27/2015,1440716078,455659541
8/28/2015,1440806399,455659541
8/29/2015,1440892201,455659541
8/30/2015,1440979199,455659541
8/31/2015,1441062571,455659541
9/1/2015,1441151999,455659541
9/2/2015,1441234384,455659541
9/3/2015,1441324799,455659541
9/4/2015,1441406023,455659541
9/5/2015,1441497599,455659541
9/6/2015,1441578291,455659541
9/7/2015,1441670399,617301971
9/8/2015,1441755694,778944402
9/9/2015,1441839373,778944402
9/10/2015,1441925108,778944402
9/11/2015,1442009855,778944402
9/12/2015,1442096256,778944402
9/13/2015,1442183624,778944402
9/14/2015,1442270844,778944402
9/15/2015,1442359199,778944402
9/16/2015,1442443244,778944402
9/17/2015,1442530943,778944402
9/18/2015,1442614701,778944402
9/19/2015,1442704150,778944402
9/20/2015,1442785604,778944402
9/21/2015,1442879240,778944402
9/22/2015,1442957544,778944402
9/23/2015,1443051623,1432574337
9/24/2015,1443133246,1233418111
9/25/2015,1443221394,1715991647
9/26/2015,1443303910,1226008278
9/27/2015,1443388070,1226079951
9/28/2015,1443484483,1221731096
9/29/2015,1443564434,1221731096
9/30/2015,1443652319,1417274959
10/1/2015,1443743266,1412085614
10/2/2015,1443828204,1412086066
