,ticker,date,time,headline,neg,neu,pos,compound
0,FB,2021-09-22,06:30AM,2 Growth Stocks to Buy Hand Over Fist If the Market Crashes,0.0,0.608,0.392,0.7003
1,FB,2021-09-22,02:23AM,"UPDATE 1-Facebook wraps up deals with Australian media firms, TV broadcaster SBS excluded",0.167,0.833,0.0,-0.34
2,FB,2021-09-22,12:36AM,"Facebook wraps up deals with Australian media firms, TV broadcaster SBS excluded",0.179,0.821,0.0,-0.34
3,FB,2021-09-22,12:27AM,"Facebook wraps up deals with Australia media firms, TV broadcaster SBS not included",0.0,1.0,0.0,0.0
4,FB,2021-09-21,10:34PM,"Facebook overpaid FTC fine as quid pro quo to protect Zuckerberg from liability, shareholders claim",0.099,0.659,0.242,0.3818
5,FB,2021-09-21,06:20PM,Is GBTC Stock A Good Buy As Bitcoin Slumps After Big Rally?,0.0,0.775,0.225,0.4404
6,FB,2021-09-21,04:54PM,Facebook Oversight Board to Review Special Rules for High-Profile Users,0.0,0.769,0.231,0.4019
7,FB,2021-09-21,04:37PM,Facebook says Wall Street Journal report allegations are mischaracterizations,0.0,1.0,0.0,0.0
8,FB,2021-09-21,04:36PM,These Are The 5 Best Stocks To Buy And Watch Now,0.0,0.682,0.318,0.6369
9,FB,2021-09-21,03:08PM,Facebook Questioned by Oversight Board Over Celebrity Rules,0.167,0.833,0.0,-0.1027
10,FB,2021-09-21,03:06PM,UPDATE 1-Facebook Oversight Board seeks clarity on review system for high-profile users,0.0,0.803,0.197,0.4019
11,FB,2021-09-21,02:33PM,Hedge Funds Have Never Been This Bullish On Facebook Inc (FB),0.0,1.0,0.0,0.0
12,FB,2021-09-21,02:21PM,Facebook Oversight Board seeks clarity on review system for high-profile users,0.0,0.787,0.213,0.4019
13,FB,2021-09-21,01:23PM,"Top Research Reports for Facebook, Walmart & Novartis",0.0,0.769,0.231,0.2023
14,FB,2021-09-21,01:06PM,"Facebook, Inc. Donates $2 Million to McBride Sisters Collections SHE CAN Fund",0.0,1.0,0.0,0.0
15,FB,2021-09-21,01:04PM,Why Goldman Sachs just launched this ETF that will rival FAANG stocks,0.0,0.88,0.12,0.128
16,FB,2021-09-21,01:03PM,Facebook to launch portable version of Portal video chat device,0.0,1.0,0.0,0.0
17,FB,2021-09-21,01:00PM,Facebook launches new versions of its Portal video-calling screen,0.0,1.0,0.0,0.0
18,FB,2021-09-21,01:00PM,Facebook Looks to Carve Out Market for Mobile Video-Chat Device,0.0,1.0,0.0,0.0
19,FB,2021-09-21,12:31PM,Facebook Unveils Two New Portal Audio-Video Devices,0.0,1.0,0.0,0.0
20,FB,2021-09-21,12:19PM,Top Communications Stocks for October 2021,0.0,0.735,0.265,0.2023
21,FB,2021-09-21,12:05PM,Google to Buy St. Johns Terminal in NYC for $2.1 Billion,0.0,1.0,0.0,0.0
22,FB,2021-09-21,11:10AM,"Facebook spent over $13 billion on safety, security since 2016",0.0,0.606,0.394,0.6369
23,FB,2021-09-21,11:06AM,"Facebook spent over $13 bln on safety, security since 2016",0.0,0.606,0.394,0.6369
24,FB,2021-09-21,10:52AM,Goldman Sachs new ETF targets non-megacap tech stocks around the world,0.0,1.0,0.0,0.0
25,FB,2021-09-21,10:11AM,Facebook defends itself after WSJ releases jarring report,0.0,1.0,0.0,0.0
26,FB,2021-09-21,10:00AM,4 Stocks I'm Watching This Week as Potential Buys,0.0,1.0,0.0,0.0
27,FB,2021-09-21,09:33AM,10 Hedge Funds Betting Against Cathie Woods ARK Innovation ETF,0.0,0.776,0.224,0.3818
28,FB,2021-09-21,09:00AM,"Facebook Says It Has Spent $13 Billion on Safety, Security",0.0,0.606,0.394,0.6369
29,FB,2021-09-21,08:57AM,Texas Startups Mount Fight Against Abortion BanWithout Big Tech,0.245,0.755,0.0,-0.3818
30,FB,2021-09-21,08:46AM,1 Top Stock to Buy Ahead of the Holidays,0.0,0.577,0.423,0.5267
31,FB,2021-09-21,04:00AM,Google Worker Unrest Rises After Removal of Russia Voting App,0.0,1.0,0.0,0.0
32,FB,2021-09-20,05:54PM,"Why Apple, Facebook, Amazon, and Other Tech Stocks Dropped Today",0.0,0.841,0.159,0.1779
33,FB,2021-09-20,04:37PM,Megacap Tech Selloff Hits $500 Billion Since Nasdaq 100 Peak,0.0,1.0,0.0,0.0
34,FB,2021-09-20,04:36PM,"Facebook, Alphabet Poised for Bigger Fines Over Russia Content",0.0,0.8,0.2,0.25
35,FB,2021-09-20,04:26PM,Top 10 Stocks to Invest in Based on Traci Lerners Chescapmanager LLCs Portfolio,0.0,0.87,0.13,0.2023
36,FB,2021-09-20,04:14PM,15 Best Stocks to Invest in Today According to David Abrams,0.0,0.704,0.296,0.6369
37,FB,2021-09-20,11:56AM,Amazon (AMZN) New Fulfilment Centers in India to Create Jobs,0.0,0.678,0.322,0.4215
38,FB,2021-09-20,09:14AM,Analysts Are Upgrading These 10 Stocks,0.0,1.0,0.0,0.0
39,FB,2021-09-20,07:50AM,TikTok Parent Forced To Restrict Screen Time For Minors In China: WSJ,0.359,0.641,0.0,-0.6808
40,FB,2021-09-19,07:01PM,UK tech boom creating billion-pound company every week,0.0,0.761,0.239,0.296
41,FB,2021-09-19,11:22AM,Facebook Responds To WSJ Reports On The Impact Of Instagram On The Mental Health Of Teen Girls,0.0,1.0,0.0,0.0
42,FB,2021-09-19,11:10AM,"WSJ Opinion: Facebook, Instagram and Vulnerable Teens",0.241,0.759,0.0,-0.2263
43,FB,2021-09-18,05:50PM,These Are The Best Robinhood Stocks To Buy Or Watch Now,0.0,0.704,0.296,0.6369
44,FB,2021-09-18,04:16PM,"Facebook says WSJ allegations are 'mischaracterizations,' confer 'false motives'",0.0,1.0,0.0,0.0
45,FB,2021-09-18,04:11PM,"Facebook says WSJ allegations are 'mischaracterizations,' confer 'false motives'",0.0,1.0,0.0,0.0
46,FB,2021-09-18,01:52PM,"Facebook Rebuffs Journal Reports, Citing Policy Trade-Offs",0.0,1.0,0.0,0.0
47,FB,2021-09-18,07:30AM,"FTC, Biden Antitrust Enforcement Push Takes On Amazon, Google  And The Supreme Court",0.0,0.675,0.325,0.6486
48,FB,2021-09-18,07:15AM,Facebook exec says stablecoins 'probably' require more regulation,0.0,1.0,0.0,0.0
49,FB,2021-09-17,10:50PM,"FACEBOOK INVESTIGATION INITIATED by Former Louisiana Attorney General: Kahn Swick & Foti, LLC Investigates the Officers and Directors of Facebook, Inc. - FB",0.0,1.0,0.0,0.0
50,FB,2021-09-17,03:09PM,Why Facebook Stock Dropped Again Today,0.0,1.0,0.0,0.0
51,FB,2021-09-17,03:01PM,McBride Sisters Collection Founder on behavior & thinking the wine industry has never seen before,0.0,1.0,0.0,0.0
52,FB,2021-09-17,01:41PM,Facebook Competitor Surfaces As Cyber Criminal Hub: FT,0.327,0.673,0.0,-0.5267
53,FB,2021-09-17,12:55PM,Ireland raises privacy question over Facebook smart glasses,0.0,0.722,0.278,0.4019
54,FB,2021-09-17,12:49PM,Ireland raises privacy question over Facebook smart glasses,0.0,0.722,0.278,0.4019
55,FB,2021-09-17,10:46AM,"Uncertainty around taxes could cause stocks to pullback this month, strategist warns",0.275,0.725,0.0,-0.4215
56,FB,2021-09-17,10:23AM,AI will exacerbate wealth inequality and help ultra-rich: Ex-Google exec,0.0,0.576,0.424,0.7096
57,FB,2021-09-17,10:07AM,Fox (FOXA) News Digital Claims No.1 Spot in August Viewership,0.0,1.0,0.0,0.0
58,FB,2021-09-17,10:04AM,Facebook Stock Slips on Report User Comments Undermined Vaccine Effort,0.217,0.783,0.0,-0.3612
59,FB,2021-09-17,09:45AM,Powell orders ethics review amid trading scandal,0.326,0.674,0.0,-0.4404
60,FB,2021-09-17,09:39AM,"Diem cryptocurrency will be in 'class of its own,'  Facebook executive says",0.0,1.0,0.0,0.0
61,FB,2021-09-17,09:34AM,How A.I. will exacerbate inequality between rich & poor: Kai-Fu Lee,0.211,0.544,0.245,0.128
62,FB,2021-09-17,08:00AM,Facebooks Investors Are the Biggest Addicts,0.0,1.0,0.0,0.0
63,FB,2021-09-17,07:26AM,Instagram head compares social media to cars because although people die they create more value than they destroy,0.283,0.534,0.183,-0.5584
