,date,firm,Ticker,Research Development,Income Before Tax,Net Income,Selling General Administrative,Gross Profit,Ebit,Operating Income,Interest Expense,Income Tax Expense,Total Revenue,Total Operating Expenses,Cost Of Revenue,Total Other Income Expense Net,Net Income From Continuing Ops,Net Income Applicable To Common Shares
0,2021-09-30,3M,MMM,482000000.0,1761000000.0,1434000000.0,1739000000.0,4089000000.0,1868000000.0,1868000000.0,-117000000.0,324000000.0,8942000000.0,7074000000.0,4853000000.0,-107000000.0,1437000000.0,1434000000.0
1,2021-06-30,3M,MMM,514000000.0,1940000000.0,1524000000.0,1666000000.0,4231000000.0,2051000000.0,2051000000.0,-121000000.0,415000000.0,8950000000.0,6899000000.0,4719000000.0,-111000000.0,1525000000.0,1524000000.0
2,2021-03-31,3M,MMM,520000000.0,1946000000.0,1624000000.0,1720000000.0,4327000000.0,2087000000.0,2087000000.0,-132000000.0,319000000.0,8851000000.0,6764000000.0,4524000000.0,-141000000.0,1627000000.0,1624000000.0
3,2020-12-31,3M,MMM,449000000.0,1706000000.0,1389000000.0,1814000000.0,4246000000.0,1983000000.0,1983000000.0,-141000000.0,316000000.0,8583000000.0,6600000000.0,4337000000.0,-277000000.0,1390000000.0,1389000000.0
4,2021-09-30,3M,MMM,482000000.0,1761000000.0,1434000000.0,1739000000.0,4089000000.0,1868000000.0,1868000000.0,-117000000.0,324000000.0,8942000000.0,7074000000.0,4853000000.0,-107000000.0,1437000000.0,1434000000.0
5,2021-06-30,3M,MMM,514000000.0,1940000000.0,1524000000.0,1666000000.0,4231000000.0,2051000000.0,2051000000.0,-121000000.0,415000000.0,8950000000.0,6899000000.0,4719000000.0,-111000000.0,1525000000.0,1524000000.0
6,2021-03-31,3M,MMM,520000000.0,1946000000.0,1624000000.0,1720000000.0,4327000000.0,2087000000.0,2087000000.0,-132000000.0,319000000.0,8851000000.0,6764000000.0,4524000000.0,-141000000.0,1627000000.0,1624000000.0
7,2020-12-31,3M,MMM,449000000.0,1706000000.0,1389000000.0,1814000000.0,4246000000.0,1983000000.0,1983000000.0,-141000000.0,316000000.0,8583000000.0,6600000000.0,4337000000.0,-277000000.0,1390000000.0,1389000000.0
8,2021-09-30,A. O. Smith,AOS,,166400000.0,131600000.0,174300000.0,340300000.0,166000000.0,166000000.0,-1000000.0,34800000.0,914600000.0,748600000.0,574300000.0,400000.0,131600000.0,131600000.0
9,2021-06-30,A. O. Smith,AOS,,151300000.0,118200000.0,169800000.0,321400000.0,151600000.0,151600000.0,-900000.0,33100000.0,859800000.0,708200000.0,538400000.0,-300000.0,118200000.0,118200000.0
