Fiscal Year / Year,McDonald's Revenue,Growth Rate,Q1,Q2,Q3,Q4
1999,$13.3B,,,,,
2000,$14.2B,7%?,,,,
2001,$14.9B,4%?,,,,
2002,$15.4B,4%?,,,,$3.0B
2003,$17.1B,11%?,$3.8B,$4.3B,$4.5B,$4.6B
2004,$18.6B,8%?,$4.4B,$4.7B,$4.9B,$4.5B
2005,$19.1B,3%?,$4.8B,$5.1B,$5.3B,$3.9B
2006,$20.9B,9%?,$4.9B,$5.4B,$5.5B,$5.1B
2007,$22.8B,9%?,$5.3B,$5.8B,$5.9B,$5.8B
2008,$23.5B,3%?,$5.6B,$6.1B,$6.3B,$5.6B
2009,$22.7B,-3%?,$5.1B,$5.6B,$6.0B,$6.0B
2010,$24.1B,6%?,$5.6B,$5.9B,$6.3B,$6.2B
2011,$27.0B,12%?,$6.1B,$6.9B,$7.2B,$6.8B
2012,$27.6B,2%?,$6.5B,$6.9B,$7.2B,$7.0B
2013,$28.1B,2%?,$6.6B,$7.1B,$7.3B,$7.1B
2014,$27.4B,-2%?,$6.7B,$7.2B,$7.0B,$6.6B
2015,$25.4B,-7%?,$6.0B,$6.5B,$6.6B,$6.3B
2016,$24.6B,-3%?,$5.9B,$6.3B,$6.4B,$6.0B
2017,$22.8B,-7%?,$5.7B,$6.0B,$5.8B,$5.3B
2018,$21.3B,-7%?,$5.1B,$5.4B,$5.4B,$5.4B
2019,$21.4B,1%?,$5.0B,$5.3B,$5.6B,$5.4B
2020,$19.2B,-10%?,$4.7B,$3.8B,$5.4B,$5.3B
2021,$23.2B,21%?,$5.1B,$5.9B,$6.2B,$6.0B
2022,$23.2B,-0%?,$5.7B,$5.7B,$5.9B,$5.9B
