Year,Gold Price ,Silver Price ,Gold/Silver Price Ratio 
1791,19.39,1.28,15.05
1792,19.39,1.27,15.17
1793,19.39,1.29,15
1794,19.39,1.26,15.37
1795,19.39,1.24,15.55
1796,19.39,1.23,15.65
1797,19.39,1.25,15.41
1798,19.39,1.24,15.59
1799,19.39,1.23,15.74
1800,19.39,1.23,15.68
1801,19.39,1.25,15.46
1802,19.39,1.27,15.26
1803,19.39,1.25,15.41
1804,19.39,1.25,15.41
1805,19.39,1.22,15.79
1806,19.39,1.24,15.52
1807,19.39,1.25,15.43
1808,19.39,1.2,16.08
1809,19.39,1.21,15.96
1810,19.39,1.22,15.77
1811,19.39,1.24,15.53
1812,19.39,1.2,16.11
1813,19.39,1.19,16.25
1814,20.1,1.33,15.04
1815,21.64,1.41,15.26
1816,20.95,1.37,15.28
1817,19.46,1.28,15.11
1818,19.39,1.26,15.35
1819,19.39,1.26,15.33
1820,19.39,1.24,15.62
1821,19.39,1.21,15.95
1822,19.39,1.22,15.8
1823,19.39,1.22,15.84
1824,19.39,1.22,15.82
1825,19.39,1.23,15.7
1826,19.39,1.23,15.76
1827,19.39,1.23,15.74
1828,19.39,1.22,15.78
1829,19.39,1.22,15.78
1830,19.39,1.22,15.82
1831,19.39,1.23,15.72
1832,19.39,1.23,15.73
1833,19.39,1.21,15.93
1834,19.94,1.26,15.73
1835,20.69,1.3,15.8
1836,20.69,1.31,15.72
1837,21.64,1.36,15.83
1838,20.86,1.31,15.85
1839,20.67,1.32,15.62
1840,20.67,1.32,15.62
1841,20.67,1.31,15.7
1842,20.67,1.3,15.87
1843,20.67,1.29,15.93
1844,20.67,1.3,15.85
1845,20.67,1.29,15.92
1846,20.67,1.3,15.9
1847,20.67,1.3,15.8
1848,20.67,1.3,15.85
1849,20.67,1.3,15.78
1850,20.67,1.31,15.7
1851,20.67,1.33,15.46
1852,20.67,1.32,15.59
1853,20.67,1.34,15.33
1854,20.67,1.34,15.33
1855,20.67,1.34,15.38
1856,20.67,1.34,15.38
1857,20.7,1.35,15.27
1858,20.67,1.34,15.38
1859,20.67,1.36,15.19
1860,20.67,1.35,15.29
1861,20.67,1.33,15.5
1862,23.42,1.52,15.35
1863,30.02,1.95,15.37
1864,42.03,2.73,15.37
1865,32.52,2.1,15.44
1866,29.13,1.88,15.43
1867,28.57,1.83,15.57
1868,28.88,1.85,15.59
1869,27.49,1.76,15.6
1870,23.75,1.52,15.57
1871,23.09,1.48,15.57
1872,23.24,1.48,15.63
1873,23.52,1.47,15.93
1874,22.99,1.42,16.16
1875,23.75,1.42,16.64
1876,23.05,1.29,17.75
1877,21.66,1.25,17.2
1878,20.84,1.16,17.92
1879,20.67,1.12,18.39
1880,20.67,1.14,18.05
1881,20.67,1.13,18.25
1882,20.67,1.13,18.2
1883,20.67,1.1,18.64
1884,20.67,1.11,18.61
1885,20.67,1.06,19.41
1886,20.67,0.99,20.78
1887,20.67,0.97,21.1
1888,20.67,0.93,22
1889,20.67,0.93,22.1
1890,20.67,1.04,19.75
1891,20.67,0.98,20.92
1892,20.67,0.87,23.72
1893,20.67,0.78,26.49
1894,20.67,0.63,32.56
1895,20.67,0.65,31.6
1896,20.67,0.67,30.59
1897,20.67,0.6,34.2
1898,20.67,0.59,35.03
1899,20.67,0.6,34.36
1900,20.67,0.62,33.33
1901,20.67,0.59,34.68
1902,20.67,0.52,39.15
1903,20.67,0.54,38.1
1904,20.67,0.57,35.7
1905,20.67,0.61,33.87
1906,20.67,0.67,30.54
1907,20.67,0.66,31.24
1908,20.67,0.53,38.64
1909,20.67,0.52,39.74
1910,20.67,0.54,38.22
1911,20.67,0.53,38.33
1912,20.67,0.61,33.62
1913,20.67,0.6,34.19
1914,20.67,0.55,37.37
1915,20.67,0.51,40.48
1916,20.67,0.67,30.78
1917,20.67,0.83,24.61
1918,20.67,0.98,21
1919,20.67,1.12,18.44
1920,20.67,1.01,20.28
1921,20.67,0.63,32.76
1922,20.67,0.67,30.43
1923,20.67,0.65,31.69
1924,20.67,0.67,30.8
1925,20.67,0.69,29.78
1926,20.67,0.62,33.11
1927,20.67,0.56,36.47
1928,20.67,0.58,35.34
1929,20.67,0.53,38.78
1930,20.67,0.38,53.74
1931,20.67,0.29,71.25
1932,20.67,0.28,73.29
1933,24.44,0.34,69.83
1934,34.94,0.48,72.36
1935,35,0.64,54.19
1936,35,0.45,77.09
1937,35,0.45,77.44
1938,35,0.43,80.39
1939,35,0.39,88.84
1940,35,0.35,99.76
1941,35,0.35,99.73
1942,35,0.38,90.57
1943,35,0.45,77.67
1944,35,0.45,77.67
1945,35,0.51,67.4
1946,35,0.8,43.67
1947,35,0.71,48.73
1948,35,0.74,47.07
1949,35,0.72,48.61
1950,35,0.74,47.14
1951,35,0.89,39.12
1952,35,0.85,41.16
1953,35,0.85,41.04
1954,35,0.85,41.01
1955,35,0.89,39.24
1956,35,0.9,38.5
1957,35,0.9,38.5
1958,35,0.89,39.27
1959,35,0.91,38.34
1960,35,0.91,38.27
1961,35,0.92,37.82
1962,35,1.08,32.22
1963,35,1.28,27.34
1964,35,1.29,27.04
1965,35,1.29,27.04
1966,35,1.29,27.04
1967,35,1.55,22.56
1968,39.26,2.14,18.29
1969,41.51,1.79,23.16
1970,36.41,1.77,20.54
1971,41.25,1.54,26.66
1972,58.6,1.68,34.75
1973,97.81,2.55,38.21
1974,159.74,4.71,33.9
1975,161.49,4.42,36.51
1976,125.32,4.35,28.76
1977,148.31,4.62,32.05
1978,193.55,5.4,35.8
1979,307.5,11.1,27.69
1980,612.56,20.65,29.66
1981,459.64,10.53,43.65
1982,375.91,7.95,47.24
1983,424,11.45,37.03
1984,360.66,8.14,44.26
1985,317.66,6.14,51.68
1986,368.24,5.47,67.25
1987,447.95,7.01,63.84
1988,438.31,6.54,66.95
1989,382.58,5.5,69.49
1990,384.93,4.82,79.78
1991,363.29,4.04,89.83
1992,344.97,3.94,87.47
1993,360.91,4.3,83.85
1994,385.42,5.29,72.79
1995,385.5,5.15,74.78
1996,389.09,5.19,74.89
1997,332.39,4.89,67.91
1998,295.24,5.54,53.24
1999,279.91,5.25,53.26
2000,280.1,5,55.96
2001,272.22,4.39,61.95
2002,311.33,4.62,67.32
2003,364.8,4.91,74.22
2004,410.52,6.69,61.3
2005,446,7.34,60.7
2006,606,11.6,52.2
2007,699,13.46,51.91
2008,874,15.02,58.17
2009,975,14.71,66.27
2010,1227,20.23,60.64
2011,1572,35.12,44.75
2012,1700,31.72,53.58
2013,1415,23.85,59.31
2014,1269,19.11,66.38
2015,1163,15.72,73.98
2016,1252,17.16,72.96
2017,1260,17.08,73.76
2018,1270,15.72,80.77
2019,1390,16.17,85.92
2020,1770,20.54,86.14
