SAPOBJECTID;CLASS;WASTE_COL_TYPE;WASTE_COL_MATERIAL;NUMBER_OF_WASTE_BINS;SLAB;FINISH;PHOTO_LEGACY;GIS_STARTUP_DATE;CUSTODIAN;GIS_DESCRIPTION;SORT_FIELD;CREATED_DATE;LAST_EDITED_DATE;POINT_X;POINT_Y
6000000518;WASTE_COL_POINT;WHEELIE BIN STAND;STEEL;100.000.000.000;N;GALVANISED;https://msvnmap1/Asset_Photos/_legacy/64/T3P10.jpg;18/07/2011;51000811;WASTE COLLECTION POINT;WACO13448;23/05/2014;25/05/2014;53.943.160.270.000.000;689.215.702.240.000.000
6000000542;WASTE_COL_POINT;WHEELIE BIN STAND;STEEL;200.000.000.000;N;GALVANISED;https://msvnmap1/Asset_Photos/_legacy/64/T3P16.jpg;18/07/2011;51000811;WASTE COLLECTION POINT;WACO13454;23/05/2014;25/05/2014;53.048.971.020.000.000;689.833.427.510.000.000
6000000632;WASTE_COL_POINT;WHEELIE BIN STAND;STEEL;100.000.000.000;N;GALVANISED;https://msvnmap1/Asset_Photos/_legacy/b78p29.jpg;21/08/2003;51000811;WASTE COLLECTION POINT;WACO1348;23/05/2014;28/01/2015;54.476.204.630.000.000;689.272.069.770.000.000
6000000624;WASTE_COL_POINT;WHEELIE BIN STAND;STEEL;200.000.000.000;N;GALVANISED;https://msvnmap1/Asset_Photos/_legacy/64/j417p66.jpg;26/07/2011;51000811;WASTE COLLECTION POINT;WACO13481;23/05/2014;25/05/2014;53.409.044.770.000.000;691.539.616.220.000.000
6000000670;WASTE_COL_POINT;STANDARD LITTER BIN;TIMBER AND STEEL;100.000.000.000;Y;STAINED;https://msvnmap1/Asset_Photos/_legacy/64/x424p62.jpg;16/05/2011;51000811;WASTE COLLECTION POINT;WACO13521;23/05/2014;25/05/2014;54.431.044.610.000.000;689.318.828.260.000.000
6000003208;WASTE_COL_POINT;WHEELIE BIN STAND;STEEL;100.000.000.000;N;GALVANISED;https://msvnmap1/Asset_Photos/_legacy/72/n10p26.jpg;07/06/2013;51000811;WASTE COLLECTION POINT;WACO15681;23/05/2014;25/05/2014;53.951.889.320.000.000;690.608.877.670.000.000
6000003218;WASTE_COL_POINT;STANDARD LITTER BIN;STEEL;0.00000000000;TBA;;https://msvnmap1/Asset_Photos/_legacy/72/n10p31.jpg;11/06/2013;51002358;WASTE COLLECTION POINT;WACO15682;23/05/2014;25/05/2014;54.028.186.470.000.000;689.748.062.890.000.000
6000003226;WASTE_COL_POINT;WHEELIE BIN STAND;PLASTIC;0.00000000000;TBA;;https://msvnmap1/Asset_Photos/_legacy/72/n10p32.jpg;11/06/2013;51002358;WASTE COLLECTION POINT;WACO15683;23/05/2014;25/05/2014;54.026.865.480.000.000;689.743.946.720.000.000
6000003237;WASTE_COL_POINT;WHEELIE BIN STAND;STEEL;100.000.000.000;N;GALVANISED;https://msvnmap1/Asset_Photos/_legacy/35/f402p52.jpg;19/11/2003;51001206;WASTE COLLECTION POINT;WACO1569;23/05/2014;12/05/2015;53.549.967.900.000.000;689.469.495.590.000.000
6000003264;WASTE_COL_POINT;STANDARD LITTER BIN;STAINLESS STEEL;0.00000000000;TBA;;https://msvnmap1/Asset_Photos/_legacy/72/a19p53.jpg;04/02/2013;51000811;WASTE COLLECTION POINT;WACO15720;23/05/2014;25/05/2014;53.333.176.410.000.000;691.987.750.000.000.000
6000002444;WASTE_COL_POINT;WHEELIE BIN STAND;PLASTIC;0.00000000000;TBA;;https://msvnmap1/Asset_Photos/_legacy/70/s20p2.jpg;12/02/2013;51000811;WASTE COLLECTION POINT;WACO15241;23/05/2014;08/10/2014;53.925.708.760.000.000;691.638.855.020.000.000
6000005350;WASTE_COL_POINT;WHEELIE BIN STAND;STEEL;100.000.000.000;N;GALVANISED;https://msvnmap1/Asset_Photos/_legacy/7/c745p70.jpg;11/03/2004;51000811;WASTE COLLECTION POINT;WACO1723;23/05/2014;25/05/2014;53.840.510.230.000.000;689.498.933.590.000.000
6000005360;WASTE_COL_POINT;STANDARD LITTER BIN;STEEL;100.000.000.000;N;POWDERCOATED;https://msvnmap1/Asset_Photos/_legacy/66/j489p41.jpg;17/03/2004;51000811;WASTE COLLECTION POINT;WACO1725;23/05/2014;25/05/2014;53.566.871.060.000.000;689.460.150.490.000.000
6000005373;WASTE_COL_POINT;STANDARD LITTER BIN;STEEL;100.000.000.000;N;POWDERCOATED;https://msvnmap1/Asset_Photos/_legacy/7/c749p47.jpg;18/03/2004;51000811;WASTE COLLECTION POINT;WACO1726;23/05/2014;25/05/2014;53.505.292.740.000.000;692.783.996.930.000.000
6000005386;WASTE_COL_POINT;WHEELIE BIN STAND;STEEL;200.000.000.000;Y;GALVANISED;https://msvnmap1/Asset_Photos/_legacy/12/e657p57.jpg;19/03/2004;51000811;WASTE COLLECTION POINT;WACO1727;23/05/2014;25/05/2014;52.557.927.690.000.000;692.630.106.250.000.000
6000005404;WASTE_COL_POINT;WHEELIE BIN STAND;STEEL;200.000.000.000;Y;GALVANISED;https://msvnmap1/Asset_Photos/_legacy/8/c683p5.jpg;22/03/2004;51000811;WASTE COLLECTION POINT;WACO1729;23/05/2014;28/01/2015;53.560.318.910.000.000;689.473.300.810.000.000
6000005438;WASTE_COL_POINT;STANDARD LITTER BIN;STEEL;100.000.000.000;Y;POWDERCOATED;https://msvnmap1/Asset_Photos/_legacy/26/k38p43.jpg;25/06/2004;51000811;WASTE COLLECTION POINT;WACO1736;23/05/2014;25/05/2014;54.033.481.950.000.000;689.449.480.660.000.000
6000005472;WASTE_COL_POINT;WHEELIE BIN STAND;STEEL;100.000.000.000;N;GALVANISED;https://msvnmap1/Asset_Photos/_legacy/49/m9p219.jpg;30/06/2004;51000811;WASTE COLLECTION POINT;WACO1748;23/05/2014;25/05/2014;54.207.314.240.000.000;690.689.653.230.000.000
6000005483;WASTE_COL_POINT;WHEELIE BIN STAND;STEEL;100.000.000.000;N;GALVANISED;https://msvnmap1/Asset_Photos/_legacy/10/e516p49.jpg;03/08/2004;51000811;WASTE COLLECTION POINT;WACO1750;23/05/2014;25/05/2014;53.885.537.480.000.000;688.487.173.530.000.000
6000005497;WASTE_COL_POINT;WHEELIE BIN STAND;STEEL;100.000.000.000;N;GALVANISED;https://msvnmap1/Asset_Photos/_legacy/10/e516p49.jpg;03/08/2004;51000811;WASTE COLLECTION POINT;WACO1751;23/05/2014;25/05/2014;53.885.224.140.000.000;688.485.440.890.000.000
6000005516;WASTE_COL_POINT;WHEELIE BIN BRACKET;STEEL;100.000.000.000;N;GALVANISED;https://msvnmap1/Asset_Photos/_legacy/56/f309p103.jpg;05/08/2004;51000811;WASTE COLLECTION POINT;WACO1753;23/05/2014;25/05/2014;53.811.934.250.000.000;690.260.526.570.000.000
