Date,Price,Open,High,Low,Vol.,Change %
Feb 79,271.6,271.6,271.6,271.6,-,0.0727
Mar 79,256.6,256.6,256.6,256.6,-,-0.0552
Apr 79,262.4,262.4,262.4,262.4,-,0.0226
May 79,290.7,290.7,290.7,290.7,-,0.1079
Jun 79,293.5,293.5,293.5,293.5,-,0.0096
Jul 79,297.3,297.3,297.3,297.3,-,0.0129
Aug 79,326.7,326.7,326.7,326.7,-,0.0989
Sep 79,404.5,404.5,404.5,404.5,-,0.2381
Oct 79,385.7,385.7,385.7,385.7,-,-0.0465
Nov 79,419.1,396.5,421,390,-,0.0866
Dec 79,533.6,430.5,534.5,424,-,0.2732
Jan 80,681.5,562.5,875,558,179.39K,0.2772
Feb 80,631,677,729,599,49.35K,-0.0741
Mar 80,501.5,631,648.5,453,57.00K,-0.2052
Apr 80,501.6,504,562,465,23.19K,0.0002
May 80,545.2,490.6,552,478,25.70K,0.0869
Jun 80,647.4,567,658.5,550,26.51K,0.1875
Jul 80,619.7,662.9,691,604,51.30K,-0.0428
Aug 80,635,620,649,600,14.27K,0.0247
Sep 80,671.5,639.7,727,635.5,48.93K,0.0575
Oct 80,636,682,694,620,15.43K,-0.0529
Nov 80,624.6,648,659,585,44.96K,-0.0179
Dec 80,591.3,636,638.5,539,31.36K,-0.0533
Jan 81,501.7,584.3,599.5,485,51.69K,-0.1515
Feb 81,481.5,494,519.5,480,19.52K,-0.0403
Mar 81,513.8,467,553,453,29.73K,0.0671
Apr 81,483.9,513.5,535,468,14.08K,-0.0582
May 81,479.4,488,492,464,39.44K,-0.0093
Jun 81,423.5,481,485.5,422.5,19.61K,-0.1166
Jul 81,403.5,423.3,425.5,394.2,49.73K,-0.0472
Aug 81,425,390,439,387.5,24.40K,0.0533
Sep 81,432.7,421.7,466,417.5,6.62K,0.0181
Oct 81,427,436,459,424,7.15K,-0.0132
Nov 81,408.3,428.1,431,394,44.02K,-0.0438
Dec 81,399.2,403,428.5,394,24.59K,-0.0223
Jan 82,384.6,394.7,405,368,39.88K,-0.0366
Feb 82,360.5,380.1,386.8,359,24.69K,-0.0627
Mar 82,327.5,322.5,328,316.4,51.04K,-0.0915
Apr 82,342.7,327.5,370,322.8,14.47K,0.0464
May 82,322.2,345.5,345.5,321.5,40.56K,-0.0598
Jun 82,314.8,319,337.5,295,22.91K,-0.023
Jul 82,342.7,310.5,366.5,309,88.62K,0.0886
Aug 82,408.6,354,430.5,330.5,21.98K,0.1923
Sep 82,398.5,412.2,496,390.5,31.57K,-0.0247
Oct 82,419.7,403,454.5,385,27.33K,0.0532
Nov 82,442.6,416,443.5,416,53.20K,0.0546
Dec 82,449.9,439.5,459.5,431.1,9.61K,0.0165
Jan 83,510.1,492,511,490,35.78K,0.1338
Feb 83,400.5,508.5,514,396,68.76K,-0.2149
Mar 83,415.9,411,441,405,47.32K,0.0385
Apr 83,430.3,417,446,417,13.87K,0.0346
May 83,412,429,445,410,39.67K,-0.0425
Jun 83,415.5,415,424.8,396.2,13.64K,0.0085
Jul 83,412.8,416.5,430.3,409.8,52.82K,-0.0065
Aug 83,414.4,412.5,427.5,405.5,9.86K,0.0039
Sep 83,401.9,415.5,418.5,397,9.79K,-0.0302
Oct 83,376.2,392,404,375.5,4.08K,-0.0639
Nov 83,403,377,408.8,374.2,60.94K,0.0712
Dec 83,385.1,400.5,404,372,14.42K,-0.0444
Jan 84,373.8,381,381,363.5,32.51K,-0.0293
Feb 84,395.8,378.5,401.5,375.1,10.92K,0.0589
Mar 84,387.5,393.5,405.5,385,36.51K,-0.021
Apr 84,376.1,387.8,391,376.1,12.50K,-0.0294
May 84,386.8,377.1,388.5,369.5,33.81K,0.0284
Jun 84,372.8,389.5,398,368,9.37K,-0.0362
Jul 84,337.7,370.3,371.3,332,68.34K,-0.0942
Aug 84,348.4,338.2,358,336.5,22.08K,0.0317
Sep 84,344.9,340,349.5,334.5,8.50K,-0.01
Oct 84,333.6,346,349.5,333.8,6.05K,-0.0328
Nov 84,329.1,343.2,350,327.5,46.93K,-0.0135
Dec 84,307.9,328.7,334.5,304.7,14.36K,-0.0644
Jan 85,304.1,303.3,308,298,29.51K,-0.0123
Feb 85,287,303,305.5,281.2,11.42K,-0.0562
Mar 85,329.6,286.4,341,286.4,36.77K,0.1484
Apr 85,314.5,321,334,315,11.64K,-0.0458
May 85,316.2,315,325,309.8,20.37K,0.0054
