Date,Country,State,Location,Pure Gold (24 k),Standard Gold (22 K)
1/2/2006,India,Tamilnadu,Chennai,768,711
1/3/2006,India,Tamilnadu,Chennai,770.5,713
1/4/2006,India,Tamilnadu,Chennai,784.5,726
1/5/2006,India,Tamilnadu,Chennai,782.5,725
1/6/2006,India,Tamilnadu,Chennai,776,719
1/7/2006,India,Tamilnadu,Chennai,787.5,729
1/9/2006,India,Tamilnadu,Chennai,790,732
1/10/2006,India,Tamilnadu,Chennai,791,732
1/11/2006,India,Tamilnadu,Chennai,788,730
1/12/2006,India,Tamilnadu,Chennai,789,731
1/13/2006,India,Tamilnadu,Chennai,790,732
1/16/2006,India,Tamilnadu,Chennai,802,743
1/17/2006,India,Tamilnadu,Chennai,812,752
1/18/2006,India,Tamilnadu,Chennai,799,740
1/19/2006,India,Tamilnadu,Chennai,803,744
1/20/2006,India,Tamilnadu,Chennai,810,750
1/21/2006,India,Tamilnadu,Chennai,808.5,749
1/23/2006,India,Tamilnadu,Chennai,808.5,749
1/24/2006,India,Tamilnadu,Chennai,809.5,750
1/25/2006,India,Tamilnadu,Chennai,812,752
1/27/2006,India,Tamilnadu,Chennai,814,754
1/28/2006,India,Tamilnadu,Chennai,813.5,753
1/30/2006,India,Tamilnadu,Chennai,815,755
1/31/2006,India,Tamilnadu,Chennai,821.5,761
2/1/2006,India,Tamilnadu,Chennai,819,758
2/2/2006,India,Tamilnadu,Chennai,824.5,763
2/3/2006,India,Tamilnadu,Chennai,829.5,768
2/4/2006,India,Tamilnadu,Chennai,828.5,767
2/6/2006,India,Tamilnadu,Chennai,830,769
2/7/2006,India,Tamilnadu,Chennai,830,769
2/8/2006,India,Tamilnadu,Chennai,803,744
2/9/2006,India,Tamilnadu,Chennai,815,755
2/10/2006,India,Tamilnadu,Chennai,814,754
2/11/2006,India,Tamilnadu,Chennai,804.5,745
2/13/2006,India,Tamilnadu,Chennai,798,739
2/14/2006,India,Tamilnadu,Chennai,788,730
2/15/2006,India,Tamilnadu,Chennai,797.5,738
2/16/2006,India,Tamilnadu,Chennai,789.5,731
2/17/2006,India,Tamilnadu,Chennai,796.5,738
2/18/2006,India,Tamilnadu,Chennai,805.5,746
2/20/2006,India,Tamilnadu,Chennai,806,746
2/21/2006,India,Tamilnadu,Chennai,805.5,746
2/22/2006,India,Tamilnadu,Chennai,807,747
2/23/2006,India,Tamilnadu,Chennai,807.5,748
2/24/2006,India,Tamilnadu,Chennai,805.5,746
2/25/2006,India,Tamilnadu,Chennai,814.5,754
2/27/2006,India,Tamilnadu,Chennai,813.5,753
2/28/2006,India,Tamilnadu,Chennai,813,753
3/1/2006,India,Tamilnadu,Chennai,819,758
