Date,Headline,Conflict Type,Country,Region,Description,Sources
3000 BC,God Punishes Man with Six-Day Storm,Weapon,Unknown,Western Asia,"Ancient Sumerian legend recounts the deeds of the deity Ea, who punished humanity for its sins by inflicting the Earth with a six-day storm. The Sumerian myth parallels the Biblical account of Noah and the deluge, although some details differ.",Hatami and Gleick 1994
2500 BC,Lagash-Umma border dispute,Weapon,Mesopotamia,Western Asia,"The dispute over the Gu'edena (edge of paradise) region begins. Urlama, King of Lagash from 2450 to 2400 BC, diverts water from this region to boundary canals, drying up boundary ditches to deprive Umma of water. His son Il cuts off the water supply to Girsu, a city in Umma.",Hatami and Gleick 1994
1720-1684 BC,Tigris River dammed,Weapon,Mesopotamia,Western Asia,"A grandson of Hammurabi, Abish or Abi-Eshuh, dams the Tigris to prevent the retreat of rebels led by Iluma-Ilum, who declares the independence of Babylon. This failed attempt marks the decline of the Sumerians who had reached their apex under Hammurabi.",Hatami and Gleick 1994
circa 1300 BC,Kishon River flooded in defeat of Sisera,Weapon,Unknown,Western Asia,"The Old Testament gives an account of the defeat of Sisera and his ""nine hundred chariots of iron' by the unmounted army of Barak on the fabled Plains of Esdraelon. God sends heavy rainfall in the mountains, and the Kishon River overflows the plain and immobilizes or destroys Sisera's technologically superior forces (""...the earth trembled, and the heavens dropped, and the clouds also dropped water,"" Judges 5:4; ""...The river of Kishon swept them away, that ancient river, the river Kishon,' Judges 5:21).",Scofield 1967
1200 BC,Moses parts the Red Sea,Weapon,Egypt,Northern Africa,"When Moses and the retreating Jews find themselves trapped between the Pharaoh's army and the Red Sea, Moses miraculously parts the waters of the Red Sea, allowing his followers to escape. The waters close behind them and cut off the Egyptians.",Hatami and Gleick 1994
720-705 BC,Assyrian king destroys Armenian irrigation network,Casualty,Assyria,Western Asia,"After a successful campaign against the Halidians of Armenia, Sargon II of Assyria destroys their intricate irrigation network and floods their land.",Hatami and Gleick 1994
705-682 BC,Sennacherib razes Babylon,Weapon,Babylon,Western Asia,"In quelling rebellious Assyrians in 695 B.C., Sennacherib razes Babylon and diverts one of the principal irrigation canals so that its waters wash over the ruins.",Hatami and Gleick 1994
701 BC,Hezekiah stops springs in advance of Assyrian Invasion,Casualty,Assyria,Western Asia,"When King Hezekiah of Judah sees that Sennacherib of Assyria is coming in war, he has springs and a brook outside Jerusalem stopped to keep water from the Assyrians. (""So there was gathered much people together, who stopped all the fountains, and the brook that ran through the midst of the land, saying, Why should the kings of Assyria come, and find much water"" 2 Chronicles 32:1""4).",Scofield 1967
681-699 BC,Assyrian king cuts off water of enemy,Weapon,Assyria,Western Asia,"Esarhaddon, an Assyrian, refers to an earlier period when gods, angered by insolent mortals, created destructive floods. According to inscriptions recorded during his reign, Esarhaddon besieges Tyre, cutting off food and water.",Hatami and Gleick 1994
669-626 BC,Assyrian king dries up enemy's wells,Weapon,Assyria,Western Asia,"Ashurbanipal's inscriptions also refer to a siege against Tyre, although scholars attribute it to Esarhaddon. In campaigns against both Arabia and Elam in 645 B.C., Ashurbanipal, son of Esarhaddon, dries up wells to deprive Elamite troops. He also guards wells from Arabian fugitives in an earlier Arabian war. On his return from victorious battle against Elam, Ashurbanipal floods the city of Sapibel, and ally of Elam. According to inscriptions, he dams the Ulai River with the bodies of dead Elamite soldiers and deprives dead Elamite kings of their food and water offerings.",Hatami and Gleick 1994
612 BC,Khosr River diverted by Babylonians,Weapon,Assyria,Western Asia,"A coalition of Egyptian, Median (Persian), and Babylonian forces attacks and destroys Nineveh, the capital of Assyria. Nebuchadnezzar's father, Nabopolassar, leads the Babylonians. The converging armies divert the Khosr River to create a flood, which allows them to elevate their siege engines on rafts.",Hatami and Gleick 1994
605-562 BC,Nebuchadnezzar uses Euphrates River as defense,Weapon,Babylon,Western Asia,"Nebuchadnezzar builds immense walls around Babylon, using the Euphrates and canals as defensive moats surrounding the inner castle.",Hatami and Gleick 1994
590-600 BC,Athens poisons enemies' water,Weapon,Greece,Southern Europe,Athenian legislator Solon reportedly has roots of helleborus thrown into a small river or aqueduct leading from the Pleistrus River to Cirrha during a siege of this city. The enemy forces become violently ill and are defeated as a result. Some accounts have Solon building a dam across the Plesitus River cutting off the city's water supply. Such practices are widespread.,Absolute Astronomy n.d.
6th Century BC,Assyrians poison wells of enemies,Weapon,Assyria,Western Asia,Assyrians poison the wells of their enemies with rye ergot.,Eitzen and Takafuji 1997
596 BC,The use of water as a weapon in the ancient Middle East,Weapon,Unknown,Western Asia,Nebuchadnezzar breaches the aqueduct that supplies the city of Tyre in order to end a long siege.,Lorenz and Shaver 2003
558-528 BC,Cyrus diverts the Diyalah River,Weapon,Babylon,Western Asia,"On his way from Sardis to defeat Nabonidus at Babylon, Cyrus faces a powerful tributary of the Tigris, probably the Diyalah. According to Herodotus' account, the river drowns his royal white horse and presents a formidable obstacle to his march. Cyrus, angered by the ""insolence"" of the river, halts his army and orders them to cut 360 canals to divert the river's flow. Other historians argue that Cyrus needed the water to maintain his troops on their southward journey, while another asserts that the construction was an attempt to win the confidence of the locals.",Hatami and Gleick 1994
539 BC,Cyrus diverts the Euphrates,Weapon,Babylon,Western Asia,"According to Herodotus, Cyrus invades Babylon by diverting the Euphrates above the city and marching troops along the dry riverbed. This popular account describes a midnight attack that coincided with a Babylonian feast.",Hatami and Gleick 1994
430 BC,Spartans poison cisterns of Piraeus,Weapon,Greece,Southern Europe,"During the second year of the Peloponnesian War, a plague breaks out in Athens. The Spartans are accused of poisoning the cisterns of the Piraeus, the source of most of Athens' water.",Tschanz 2006
424 BC,"Water as a weapon in the battle of Delium, 424 BC",Weapon,Greece,Southern Europe,"In the battle of Delium, the Athenians are at war with the Theban Confederacy. It is a custom at that time not to damage sacred areas, such as the waters at the Delium temple. In this conflict, however, the Athenians foul the temple waters and destroy local vineyards and agricultural fields for a short-term military advantage.",Hanson 1995
355-323 BC,Alexander tears down Persian dams,Casualty,Babylon,Western Asia,"Returning from the razing of Persepolis, Alexander proceeds to India. After the Indian campaigns, he heads back to Babylon via the Persian Gulf and the Tigris, where he tears down defensive weirs that the Persians had constructed along the river. The Greek historian Arrian describes Alexander's disdain for the Persians' attempt to block navigation, which he saw as ""unbecoming to men who are victorious in battle.""",Hatami and Gleick 1994
210 BC,Parthian king Arsaces III destroys water supply system,Casualty,Unknown,Southern Asia,"Around 210 BC, Arsaces III, one of the Parthian kings, destroys qanats (underground channels) in order to make it difficult for the attacking army of Seleucid Antiochus to advance toward the Parthian capital, Hecatompylos.",Angelakis et al 2016
204 BC,Wei River dams in China are breached in 204 BC,Weapon,China,Eastern Asia,An intentional rupturing of the Wei River dams leads to the victory of  Han Dynasty forces.,Janku 2016
2nd century BC,The Achaeans use water as a weapon in the siege of Phana,Weapon,Greece,Southern Europe,"Pausanias speaks of an Etolian town named Phana (perhaps the Paeanium of Polybius) besieged by the Achaeans, but without success. After an unsuccessful consultation with the Oracle of Delphi,  the Achaeans accidentally discover the spring from which the besieged town derives its only supply of water. This being cut off, the town is forced to surrender.",Cramer 1828
101 BC,Water is used as a weapon in 101 BC China,Weapon,"China, Japan",Eastern Asia,"Fergana (Yuan), the capital of China, surrenders after the enemy cuts off the city's water supplies. ""In the city of the king of Yuan there were no wells, and the people had to obtain water from a river outside the city, whereupon experts in hydraulics were sent to divert the course of the river, thus depriving the city of water, besides effecting an opening though which the city might be laid open to access. General Ir-shi wished to attack Yu-chong but was afraid his detention might allow Yuan to resort to additional stratagems. He therefore went direct to Yuan, cut off the source of its water supply by diverting the course of the river upon which it depended, and the city was in great straits.""",Hirth 1917
52 BC,Caesar constructs ditches in Siege of Alesia,Weapon,Roman Empire,Southern Europe,"Caesar constructs water-filled ditches as blockade during Siege of Alesia in Gaul, site of modern-day Alise-Sainte-Reine in C?te-d'Or near Dijon, France.",Caesar 52 BC
51 BC,Caesar attacks water supplies during siege of Uxellodunum,Weapon,Roman Empire,Southern Europe,Caesar attacks water supplies during siege of Uxellodunum by undermining one of the local springs and placing attackers near the other. Shortage of water leads to the surrender of the Gauls.,History of War Online n.d.
49 BC,Marseille uses water to defend against Roman siege,Weapon,Roman Empire,Western Europe,"During the first year of the Great Roman Civil War, Julius Caesar's troops lay siege to the walled city of Massilia (modern-day Marseille, France) using siege towers, battering rams, and by digging ""mines"" or tunnels to undermine the city walls. Massilians defend their city with ""dogged determination;"" tactics included directing water through pipes to wash down on attackers, which the Romans counter by covering siege buildings with bricks and ""several coatings of stucco."" Defenders also excavate a large basin inside the walls, filling it with water. As the Roman miners reach the walls, the tunnels are flooded with water and collapse. Massilia ultimately surrenders after a five-month siege.",Illustrated History of the Roman Empire n.d.
30 AD,Jewish protestors killed by Roman troops in protest over stream diversion,Trigger,Roman Empire,Western Asia,"Roman Procurator Pontius Pilate uses sacred money to divert a stream to Jerusalem, Israel. The Jews are angered at the diversion and tens of thousands gather to protest. Pilate's soldiers mingle among the crowd and with daggers hidden in their garments, attack the protesters. ""A great number"" are slain and wounded and the sedition ends.",Josephus 90 AD
537,Goths cut Roman aqueducts,Weapon,Roman Empire,Southern Europe,"In the 6th century AD, as the Roman Empire begins to decline, the Goths besiege Rome and cut almost all of the aqueducts leading into the city. In 537 AD this siege is successful. The only aqueduct that continues to function is the Aqua Virgo, which runs almost entirely underground.",Rome Guide 2004
1187,Saladin cuts off Crusaders' water,Weapon,Principality of Galilee,Western Asia,"Saladin is able to defeat the Crusaders at the Horns of Hattin in 1187 by denying them access to water. In some reports, Saladin fills all the wells along the way with sand and destroys the villages of the Maronite Christians who would supply the Christian army with water.",Lockwood 2001
1260,"Intentional Drying Up of Canals in Mughal, India",Weapon,India,Southern Asia,"Historian M. Athar Ali writes that in Mughal India, in the 1260s, the water canals and reservoirs feeding Delhi were intentionally dried up ""because the channels feeding it were dammed up by 'dishonest men,'"" referring to local protests over social and political conditions.",Sethi 2016
1503,Florence plan to cut Pisa's water,Weapon,Republic of Florence,Southern Europe,Leonardo da Vinci and Machiavelli plan to divert Arno River away from Pisa during conflict between Pisa and Florence (Italy).,Honan 1996
1573-1574,Dutch flood land to repel Spaniards,Weapon,Spanish Netherlands,Western Europe,"In 1573 at the beginning of the eighty years war against Spain, the Dutch flood the land to break the siege of Spanish troops on the town Alkmaar. The same defense is used to protect Leiden in 1574. This strategy becomes known as the Dutch Water Line and is used frequently for defense in later years.",Dutch Water Line 2002
1626-1629,Spain attempts to re-route Rhine River to harm Dutch,Weapon,Spanish Netherlands,Western Europe,"The Spanish Habsburgs attempt to prevent ship traffic on the River Rhine from reaching the Dutch Republic in order to damage the Dutch economy. Plans are also made to divert water from the Rhine to lands under Spanish control, to dry up downstream cities in Holland. The first stage is a canal between the Rhine and Meuse, between the cities of Rheinberg and Venlo. Plans for a later stage call for a connection between the Meuse and the Scheldt to circumvent the Scheldt Estuary, controlled by the Dutch. Although some 60 km is constructed, the plan fails due to changed military conditions and lack of funding. Parts of the canal are still visible in present-day Germany.",Israel 1997
1642,China floods rebel peasants,Weapon,China,Eastern Asia,"The Huang He's dikes are breached for military purposes. In 1642, ""toward the end of the Ming dynasty (1368-1644), General Gao Mingheng used the tactic near Kaifeng, China in an attempt to suppress a peasant uprising.""",Hillel 1991
1642,"300,000 deaths when Yellow River dikes are breached in 1642.",Weapon,China,Eastern Asia,"In 1642, in a battle between the incoming Manchu and the forces of the Ming dynasty, Yellow River (China) dikes are breached by both sides, creating a catastrophe for Kaifeng in which 300,000 of its 378,000 citizens die.",Janku 2016
1672,Dutch flood land to repel French,Weapon,Dutch Republic,Western Europe,"Louis XIV starts the third of the Dutch Wars in 1672, in which the French overrun the Netherlands. In defense, the Dutch open their dikes and flood the country, creating a watery barrier that is virtually impenetrable.",Columbia Encyclopedia 2000b
1748,New York water dispute,Trigger,British Colonies in America,North America,Ferry house on Brooklyn shore of East River burns down. New Yorkers accuse Brooklynites of having set the fire as revenge for unfair East River water rights.,Museum of the City of New York (MCNY) n.d.
1777,British attack New York's water,Casualty,United States,North America,"British and Hessians attack the water system of New York. ""...the enemy wantonly destroyed the New York water works' during the War for Independence.",Thatcher 1827
1802,Wells polluted in Saint-Domingue,Casualty,"Saint-Domingue, Hispaniola",Latin America and the Ca,"A leader of the slave rebellion on the island of Hispaniola in the Caribbean, Toussaint L'Oueverture, says ""The only resources we have are destruction and fire. Annihilate everything and burn everything. Block the roads, pollute the wells with corpses and dead horses.""",Hochschild 2006
