Date,Open,High,Low,Close,Adj Close,compound,neg,neu,pos
2006-12-01,13.1143,13.19,12.8714,91.32,13.0457,0.7707,0.032,0.905,0.063
2006-12-04,13.1257,13.15,12.9286,91.12,13.0171,0.872,0.011,0.904,0.085
2006-12-05,13.0929,13.19,12.9814,91.27,13.0386,0.0,0.0,0.0,0.0
2006-12-06,12.9486,13.0557,12.81,89.83,12.8329,0.6858,0.029,0.878,0.093
2006-12-07,12.8614,12.9286,12.4143,87.04,12.4343,-0.6712,0.091,0.869,0.04
2006-12-08,12.4614,12.77,12.4286,88.26,12.6086,-0.1796,0.084,0.848,0.069
2006-12-11,12.7,12.7571,12.5786,88.75,12.6786,-0.8743,0.105,0.852,0.042
2006-12-12,12.6586,12.6914,12.2186,86.14,12.3057,0.0,0.0,0.0,0.0
2006-12-13,12.5643,12.7243,12.45,89.05,12.7214,0.936,0.018,0.9,0.082
2006-12-14,12.7214,12.8571,12.6086,88.55,12.65,0.962,0.026,0.88,0.094
2006-12-15,12.7171,12.7457,12.4757,87.72,12.5314,-0.5228,0.051,0.905,0.044
2006-12-18,12.5186,12.5714,12.0843,85.47,12.21,0.7059,0.03,0.887,0.082
2006-12-19,12.1043,12.3829,11.9457,86.31,12.33,-0.6705,0.132,0.78,0.088
2006-12-20,12.3529,12.3814,12.1057,84.76,12.1086,-0.802,0.131,0.781,0.088
2006-12-21,12.1,12.2114,11.7429,82.9,11.8429,0.0,0.0,0.0,0.0
2006-12-22,11.9229,12.0057,11.6571,82.2,11.7429,0.7269,0.011,0.942,0.047
2006-12-26,11.7357,11.7957,11.5557,81.51,11.6443,-0.7685,0.07,0.885,0.045
2006-12-27,11.1643,11.7143,10.9671,81.52,11.6457,0.9488,0.054,0.845,0.101
2006-12-28,11.46,11.6071,11.3786,80.87,11.5529,0.8636,0.076,0.814,0.11
2006-12-29,11.9929,12.2,11.9086,84.84,12.12,0.8914,0.07,0.802,0.128
2007-01-03,12.3271,12.3686,11.7,83.8,11.9714,-0.3881,0.082,0.851,0.067
2007-01-04,12.0071,12.2786,11.9743,85.66,12.2371,0.8456,0.066,0.844,0.09
2007-01-05,12.2529,12.3143,12.0571,85.05,12.15,0.9698,0.0,0.922,0.078
2007-01-08,12.28,12.3614,12.1829,85.47,12.21,0.8798,0.072,0.826,0.102
2007-01-09,12.35,13.2829,12.1643,92.57,13.2243,-0.946,0.102,0.853,0.045
2007-01-10,13.5357,13.9714,13.35,97.0,13.8571,-0.8465,0.072,0.893,0.035
2007-01-11,13.7057,13.8257,13.5857,95.8,13.6857,0.6509,0.056,0.878,0.066
2007-01-12,13.5129,13.58,13.3186,94.62,13.5171,0.968,0.028,0.865,0.107
2007-01-16,13.6686,13.8929,13.6357,97.1,13.8714,-0.8212,0.074,0.869,0.058
2007-01-17,13.9371,13.9429,13.5457,94.95,13.5643,0.7482,0.073,0.83,0.097
2007-01-18,13.1571,13.1586,12.7214,89.07,12.7243,0.9592,0.059,0.822,0.119
2007-01-19,12.6614,12.8071,12.5886,88.5,12.6429,0.9864,0.022,0.828,0.149
2007-01-22,12.7343,12.7371,12.2357,86.79,12.3986,0.9829,0.034,0.85,0.116
2007-01-23,12.2471,12.5014,12.2157,85.7,12.2429,0.7184,0.033,0.917,0.05
2007-01-24,12.3829,12.45,12.2971,86.7,12.3857,-0.2592,0.063,0.887,0.05
2007-01-25,12.4443,12.6429,12.29,86.25,12.3214,0.9268,0.0,0.89,0.11
2007-01-26,12.4443,12.4814,12.1414,85.38,12.1971,0.6187,0.0,0.932,0.068
2007-01-29,12.3286,12.3786,12.2186,85.94,12.2771,-0.0,0.107,0.787,0.107
2007-01-30,12.3471,12.3557,12.1786,85.55,12.2214,0.9473,0.069,0.804,0.127
2007-01-31,12.1229,12.2857,12.05,85.73,12.2471,0.25,0.028,0.931,0.04
2007-02-01,12.3186,12.3243,12.1057,84.74,12.1057,0.9152,0.022,0.905,0.073
2007-02-02,12.0171,12.1786,11.9571,84.75,12.1071,-0.4235,0.083,0.846,0.071
2007-02-05,12.0429,12.1757,11.9914,83.94,11.9914,0.8481,0.068,0.84,0.092
2007-02-06,12.0643,12.0671,11.8371,84.15,12.0214,0.0,0.0,0.0,0.0
2007-02-07,12.0686,12.34,11.9357,86.15,12.3071,-0.2681,0.03,0.941,0.029
2007-02-08,12.2043,12.3586,12.2014,86.18,12.3114,0.9928,0.016,0.819,0.165
2007-02-09,12.2686,12.3143,11.8871,83.27,11.8957,0.9634,0.027,0.875,0.099
2007-02-12,12.0614,12.1686,11.9471,84.88,12.1257,-0.9729,0.151,0.79,0.059
2007-02-13,12.1657,12.1843,12.0429,84.7,12.1,0.0,0.0,0.0,0.0
2007-02-14,12.09,12.2343,12.0814,85.3,12.1857,0.9158,0.041,0.861,0.098
2007-02-15,12.2057,12.2314,12.1114,85.21,12.1729,0.6369,0.04,0.894,0.065
2007-02-16,12.1786,12.2014,12.0943,84.83,12.1186,0.4754,0.055,0.874,0.071
2007-02-20,12.0929,12.3086,12.0229,85.9,12.2714,0.9789,0.009,0.883,0.108
2007-02-21,12.2829,12.7843,12.28,89.2,12.7429,-0.8625,0.07,0.895,0.035
2007-02-22,12.9714,12.9729,12.6471,89.51,12.7871,0.8402,0.08,0.821,0.099
2007-02-23,12.7371,12.9057,12.6929,89.07,12.7243,0.9806,0.044,0.824,0.132
2007-02-26,12.8343,12.8571,12.5157,88.51,12.6443,0.9869,0.0,0.852,0.148
2007-02-27,12.3286,12.44,11.9157,83.93,11.99,0.9581,0.013,0.862,0.125
2007-02-28,11.8571,12.2286,11.8571,84.61,12.0871,0.0,0.0,0.0,0.0
2007-03-01,12.0043,12.6157,11.9643,87.06,12.4371,-0.9539,0.105,0.884,0.011
2007-03-02,12.3957,12.5057,12.1729,85.41,12.2014,-0.93,0.065,0.911,0.024
2007-03-05,12.27,12.6643,12.2514,86.32,12.3314,0.3071,0.039,0.913,0.048
2007-03-06,12.5429,12.6157,12.4857,88.19,12.5986,0.9944,0.0,0.79,0.21
2007-03-07,12.5786,12.71,12.4929,87.72,12.5314,0.0,0.0,0.0,0.0
2007-03-08,12.6557,12.6743,12.4943,88.0,12.5714,0.4398,0.02,0.948,0.032
2007-03-09,12.6857,12.6929,12.4857,87.97,12.5671,0.9501,0.018,0.889,0.093
2007-03-12,12.5814,12.8557,12.57,89.87,12.8386,-0.9724,0.166,0.743,0.091
2007-03-13,12.7729,12.9429,12.6286,88.4,12.6286,0.5135,0.095,0.806,0.099
2007-03-14,12.6571,12.8571,12.56,90.0,12.8571,0.9553,0.038,0.852,0.11
2007-03-15,12.8514,12.9086,12.7586,89.57,12.7957,0.5713,0.027,0.926,0.046
2007-03-16,12.7914,12.8557,12.76,89.59,12.7986,0.1882,0.055,0.886,0.06
2007-03-19,12.8914,13.0786,12.7986,91.13,13.0186,-0.743,0.089,0.834,0.077
2007-03-20,13.05,13.12,13.0086,91.48,13.0686,0.738,0.048,0.872,0.08
2007-03-21,13.1414,13.4286,13.0929,93.87,13.41,0.4762,0.016,0.959,0.025
2007-03-22,13.39,13.48,13.2857,93.96,13.4229,-0.6633,0.022,0.978,0.0
2007-03-23,13.3357,13.4386,13.3286,93.52,13.36,0.9151,0.035,0.892,0.073
2007-03-26,13.4271,13.7,13.3286,95.85,13.6929,0.6808,0.059,0.789,0.151
2007-03-27,13.6729,13.8329,13.5714,95.46,13.6371,-0.3939,0.056,0.893,0.051
2007-03-28,13.5543,13.6286,13.3071,93.24,13.32,0.0,0.0,0.0,0.0
2007-03-29,13.4557,13.4557,13.1757,93.75,13.3929,0.875,0.018,0.838,0.145
2007-03-30,13.4686,13.5257,13.25,92.91,13.2729,0.2382,0.0,0.974,0.026
2007-04-02,13.4486,13.4643,13.2886,93.65,13.3786,0.7677,0.057,0.865,0.078
2007-04-03,13.4486,13.6043,13.3943,94.5,13.5,0.0,0.0,0.0,0.0
2007-04-04,13.5629,13.5914,13.4471,94.27,13.4671,0.949,0.052,0.845,0.103
2007-04-05,13.4457,13.5257,13.36,94.68,13.5257,0.0,0.0,0.0,0.0
2007-04-09,13.6014,13.6143,13.2914,93.65,13.3786,0.945,0.014,0.909,0.076
2007-04-10,13.3814,13.4657,13.3443,94.25,13.4643,0.969,0.047,0.834,0.119
2007-04-11,13.4143,13.4214,13.19,92.59,13.2271,0.9799,0.048,0.831,0.12
2007-04-12,13.1486,13.1871,12.96,92.19,13.17,-0.4569,0.071,0.87,0.059
2007-04-13,12.9857,13.0571,12.8657,90.24,12.8914,0.204,0.062,0.871,0.067
2007-04-16,12.9386,13.0714,12.8929,91.43,13.0614,0.4588,0.036,0.89,0.074
2007-04-17,13.1429,13.1857,12.8143,90.35,12.9071,0.959,0.015,0.826,0.159
2007-04-18,12.88,12.9786,12.8,90.4,12.9143,0.9814,0.027,0.815,0.157
2007-04-19,12.8843,13.0357,12.8329,90.27,12.8957,0.9472,0.045,0.847,0.108
2007-04-20,12.9843,13.0257,12.9357,90.97,12.9957,0.8895,0.039,0.859,0.103
2007-04-23,13.0843,13.4,13.06,93.51,13.3586,0.936,0.036,0.879,0.085
2007-04-24,13.4229,13.77,13.0429,93.24,13.32,-0.7127,0.094,0.821,0.085
2007-04-25,13.4614,13.6286,13.4,95.35,13.6214,-0.9543,0.115,0.818,0.067
2007-04-26,14.5114,14.6429,14.0429,98.84,14.12,0.8668,0.045,0.878,0.077
2007-04-27,14.0257,14.2786,13.9557,99.92,14.2743,0.8689,0.058,0.852,0.09
2007-04-30,14.2986,14.4286,14.2386,99.8,14.2571,0.0,0.0,1.0,0.0
2007-05-01,14.2271,14.3357,14.0786,99.47,14.21,0.1212,0.149,0.711,0.14
2007-05-02,14.2357,14.3629,14.21,100.39,14.3414,-0.9913,0.21,0.719,0.071
