Collections,Sales,Buyers,Txns,Owners
Axie Infinity,"$3,945,119,477","1,556,752","13,723,004","2,952,428"
CryptoPunks,"$2,001,750,639","5,154","20,087","3,470"
Bored Ape Yacht Club,"$1,306,466,924","9,402","24,469","6,314"
Art Blocks,"$1,183,404,370","26,109","140,456","30,192"
NBA Top Shot,"$899,041,520","407,970","15,778,187","649,140"
Mutant Ape Yacht Club,"$836,696,318","14,624","25,567","11,703"
Meebits,"$390,404,633","8,399","25,686",
CloneX,"$368,917,168","6,178","11,691",
The Sandbox,"$364,042,442","20,845","46,700","19,132"
Azuki,"$280,688,908","9,596","19,443",
Loot,"$276,401,427","3,914","10,939",
Doodles,"$273,578,750","9,839","18,800","5,997"
Cool Cats,"$268,107,968","9,101","25,158","5,135"
Sorare,"$211,466,212","63,274","1,244,247","88,558"
Parallel Alpha,"$209,012,557","16,805","85,248",
CrypToadz,"$204,126,215","7,501","17,566","3,857"
Bored Ape Kennel Club,"$197,640,225","7,609","17,623","5,426"
Farmers World,"$185,658,941","46,754","2,168,991","96,524"
CyberKongz,"$171,156,849","3,265","5,506","2,435"
MekaVerse,"$169,652,657","5,752","11,407","5,158"
World Of Women,"$162,015,340","8,460","21,598","5,059"
PUNKS Comic,"$161,459,703","4,171","10,688","3,467"
0N1 Force,"$155,128,591","7,969","18,017","4,277"
Pudgy Penguins,"$155,102,548","11,617","30,340","4,684"
Solana Monkey Business,"$146,112,362","3,505","8,212","2,717"
Bored Ape Chemistry Club,"$139,186,143","1,898","3,328",
Zed Run,"$137,401,564","58,919","236,482","55,087"
Veefriends,"$127,834,050","1,806","3,579","5,210"
Degenerate Ape Academy,"$124,352,357","6,757","18,828","5,232"
RTFKT CloneX Mintvial,"$118,144,300","2,653","5,679",1
HAPE PRIME,"$117,267,194","4,162","6,374",
Curio Cards,"$114,161,342","7,109","21,771",1
Creature World NFT,"$113,720,955","11,219","23,507","6,167"
Emblem Vault,"$103,950,095","4,666","17,289","5,136"
Prime Ape Planet,"$98,818,069","7,673","13,697",
Wolf Game,"$97,802,512","8,659","29,910","7,880"
LOSTPOETS,"$97,785,377","8,257","23,063","5,842"
Fluf World,"$97,727,645","6,176","18,124","3,524"
PhantaBear,"$97,428,607","7,387","14,678","5,342"
The n project,"$95,498,329","5,104","12,934","1,839"
CyberKongz VX,"$93,928,166","7,356","18,695","4,554"
The Doge Pound,"$92,023,437","7,508","14,679","5,639"
Lazy Lions,"$86,232,926","10,348","24,850","5,031"
