floorUSD,totalVolumeUSD,address,logo,marketplaces,name,chains,floor,owners,totalVolume,category,SK,PK,dailyVolumeUSD,dailyVolume,slug
0,2734505883,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,https://lh3.googleusercontent.com/BdxvLseXcfl57BiuQcQYdJ64v-aI8din7WPk0Pgo3qQFhAUH-B6i-dCqqc_mCkRIzULmwzwecnohLhrcH8A9mpWIZqA7ygc52Sr81hE=s120,['opensea'],CryptoPunks,['ethereum'],0.0,3313,775319.649149289,collections,overview,collection#cryptopunks,1636712,464.06,cryptopunks
232425,1061782940,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,https://lh3.googleusercontent.com/Ju9CkWtV-1Okvf45wo8UctR-M9He2PjILP0oOvxE89AyiPPGtrR3gysu1Zgy0hjd2xKIgjJJtWIc0ybj4Vd7wv8t3pxDGHoJBzDB=s120,['opensea'],Bored Ape Yacht Club,['ethereum'],65.9,6088,301049.3346361231,collections,overview,collection#boredapeyachtclub,6313610,1790.1099000000002,boredapeyachtclub
12400,805030140,0x959e104e1a4db6317fa58f8295f586e1a978c297,https://lh3.googleusercontent.com/5KIxEGmnAiL5psnMCSLPlfSxDxfRSk4sTQRSyhPdgnu70nGb2YsuVxTmO2iKEkOZOfq476Bl1hAu6aJIKjs1myY=s60,['opensea'],Decentraland,['ethereum'],3.51581696,6261,228251.72519143857,collections,overview,collection#decentraland,1822724,516.8002996399999,decentraland
51141,624541489,0x60e4d786628fea6478f785a6d7e704777c86a7c6,https://lh3.googleusercontent.com/lHexKRMpw-aoSyB1WdFBff5yfANLReFxHzt1DOj_sg7mS14yARpuvYcUtsyyx-Nkpk6WTcUPFoG53VnLJezYi8hAs0OxNZwlw6Y-dmI=s120,['opensea'],Mutant Ape Yacht Club,['ethereum'],14.5,11199,177077.43509971295,collections,overview,collection#mutant-ape-yacht-club,8617518,2443.3411900000006,mutant-ape-yacht-club
12274,461613503,0x50f5474724e0ee42d9a4e711ccfb275809fd6d4a,https://lh3.googleusercontent.com/SXH8tW1siikB80rwCRnjm1a5xM_MwTg9Xl9Db6mioIk9HIlDM09pVoSR7GKJgS6ulSUpgW9BDtMk_ePX_NKgO9A=s60,['opensea'],The Sandbox,['ethereum'],3.48,17884,130882.1536699509,collections,overview,collection#sandbox,3671598,1041.0151684750006,sandbox
0,346894962,0xd07dc4262bcdbf85190c01c996b4c06a461d2430,https://lh3.googleusercontent.com/FG0QJ00fN3c_FWuPeUr9-T__iQl63j9hn5d6svW8UqOmia5zp3lKHPkJuHcvhZ0f_Pd6P2COo9tt9zVUvdPxG_9BBw=s60,['opensea'],Rarible,['ethereum'],0.0,199006,98355.78772212229,collections,overview,collection#rarible,52085,14.767700000000001,rarible
13579,280312920,0x7bd29408f11d2bfc23c34f18275bbf23bb716bc7,https://lh3.googleusercontent.com/d784iHHbqQFVH1XYD6HoT4u3y_Fsu_9FZUltWjnOzoYv7qqB5dLUqpGyHBd8Gq3h4mykK5Enj8pxqOUorgD2PfIWcVj9ugvu8l0=s120,['opensea'],Meebits,['ethereum'],3.85,5495,79477.65493293422,collections,overview,collection#meebits,357593,101.389,meebits
6,272991352,0xfeb52cbf71b9adac957c6f948a6cf9980ac8c907,https://lh3.googleusercontent.com/5KIxEGmnAiL5psnMCSLPlfSxDxfRSk4sTQRSyhPdgnu70nGb2YsuVxTmO2iKEkOZOfq476Bl1hAu6aJIKjs1myY=s60,['opensea'],Decentraland Wearables,['ethereum'],0.00168514,10210,77401.75671326058,collections,overview,collection#decentraland-wearables,1597,0.4526738,decentraland-wearables
0,267767841,0x06012c8cf97bead5deae237070f9587f8e7a266d,https://lh3.googleusercontent.com/C272ZRW1RGGef9vKMePFSCeKc1Lw6U40wl9ofNVxzUxFdj84hH9xJRQNf-7wgs7W8qw8RWe-1ybKp-VKuU5D-tg=s60,['opensea'],CryptoKitties,['ethereum'],0.0,111855,70173.99924432432,collections,overview,collection#cryptokitties,5068,1.3280556648538466,cryptokitties
6525,255389875,0xff9c1b15b16263c61d017ee9f65c50e4ae0113d7,https://lh3.googleusercontent.com/g-NFUWjS4IGgym8PHBxyhg5-G_B4x-IHgPKRkxo00JQFE3LOd-95yU2uhrokITVmV7KHEav6OMfAhfJ4roC5hwP-0tI9dMRd9wQLdw=s120,['opensea'],Loot (for Adventurers),['ethereum'],1.85,2523,72411.17661314014,collections,overview,collection#lootproject,88343,25.048,lootproject
