NFTMarket_DailyVolumeUSD,Date
296,2018-01-23
1278,2018-01-25
7728,2018-01-26
814,2018-01-27
5732,2018-01-28
7482,2018-01-29
1314,2018-01-30
9886,2018-01-31
3474,2018-02-01
18015,2018-02-02
1449,2018-02-03
1875,2018-02-04
821,2018-02-05
646,2018-02-06
491,2018-02-07
571,2018-02-08
248,2018-02-09
351,2018-02-10
360,2018-02-11
83,2018-02-12
1202,2018-02-13
355,2018-02-14
5061,2018-02-15
7751,2018-02-16
2488,2018-02-17
886,2018-02-18
367,2018-02-19
754,2018-02-20
1602,2018-02-21
636,2018-02-22
942,2018-02-23
4136,2018-02-24
102,2018-02-25
827,2018-02-26
494,2018-02-27
2112,2018-02-28
322,2018-03-01
66,2018-03-02
181,2018-03-03
60,2018-03-04
8,2018-03-05
56,2018-03-06
85,2018-03-07
44,2018-03-08
56,2018-03-09
11,2018-03-10
7,2018-03-11
12,2018-03-12
32,2018-03-13
143,2018-03-14
167,2018-03-15
82,2018-03-16
35,2018-03-17
96,2018-03-18
85,2018-03-19
942,2018-03-20
143,2018-03-21
38,2018-03-22
136,2018-03-23
112,2018-03-24
125,2018-03-25
33,2018-03-26
36,2018-03-27
6,2018-03-28
71,2018-03-29
115,2018-03-30
612,2018-03-31
12,2018-04-01
27,2018-04-02
67,2018-04-03
92,2018-04-04
510,2018-04-05
1004,2018-04-06
665,2018-04-07
453,2018-04-08
426,2018-04-09
435,2018-04-10
321,2018-04-11
449,2018-04-12
299,2018-04-13
641,2018-04-14
359,2018-04-15
552,2018-04-16
249,2018-04-17
27,2018-04-18
342,2018-04-19
562,2018-04-20
304,2018-04-21
351,2018-04-22
996,2018-04-23
835,2018-04-24
1328,2018-04-25
1156,2018-04-26
842,2018-04-27
923,2018-04-28
854,2018-04-29
1293,2018-04-30
845,2018-05-01
698,2018-05-02
476,2018-05-03
552,2018-05-04
554,2018-05-05
1167,2018-05-06
1798,2018-05-07
701,2018-05-08
887,2018-05-09
911,2018-05-10
684,2018-05-11
385,2018-05-12
324,2018-05-13
270,2018-05-14
449,2018-05-15
591,2018-05-16
181,2018-05-17
429,2018-05-18
220,2018-05-19
601,2018-05-20
303,2018-05-21
259,2018-05-22
373,2018-05-23
298,2018-05-24
320,2018-05-25
291,2018-05-26
349,2018-05-27
185,2018-05-28
294,2018-05-29
168,2018-05-30
2558,2018-05-31
354,2018-06-01
36,2018-06-02
133,2018-06-03
135,2018-06-04
34,2018-06-05
94,2018-06-06
37,2018-06-07
82,2018-06-08
131,2018-06-09
320,2018-06-10
184,2018-06-11
278,2018-06-12
6,2018-06-13
104,2018-06-14
167,2018-06-15
88,2018-06-16
97,2018-06-17
295,2018-06-18
212,2018-06-19
7,2018-06-20
185,2018-06-21
49,2018-06-22
30,2018-06-23
36,2018-06-24
7,2018-06-25
11,2018-06-26
59,2018-06-27
44,2018-06-28
10,2018-06-29
117,2018-06-30
2,2018-07-01
3,2018-07-02
5,2018-07-03
11,2018-07-04
2,2018-07-05
3,2018-07-06
3,2018-07-07
104,2018-07-08
82,2018-07-09
56,2018-07-10
254,2018-07-11
77,2018-07-12
129,2018-07-13
6,2018-07-14
8,2018-07-15
129,2018-07-16
86,2018-07-17
33,2018-07-18
9,2018-07-19
34,2018-07-20
488,2018-07-21
53,2018-07-22
95,2018-07-23
109,2018-07-24
99,2018-07-25
97,2018-07-26
177,2018-07-27
37,2018-07-28
93,2018-07-29
88,2018-07-30
117,2018-07-31
56,2018-08-01
1288,2018-08-02
86,2018-08-03
150,2018-08-04
86,2018-08-05
81,2018-08-06
397,2018-08-07
86,2018-08-08
155,2018-08-09
123,2018-08-10
69,2018-08-11
62,2018-08-12
45,2018-08-13
32,2018-08-14
136,2018-08-15
37,2018-08-16
35,2018-08-17
1394,2018-08-18
979,2018-08-19
256,2018-08-20
665,2018-08-21
740,2018-08-22
896,2018-08-23
490,2018-08-24
446,2018-08-25
1185,2018-08-26
500,2018-08-27
832,2018-08-28
346,2018-08-29
385,2018-08-30
262,2018-08-31
545,2018-09-01
564,2018-09-02
242,2018-09-03
400,2018-09-04
369,2018-09-05
392,2018-09-06
849,2018-09-07
126,2018-09-08
2195,2018-09-09
92,2018-09-10
119,2018-09-11
2970,2018-09-12
1272,2018-09-13
1336,2018-09-14
1580,2018-09-15
440,2018-09-16
162,2018-09-17
44,2018-09-18
1216,2018-09-19
399,2018-09-20
342,2018-09-21
24,2018-09-22
242,2018-09-23
104,2018-09-24
1588,2018-09-25
317,2018-09-26
134,2018-09-27
201,2018-09-28
325,2018-09-29
125,2018-09-30
188,2018-10-01
268,2018-10-02
236,2018-10-03
10,2018-10-04
602,2018-10-05
63,2018-10-06
168,2018-10-07
135,2018-10-08
28,2018-10-09
76,2018-10-10
317,2018-10-11
98,2018-10-12
774,2018-10-13
660,2018-10-14
191,2018-10-15
535,2018-10-16
69,2018-10-17
1476,2018-10-18
201,2018-10-19
255,2018-10-20
326,2018-10-21
196,2018-10-22
142,2018-10-23
55,2018-10-24
130,2018-10-25
113,2018-10-26
121,2018-10-27
283,2018-10-28
6,2018-10-29
52,2018-10-30
66,2018-10-31
769,2018-11-01
34,2018-11-02
9,2018-11-03
176,2018-11-04
156,2018-11-05
2341,2018-11-06
932,2018-11-07
1594,2018-11-08
3978,2018-11-09
887,2018-11-10
13691,2018-11-11
2277,2018-11-12
1709,2018-11-13
257,2018-11-14
1168,2018-11-15
8600,2018-11-16
110,2018-11-17
297,2018-11-18
25,2018-11-19
44,2018-11-20
493,2018-11-21
125,2018-11-22
449,2018-11-23
491,2018-11-24
108,2018-11-25
341,2018-11-26
90,2018-11-27
1376,2018-11-28
991,2018-11-29
35,2018-11-30
43,2018-12-01
873,2018-12-02
210,2018-12-03
856,2018-12-04
85,2018-12-05
795,2018-12-06
92,2018-12-07
101,2018-12-08
148,2018-12-09
339,2018-12-10
397,2018-12-11
58,2018-12-12
1166,2018-12-13
154,2018-12-14
33,2018-12-15
28,2018-12-16
282,2018-12-17
145,2018-12-18
51,2018-12-19
311,2018-12-20
286,2018-12-21
1084,2018-12-22
336,2018-12-23
73,2018-12-24
88,2018-12-25
5,2018-12-26
48,2018-12-27
93,2018-12-28
161,2018-12-29
48,2018-12-30
30,2018-12-31
10,2019-01-01
36,2019-01-02
35,2019-01-03
16,2019-01-04
1344,2019-01-05
200,2019-01-06
296,2019-01-07
9,2019-01-08
60,2019-01-09
10,2019-01-10
1,2019-01-11
78,2019-01-12
540,2019-01-13
127,2019-01-14
1067,2019-01-15
510,2019-01-16
1093,2019-01-17
424,2019-01-18
3054,2019-01-19
1862,2019-01-20
710,2019-01-21
698,2019-01-22
2917,2019-01-23
279,2019-01-24
1472,2019-01-25
2589,2019-01-26
47,2019-01-27
94,2019-01-28
482,2019-01-29
672,2019-01-30
74,2019-01-31
66,2019-02-01
278,2019-02-02
181,2019-02-03
101,2019-02-04
196,2019-02-05
90,2019-02-06
148,2019-02-07
155,2019-02-08
1060,2019-02-09
351,2019-02-10
409,2019-02-11
276,2019-02-12
297,2019-02-13
291,2019-02-14
890,2019-02-15
289,2019-02-16
967,2019-02-17
248,2019-02-18
368,2019-02-19
1027,2019-02-20
233,2019-02-21
39,2019-02-22
388,2019-02-23
70,2019-02-24
35,2019-02-25
89,2019-02-26
15,2019-02-27
38,2019-02-28
164,2019-03-01
459,2019-03-02
124,2019-03-03
91,2019-03-04
170,2019-03-05
500,2019-03-06
459,2019-03-07
614,2019-03-08
694,2019-03-09
2588,2019-03-10
1981,2019-03-11
3855,2019-03-12
4242,2019-03-13
543,2019-03-14
3323,2019-03-15
6985,2019-03-16
13057,2019-03-17
1009,2019-03-18
1916,2019-03-19
1290,2019-03-20
829,2019-03-21
1293,2019-03-22
1579,2019-03-23
1110,2019-03-24
622,2019-03-25
460,2019-03-26
563,2019-03-27
1365,2019-03-28
3299,2019-03-29
3508,2019-03-30
2639,2019-03-31
3818,2019-04-01
7710,2019-04-02
15012,2019-04-03
3059,2019-04-04
3690,2019-04-05
2735,2019-04-06
1426,2019-04-07
5223,2019-04-08
8346,2019-04-09
2952,2019-04-10
3208,2019-04-11
6139,2019-04-12
10847,2019-04-13
3401,2019-04-14
24660,2019-04-15
3352,2019-04-16
2715,2019-04-17
2631,2019-04-18
1035,2019-04-19
1870,2019-04-20
8254,2019-04-21
2693,2019-04-22
2460,2019-04-23
356,2019-04-24
1543,2019-04-25
941,2019-04-26
877,2019-04-27
2612,2019-04-28
817,2019-04-29
858,2019-04-30
1430,2019-05-01
2009,2019-05-02
3278,2019-05-03
1071,2019-05-04
791,2019-05-05
591,2019-05-06
725,2019-05-07
922,2019-05-08
1471,2019-05-09
1647,2019-05-10
424,2019-05-11
782,2019-05-12
695,2019-05-13
2032,2019-05-14
423,2019-05-15
6346,2019-05-16
1906,2019-05-17
5699,2019-05-18
5281,2019-05-19
4848,2019-05-20
2374,2019-05-21
5207,2019-05-22
3501,2019-05-23
2254,2019-05-24
795,2019-05-25
2165,2019-05-26
10905,2019-05-27
3543,2019-05-28
3080,2019-05-29
2096,2019-05-30
1577,2019-05-31
1244,2019-06-01
233,2019-06-02
5201,2019-06-03
1520,2019-06-04
1082,2019-06-05
1139,2019-06-06
3745,2019-06-07
6032,2019-06-08
434,2019-06-09
351,2019-06-10
2302,2019-06-11
1056,2019-06-12
2080,2019-06-13
2049,2019-06-14
2455,2019-06-15
547,2019-06-16
2154,2019-06-17
2089,2019-06-18
2781,2019-06-19
2467,2019-06-20
7554,2019-06-21
3475,2019-06-22
6033,2019-06-23
39311,2019-06-24
5169,2019-06-25
21152,2019-06-26
5661,2019-06-27
9830,2019-06-28
23239,2019-06-29
3743,2019-06-30
6148,2019-07-01
4909,2019-07-02
8297,2019-07-03
8007,2019-07-04
9959,2019-07-05
3353,2019-07-06
13696,2019-07-07
21869,2019-07-08
28171,2019-07-09
16982,2019-07-10
21854,2019-07-11
4869,2019-07-12
3841,2019-07-13
18399,2019-07-14
3653,2019-07-15
19238,2019-07-16
2939,2019-07-17
9576,2019-07-18
1592,2019-07-19
9970,2019-07-20
5231,2019-07-21
3758,2019-07-22
1911,2019-07-23
4721,2019-07-24
2585,2019-07-25
3158,2019-07-26
4773,2019-07-27
5759,2019-07-28
2756,2019-07-29
7805,2019-07-30
15728,2019-07-31
42213,2019-08-01
8880,2019-08-02
8933,2019-08-03
5924,2019-08-04
2446,2019-08-05
9931,2019-08-06
1020,2019-08-07
7872,2019-08-08
8325,2019-08-09
2162,2019-08-10
1663,2019-08-11
20163,2019-08-12
3113,2019-08-13
5075,2019-08-14
7709,2019-08-15
7783,2019-08-16
1254,2019-08-17
581,2019-08-18
3848,2019-08-19
4201,2019-08-20
541,2019-08-21
14535,2019-08-22
3000,2019-08-23
9247,2019-08-24
4166,2019-08-25
10602,2019-08-26
4685,2019-08-27
35679,2019-08-28
8423,2019-08-29
1920,2019-08-30
1711,2019-08-31
5554,2019-09-01
8545,2019-09-02
9244,2019-09-03
4680,2019-09-04
10291,2019-09-05
5146,2019-09-06
1426,2019-09-07
3049,2019-09-08
12653,2019-09-09
6180,2019-09-10
3442,2019-09-11
2944,2019-09-12
3663,2019-09-13
10571,2019-09-14
6835,2019-09-15
7570,2019-09-16
10757,2019-09-17
3073,2019-09-18
5796,2019-09-19
412,2019-09-20
5065,2019-09-21
4370,2019-09-22
2147,2019-09-23
1432,2019-09-24
6091,2019-09-25
9958,2019-09-26
3448,2019-09-27
2556,2019-09-28
12171,2019-09-29
8582,2019-09-30
8266,2019-10-01
4726,2019-10-02
7483,2019-10-03
9964,2019-10-04
3335,2019-10-05
3501,2019-10-06
1771,2019-10-07
9125,2019-10-08
6029,2019-10-09
2624,2019-10-10
5102,2019-10-11
6422,2019-10-12
55795,2019-10-13
72186,2019-10-14
75821,2019-10-15
25255,2019-10-16
2999,2019-10-17
4237,2019-10-18
10908,2019-10-19
5725,2019-10-20
6636,2019-10-21
9489,2019-10-22
3010,2019-10-23
5261,2019-10-24
6276,2019-10-25
11387,2019-10-26
27440,2019-10-27
11379,2019-10-28
3301,2019-10-29
2692,2019-10-30
10899,2019-10-31
6584,2019-11-01
8985,2019-11-02
5896,2019-11-03
5248,2019-11-04
2788,2019-11-05
6697,2019-11-06
6368,2019-11-07
4189,2019-11-08
5854,2019-11-09
6958,2019-11-10
34654,2019-11-11
5501,2019-11-12
3850,2019-11-13
4731,2019-11-14
4541,2019-11-15
3165,2019-11-16
5110,2019-11-17
18386,2019-11-18
13684,2019-11-19
9322,2019-11-20
6999,2019-11-21
13050,2019-11-22
16452,2019-11-23
6962,2019-11-24
6961,2019-11-25
1375,2019-11-26
25281,2019-11-27
7069,2019-11-28
19073,2019-11-29
2178,2019-11-30
6510,2019-12-01
11701,2019-12-02
2164,2019-12-03
6522,2019-12-04
4040,2019-12-05
14900,2019-12-06
7781,2019-12-07
10218,2019-12-08
24799,2019-12-09
10871,2019-12-10
9388,2019-12-11
11935,2019-12-12
6715,2019-12-13
2203,2019-12-14
1326,2019-12-15
7654,2019-12-16
4413,2019-12-17
6610,2019-12-18
24015,2019-12-19
2705,2019-12-20
7689,2019-12-21
4182,2019-12-22
5967,2019-12-23
3966,2019-12-24
4851,2019-12-25
20312,2019-12-26
8581,2019-12-27
17919,2019-12-28
19379,2019-12-29
5005,2019-12-30
10575,2019-12-31
9781,2020-01-01
11759,2020-01-02
9910,2020-01-03
34979,2020-01-04
15289,2020-01-05
37563,2020-01-06
4008,2020-01-07
4586,2020-01-08
17610,2020-01-09
5312,2020-01-10
20258,2020-01-11
2646,2020-01-12
14594,2020-01-13
9305,2020-01-14
9192,2020-01-15
10240,2020-01-16
14404,2020-01-17
20962,2020-01-18
7793,2020-01-19
10633,2020-01-20
25633,2020-01-21
19958,2020-01-22
9583,2020-01-23
11819,2020-01-24
11859,2020-01-25
17124,2020-01-26
9385,2020-01-27
14454,2020-01-28
14909,2020-01-29
13452,2020-01-30
15642,2020-01-31
8774,2020-02-01
16584,2020-02-02
14695,2020-02-03
11246,2020-02-04
15275,2020-02-05
7508,2020-02-06
52295,2020-02-07
32473,2020-02-08
49598,2020-02-09
68899,2020-02-10
155355,2020-02-11
55569,2020-02-12
49032,2020-02-13
39613,2020-02-14
27533,2020-02-15
69248,2020-02-16
65159,2020-02-17
46938,2020-02-18
41110,2020-02-19
28167,2020-02-20
110179,2020-02-21
48731,2020-02-22
36144,2020-02-23
79303,2020-02-24
20525,2020-02-25
15947,2020-02-26
31497,2020-02-27
16386,2020-02-28
14091,2020-02-29
23267,2020-03-01
31652,2020-03-02
15848,2020-03-03
11925,2020-03-04
16293,2020-03-05
14744,2020-03-06
8868,2020-03-07
20501,2020-03-08
12640,2020-03-09
18125,2020-03-10
10304,2020-03-11
3992,2020-03-12
7639,2020-03-13
10194,2020-03-14
6215,2020-03-15
6610,2020-03-16
5099,2020-03-17
12038,2020-03-18
47676,2020-03-19
9019,2020-03-20
24539,2020-03-21
17979,2020-03-22
6749,2020-03-23
9564,2020-03-24
12478,2020-03-25
33434,2020-03-26
10510,2020-03-27
20246,2020-03-28
9241,2020-03-29
10992,2020-03-30
9811,2020-03-31
5146,2020-04-01
12216,2020-04-02
12882,2020-04-03
29972,2020-04-04
14607,2020-04-05
12622,2020-04-06
15864,2020-04-07
17399,2020-04-08
19407,2020-04-09
87963,2020-04-10
14175,2020-04-11
8119,2020-04-12
20924,2020-04-13
9628,2020-04-14
8725,2020-04-15
57618,2020-04-16
25943,2020-04-17
51973,2020-04-18
8358,2020-04-19
10144,2020-04-20
47413,2020-04-21
23269,2020-04-22
57109,2020-04-23
22331,2020-04-24
42454,2020-04-25
7211,2020-04-26
12576,2020-04-27
9596,2020-04-28
18786,2020-04-29
31099,2020-04-30
43041,2020-05-01
80567,2020-05-02
12522,2020-05-03
18341,2020-05-04
18997,2020-05-05
7208,2020-05-06
23035,2020-05-07
33166,2020-05-08
25599,2020-05-09
10232,2020-05-10
12947,2020-05-11
10430,2020-05-12
12090,2020-05-13
17251,2020-05-14
31159,2020-05-15
16354,2020-05-16
15877,2020-05-17
17992,2020-05-18
10179,2020-05-19
13773,2020-05-20
34666,2020-05-21
62178,2020-05-22
26424,2020-05-23
173438,2020-05-24
8436,2020-05-25
13924,2020-05-26
12201,2020-05-27
7603,2020-05-28
18477,2020-05-29
16050,2020-05-30
12063,2020-05-31
28450,2020-06-01
35416,2020-06-02
24916,2020-06-03
15934,2020-06-04
13695,2020-06-05
9629,2020-06-06
10484,2020-06-07
11978,2020-06-08
30323,2020-06-09
8093,2020-06-10
10916,2020-06-11
10683,2020-06-12
50634,2020-06-13
34414,2020-06-14
24891,2020-06-15
23333,2020-06-16
9899,2020-06-17
56718,2020-06-18
24471,2020-06-19
8932,2020-06-20
17356,2020-06-21
15134,2020-06-22
9767,2020-06-23
7234,2020-06-24
10991,2020-06-25
12327,2020-06-26
7525,2020-06-27
9455,2020-06-28
20365,2020-06-29
34888,2020-06-30
40730,2020-07-01
19229,2020-07-02
14519,2020-07-03
22676,2020-07-04
13653,2020-07-05
19224,2020-07-06
8448,2020-07-07
14218,2020-07-08
14234,2020-07-09
13343,2020-07-10
62504,2020-07-11
23395,2020-07-12
42073,2020-07-13
33873,2020-07-14
17947,2020-07-15
10057,2020-07-16
17138,2020-07-17
6343,2020-07-18
19727,2020-07-19
18418,2020-07-20
18899,2020-07-21
24277,2020-07-22
7297,2020-07-23
21422,2020-07-24
11016,2020-07-25
33260,2020-07-26
9814,2020-07-27
11092,2020-07-28
13029,2020-07-29
27006,2020-07-30
8787,2020-07-31
12651,2020-08-01
12654,2020-08-02
7774,2020-08-03
10865,2020-08-04
10432,2020-08-05
32998,2020-08-06
30838,2020-08-07
51059,2020-08-08
41765,2020-08-09
28706,2020-08-10
28966,2020-08-11
7303,2020-08-12
14385,2020-08-13
20828,2020-08-14
90166,2020-08-15
43482,2020-08-16
4701,2020-08-17
63323,2020-08-18
21198,2020-08-19
22191,2020-08-20
33915,2020-08-21
26756,2020-08-22
19914,2020-08-23
51217,2020-08-24
29065,2020-08-25
12492,2020-08-26
20367,2020-08-27
205593,2020-08-28
13885,2020-08-29
16129,2020-08-30
59873,2020-08-31
24694,2020-09-01
4521,2020-09-02
9617,2020-09-03
40913,2020-09-04
9038,2020-09-05
21753,2020-09-06
11524,2020-09-07
14052,2020-09-08
22431,2020-09-09
33116,2020-09-10
42824,2020-09-11
44422,2020-09-12
43739,2020-09-13
1552107,2020-09-14
424910,2020-09-15
50857,2020-09-16
93200,2020-09-17
168703,2020-09-18
82775,2020-09-19
201108,2020-09-20
32688,2020-09-21
83896,2020-09-22
100659,2020-09-23
334603,2020-09-24
227520,2020-09-25
242065,2020-09-26
237710,2020-09-27
424288,2020-09-28
256902,2020-09-29
176376,2020-09-30
183266,2020-10-01
136704,2020-10-02
235287,2020-10-03
146984,2020-10-04
131434,2020-10-05
100500,2020-10-06
132927,2020-10-07
178663,2020-10-08
118815,2020-10-09
123839,2020-10-10
93128,2020-10-11
133962,2020-10-12
122844,2020-10-13
145729,2020-10-14
139455,2020-10-15
87343,2020-10-16
89776,2020-10-17
137188,2020-10-18
238800,2020-10-19
84035,2020-10-20
123101,2020-10-21
66175,2020-10-22
113675,2020-10-23
190525,2020-10-24
100449,2020-10-25
96561,2020-10-26
80508,2020-10-27
132122,2020-10-28
259500,2020-10-29
94968,2020-10-30
104713,2020-10-31
119821,2020-11-01
130196,2020-11-02
201310,2020-11-03
183414,2020-11-04
87891,2020-11-05
195536,2020-11-06
99597,2020-11-07
60845,2020-11-08
149080,2020-11-09
118508,2020-11-10
174366,2020-11-11
78051,2020-11-12
139610,2020-11-13
170108,2020-11-14
77443,2020-11-15
83212,2020-11-16
119561,2020-11-17
104744,2020-11-18
151024,2020-11-19
116802,2020-11-20
297021,2020-11-21
66751,2020-11-22
87784,2020-11-23
76849,2020-11-24
110277,2020-11-25
168518,2020-11-26
145634,2020-11-27
92897,2020-11-28
132265,2020-11-29
101288,2020-11-30
40894,2020-12-01
348983,2020-12-02
113606,2020-12-03
247045,2020-12-04
54017,2020-12-05
82415,2020-12-06
106851,2020-12-07
106091,2020-12-08
79889,2020-12-09
85633,2020-12-10
155686,2020-12-11
83360,2020-12-12
202347,2020-12-13
151496,2020-12-14
112461,2020-12-15
208138,2020-12-16
160465,2020-12-17
110934,2020-12-18
148689,2020-12-19
293279,2020-12-20
259718,2020-12-21
215518,2020-12-22
167271,2020-12-23
229372,2020-12-24
132985,2020-12-25
97819,2020-12-26
84616,2020-12-27
114293,2020-12-28
145543,2020-12-29
148756,2020-12-30
118638,2020-12-31
144140,2021-01-01
118769,2021-01-02
139538,2021-01-03
109323,2021-01-04
344821,2021-01-05
450811,2021-01-06
185594,2021-01-07
204446,2021-01-08
276329,2021-01-09
277552,2021-01-10
155614,2021-01-11
97377,2021-01-12
173364,2021-01-13
198986,2021-01-14
139796,2021-01-15
317650,2021-01-16
380817,2021-01-17
245837,2021-01-18
375466,2021-01-19
223406,2021-01-20
237376,2021-01-21
252098,2021-01-22
261734,2021-01-23
306749,2021-01-24
366274,2021-01-25
221878,2021-01-26
338096,2021-01-27
422822,2021-01-28
512580,2021-01-29
303652,2021-01-30
756630,2021-01-31
472846,2021-02-01
408774,2021-02-02
738390,2021-02-03
338570,2021-02-04
821811,2021-02-05
1252683,2021-02-06
428379,2021-02-07
517811,2021-02-08
971777,2021-02-09
633310,2021-02-10
755797,2021-02-11
867952,2021-02-12
1571087,2021-02-13
2026169,2021-02-14
1099502,2021-02-15
4590031,2021-02-16
4417117,2021-02-17
2647137,2021-02-18
5752380,2021-02-19
2792756,2021-02-20
7387744,2021-02-21
17107846,2021-02-22
6556829,2021-02-23
5718919,2021-02-24
4621565,2021-02-25
3081704,2021-02-26
4345508,2021-02-27
4853991,2021-02-28
3928234,2021-03-01
7183055,2021-03-02
8229639,2021-03-03
4896291,2021-03-04
5766565,2021-03-05
4385069,2021-03-06
3948589,2021-03-07
5267817,2021-03-08
6329586,2021-03-09
5762416,2021-03-10
26488657,2021-03-11
14315881,2021-03-12
12142774,2021-03-13
13013578,2021-03-14
8911739,2021-03-15
8510598,2021-03-16
8170548,2021-03-17
9328334,2021-03-18
5806267,2021-03-19
8461995,2021-03-20
8701949,2021-03-21
6548616,2021-03-22
6480184,2021-03-23
6395430,2021-03-24
4018220,2021-03-25
4743939,2021-03-26
4647805,2021-03-27
5971151,2021-03-28
5371182,2021-03-29
8054982,2021-03-30
12266937,2021-03-31
8357708,2021-04-01
4695995,2021-04-02
4483929,2021-04-03
3630008,2021-04-04
5387614,2021-04-05
4504140,2021-04-06
3606883,2021-04-07
12214714,2021-04-08
7720663,2021-04-09
5408449,2021-04-10
7198815,2021-04-11
6333702,2021-04-12
7418996,2021-04-13
5633816,2021-04-14
5508712,2021-04-15
5793594,2021-04-16
4631388,2021-04-17
5013781,2021-04-18
5527601,2021-04-19
4741506,2021-04-20
4313468,2021-04-21
4461537,2021-04-22
4395900,2021-04-23
3098431,2021-04-24
2130324,2021-04-25
3109698,2021-04-26
7260662,2021-04-27
3831072,2021-04-28
3005765,2021-04-29
3703599,2021-04-30
4597276,2021-05-01
5575469,2021-05-02
16226597,2021-05-03
8482746,2021-05-04
5644485,2021-05-05
4333437,2021-05-06
2736088,2021-05-07
5311829,2021-05-08
3757188,2021-05-09
3602569,2021-05-10
4028911,2021-05-11
3842693,2021-05-12
5344016,2021-05-13
4108912,2021-05-14
3325023,2021-05-15
1527994,2021-05-16
1693242,2021-05-17
2822877,2021-05-18
1646541,2021-05-19
1092350,2021-05-20
4875740,2021-05-21
1807809,2021-05-22
1783051,2021-05-23
2600547,2021-05-24
1692668,2021-05-25
1801598,2021-05-26
2308546,2021-05-27
2076867,2021-05-28
1894054,2021-05-29
1495615,2021-05-30
1389029,2021-05-31
2083240,2021-06-01
2093032,2021-06-02
1565658,2021-06-03
1435704,2021-06-04
939816,2021-06-05
1603309,2021-06-06
2204320,2021-06-07
2786769,2021-06-08
2619583,2021-06-09
2701489,2021-06-10
3071843,2021-06-11
1988112,2021-06-12
2519480,2021-06-13
2262335,2021-06-14
2763405,2021-06-15
3166618,2021-06-16
2725308,2021-06-17
1636254,2021-06-18
1048138,2021-06-19
4491143,2021-06-20
6158364,2021-06-21
3270782,2021-06-22
3004027,2021-06-23
2885282,2021-06-24
4415975,2021-06-25
4042545,2021-06-26
3346824,2021-06-27
4280827,2021-06-28
4722557,2021-06-29
4795744,2021-06-30
4074253,2021-07-01
3847780,2021-07-02
