Date,Sales_USD_cumsum,Number_of_Sales_cumsum,Active_Market_Wallets_cumsum,Primary_Sales_cumsum,Secondary_Sales_cumsum,AverageUSD_cum,Sales_USD,Number_of_Sales,Active_Market_Wallets,Primary_Sales
2017-06-22,0.0,0,0.0,0,,,,,,
2017-06-23,1020.3,19,8.0,0,19.0,53.7,1020.3,19.0,8.0,0.0
2017-06-24,2261.14,40,21.0,0,21.0,56.53,1240.84,21.0,13.0,0.0
2017-06-25,2778.69,53,28.0,0,13.0,52.43,517.5500000000002,13.0,7.0,0.0
2017-06-26,3203.32,67,34.0,0,14.0,47.81,424.6300000000001,14.0,6.0,0.0
2017-06-27,5296.23,100,44.0,0,33.0,52.96,2092.9099999999994,33.0,10.0,0.0
2017-06-28,6543.49,115,46.0,0,15.0,56.9,1247.2600000000002,15.0,2.0,0.0
2017-06-29,8729.21,153,49.0,0,38.0,57.05,2185.7199999999993,38.0,3.0,0.0
2017-06-30,10437.36,174,53.0,0,21.0,59.98,1708.1500000000015,21.0,4.0,0.0
2017-07-01,13578.16,184,55.0,0,10.0,73.79,3140.7999999999993,10.0,2.0,0.0
2017-07-02,16502.77,215,57.0,0,31.0,76.76,2924.6100000000006,31.0,2.0,0.0
2017-07-03,23752.56,266,59.0,0,51.0,89.3,7249.790000000001,51.0,2.0,0.0
2017-07-04,37258.49,324,62.0,0,58.0,115.0,13505.929999999997,58.0,3.0,0.0
2017-07-05,39098.78,342,62.0,0,18.0,114.32,1840.2900000000009,18.0,0.0,0.0
2017-07-06,46120.95,365,64.0,0,23.0,126.36,7022.169999999998,23.0,2.0,0.0
2017-07-07,53203.46,402,65.0,0,37.0,132.35,7082.510000000002,37.0,1.0,0.0
2017-07-08,56431.34,432,67.0,0,30.0,130.63,3227.8799999999974,30.0,2.0,0.0
2017-07-09,57400.45,444,70.0,0,12.0,129.28,969.1100000000006,12.0,3.0,0.0
2017-07-10,62310.5,461,74.0,0,17.0,135.16,4910.050000000003,17.0,4.0,0.0
2017-07-11,68019.87,504,76.0,0,43.0,134.96,5709.369999999995,43.0,2.0,0.0
2017-07-12,69798.6,521,81.0,0,17.0,133.97,1778.7300000000105,17.0,5.0,0.0
2017-07-13,75099.57,552,86.0,0,31.0,136.05,5300.970000000001,31.0,5.0,0.0
2017-07-14,75547.97,559,87.0,0,7.0,135.15,448.3999999999942,7.0,1.0,0.0
2017-07-15,76097.66,564,88.0,0,5.0,134.92,549.6900000000023,5.0,1.0,0.0
2017-07-16,76416.85,567,90.0,0,3.0,134.77,319.1900000000023,3.0,2.0,0.0
2017-07-17,77869.05,572,91.0,0,5.0,136.13,1452.199999999997,5.0,1.0,0.0
2017-07-18,80790.72,602,93.0,0,30.0,134.2,2921.6699999999983,30.0,2.0,0.0
2017-07-19,84227.47,633,93.0,0,31.0,133.06,3436.75,31.0,0.0,0.0
2017-07-20,86580.18,654,93.0,0,21.0,132.39,2352.709999999992,21.0,0.0,0.0
2017-07-21,88715.19,675,95.0,0,21.0,131.43,2135.0100000000093,21.0,2.0,0.0
2017-07-22,89759.95,688,96.0,0,13.0,130.47,1044.7599999999948,13.0,1.0,0.0
2017-07-23,90181.65,694,97.0,0,6.0,129.94,421.6999999999971,6.0,1.0,0.0
2017-07-24,91308.47,709,99.0,0,15.0,128.78,1126.820000000007,15.0,2.0,0.0
