employee,companyAlias,voteDate,vote
2ER,C1,2017-05-03 02:05,1
DaW,C1,2017-05-03 02:05,2
5ER,C1,2017-05-03 02:05,2
yvK,C1,2017-05-03 02:05,2
JzX,C1,2017-05-03 02:05,2
jXY,C1,2017-05-03 02:05,2
e9M,C1,2017-05-03 02:05,2
92,C1,2017-05-03 02:05,3
Y4,C1,2017-05-03 02:05,3
WG,C1,2017-05-03 02:05,3
Xv,C1,2017-05-03 02:05,3
xG,C1,2017-05-03 02:05,3
My,C1,2017-05-03 02:05,3
mw,C1,2017-05-03 02:05,3
dx,C1,2017-05-03 02:05,3
ygK,C1,2017-05-03 02:05,3
ONv,C1,2017-05-03 02:05,3
vKV,C1,2017-05-03 02:05,3
E9y,C1,2017-05-03 02:05,3
NY3,C1,2017-05-03 02:05,3
YX4,C1,2017-05-03 02:05,3
3ER,C1,2017-05-03 02:05,3
DgY,C1,2017-05-03 02:05,3
Ow4,C1,2017-05-03 02:05,3
vqo,C1,2017-05-03 02:05,3
ErW,C1,2017-05-03 02:05,3
QWO,C1,2017-05-03 02:05,3
8wL,C1,2017-05-03 02:05,3
ZbO,C1,2017-05-03 02:05,3
P56,C1,2017-05-03 02:05,3
YDm,C1,2017-05-03 02:05,3
DNY,C1,2017-05-03 02:05,3
6AL,C1,2017-05-03 02:05,3
aJW,C1,2017-05-03 02:05,3
2DN,C1,2017-05-03 02:05,3
xE4,C1,2017-05-03 02:05,3
dZY,C1,2017-05-03 02:05,3
92v,C1,2017-05-03 02:05,3
4Z1,C1,2017-05-03 02:05,3
dgY,C1,2017-05-03 02:05,3
Zwq,C1,2017-05-03 02:05,3
4Vm,C1,2017-05-03 02:05,4
dNx,C1,2017-05-03 02:05,4
aKP,C1,2017-05-03 02:05,4
RWM,C1,2017-05-03 02:05,4
YXm,C1,2017-05-03 02:05,4
mdb,C1,2017-05-03 02:05,4
jY8,C1,2017-05-03 02:05,4
Dbv,C1,2017-05-03 02:05,4
rLv,C1,2017-05-03 02:05,4
ygK,C1,2017-05-04 02:05,1
92,C1,2017-05-04 02:05,2
DW,C1,2017-05-04 02:05,2
mw,C1,2017-05-04 02:05,2
2ER,C1,2017-05-04 02:05,2
5ER,C1,2017-05-04 02:05,2
7o1,C1,2017-05-04 02:05,2
qKO,C1,2017-05-04 02:05,2
yvK,C1,2017-05-04 02:05,2
QWO,C1,2017-05-04 02:05,2
dgY,C1,2017-05-04 02:05,2
RW,C1,2017-05-04 02:05,3
Xv,C1,2017-05-04 02:05,3
xG,C1,2017-05-04 02:05,3
My,C1,2017-05-04 02:05,3
dx,C1,2017-05-04 02:05,3
ZB,C1,2017-05-04 02:05,3
DaW,C1,2017-05-04 02:05,3
ONv,C1,2017-05-04 02:05,3
BwQ,C1,2017-05-04 02:05,3
E9y,C1,2017-05-04 02:05,3
mBw,C1,2017-05-04 02:05,3
NY3,C1,2017-05-04 02:05,3
YX4,C1,2017-05-04 02:05,3
3ER,C1,2017-05-04 02:05,3
RWM,C1,2017-05-04 02:05,3
YXm,C1,2017-05-04 02:05,3
DgY,C1,2017-05-04 02:05,3
Ow4,C1,2017-05-04 02:05,3
vqo,C1,2017-05-04 02:05,3
ErW,C1,2017-05-04 02:05,3
dAA,C1,2017-05-04 02:05,3
ZbO,C1,2017-05-04 02:05,3
YDm,C1,2017-05-04 02:05,3
DNY,C1,2017-05-04 02:05,3
wR5,C1,2017-05-04 02:05,3
jY8,C1,2017-05-04 02:05,3
JzX,C1,2017-05-04 02:05,3
ewj,C1,2017-05-04 02:05,3
6AL,C1,2017-05-04 02:05,3
aJW,C1,2017-05-04 02:05,3
2DN,C1,2017-05-04 02:05,3
Dbv,C1,2017-05-04 02:05,3
xE4,C1,2017-05-04 02:05,3
92v,C1,2017-05-04 02:05,3
zMY,C1,2017-05-04 02:05,3
4Z1,C1,2017-05-04 02:05,3
e9M,C1,2017-05-04 02:05,3
rLv,C1,2017-05-04 02:05,3
Y4,C1,2017-05-04 02:05,4
WG,C1,2017-05-04 02:05,4
zDG,C1,2017-05-04 02:05,4
vKV,C1,2017-05-04 02:05,4
4Vm,C1,2017-05-04 02:05,4
dNx,C1,2017-05-04 02:05,4
