MMM-YY,Emp_ID,Age,Gender,City,Education_Level,Salary,Dateofjoining,LastWorkingDate,Joining Designation,Designation,Total Business Value,Quarterly Rating
2016-01-01,1,28,Male,C23,Master,57387,2015-12-24,,1,1,2381060,2
2016-02-01,1,28,Male,C23,Master,57387,2015-12-24,,1,1,-665480,2
2016-03-01,1,28,Male,C23,Master,57387,2015-12-24,2016-03-11,1,1,0,2
2017-11-01,2,31,Male,C7,Master,67016,2017-11-06,,2,2,0,1
2017-12-01,2,31,Male,C7,Master,67016,2017-11-06,,2,2,0,1
2016-12-01,4,43,Male,C13,Master,65603,2016-12-07,,2,2,0,1
2017-01-01,4,43,Male,C13,Master,65603,2016-12-07,,2,2,0,1
2017-02-01,4,43,Male,C13,Master,65603,2016-12-07,,2,2,0,1
2017-03-01,4,43,Male,C13,Master,65603,2016-12-07,,2,2,350000,1
2017-04-01,4,43,Male,C13,Master,65603,2016-12-07,2017-04-27,2,2,0,1
2016-01-01,5,29,Male,C9,College,46368,2016-01-09,,1,1,0,1
2016-02-01,5,29,Male,C9,College,46368,2016-01-09,,1,1,120360,1
2016-03-01,5,29,Male,C9,College,46368,2016-01-09,2016-03-07,1,1,0,1
2017-08-01,6,31,Female,C11,Bachelor,78728,2017-07-31,,3,3,0,1
2017-09-01,6,31,Female,C11,Bachelor,78728,2017-07-31,,3,3,0,1
2017-10-01,6,31,Female,C11,Bachelor,78728,2017-07-31,,3,3,0,2
2017-11-01,6,31,Female,C11,Bachelor,78728,2017-07-31,,3,3,1265000,2
2017-12-01,6,31,Female,C11,Bachelor,78728,2017-07-31,,3,3,0,2
2017-09-01,8,34,Male,C2,College,70656,2017-09-19,,3,3,0,1
2017-10-01,8,34,Male,C2,College,70656,2017-09-19,,3,3,0,1
2017-11-01,8,34,Male,C2,College,70656,2017-09-19,2017-11-15,3,3,0,1
2017-12-01,11,28,Female,C19,Master,42172,2017-12-07,,1,1,0,1
2016-07-01,12,35,Male,C23,Master,28116,2016-06-29,,1,1,500000,4
2016-08-01,12,35,Male,C23,Master,28116,2016-06-29,,1,1,1707180,4
2016-09-01,12,35,Male,C23,Master,28116,2016-06-29,,1,1,400000,4
2016-10-01,12,35,Male,C23,Master,28116,2016-06-29,,1,1,0,1
2016-11-01,12,35,Male,C23,Master,28116,2016-06-29,,1,1,0,1
2016-12-01,12,35,Male,C23,Master,28116,2016-06-29,2016-12-21,1,1,0,1
2016-01-01,13,29,Male,C19,Master,119227,2012-05-28,,1,4,250000,1
2016-02-01,13,29,Male,C19,Master,119227,2012-05-28,,1,4,1719680,1
2016-03-01,13,29,Male,C19,Master,119227,2012-05-28,,1,4,545240,1
2016-04-01,13,29,Male,C19,Master,119227,2012-05-28,,1,4,250000,2
2016-05-01,13,29,Male,C19,Master,119227,2012-05-28,,1,4,895510,2
2016-06-01,13,29,Male,C19,Master,119227,2012-05-28,,1,4,0,2
2016-07-01,13,29,Male,C19,Master,119227,2012-05-28,,1,4,350650,2
2016-08-01,13,29,Male,C19,Master,119227,2012-05-28,,1,4,708360,2
2016-09-01,13,29,Male,C19,Master,119227,2012-05-28,,1,4,1190290,2
2016-10-01,13,29,Male,C19,Master,119227,2012-05-28,,1,4,0,1
2016-11-01,13,30,Male,C19,Master,119227,2012-05-28,,1,4,200000,1
2016-12-01,13,30,Male,C19,Master,119227,2012-05-28,,1,4,300000,1
2017-01-01,13,30,Male,C19,Master,119227,2012-05-28,,1,4,151110,1
2017-02-01,13,30,Male,C19,Master,119227,2012-05-28,,1,4,200000,1
2017-03-01,13,30,Male,C19,Master,119227,2012-05-28,,1,4,1593590,1
2017-04-01,13,30,Male,C19,Master,119227,2012-05-28,,1,4,0,1
2017-05-01,13,30,Male,C19,Master,119227,2012-05-28,,1,4,400000,1
2017-06-01,13,30,Male,C19,Master,119227,2012-05-28,,1,4,258610,1
2017-07-01,13,30,Male,C19,Master,119227,2012-05-28,,1,4,150000,1
2017-08-01,13,30,Male,C19,Master,119227,2012-05-28,,1,4,500000,1
2017-09-01,13,30,Male,C19,Master,119227,2012-05-28,,1,4,200000,1
2017-10-01,13,30,Male,C19,Master,119227,2012-05-28,,1,4,350000,1
2017-11-01,13,31,Male,C19,Master,119227,2012-05-28,2017-11-25,1,4,0,1
2017-10-01,14,39,Female,C26,College,19734,2017-10-16,,3,3,0,1
2017-11-01,14,39,Female,C26,College,19734,2017-10-16,,3,3,0,1
2017-12-01,14,39,Female,C26,College,19734,2017-10-16,,3,3,0,1
2016-01-01,16,30,Female,C23,College,52963,2015-11-30,,2,2,346800,1
2016-02-01,16,30,Female,C23,College,52963,2015-11-30,2016-02-22,2,2,0,1
2016-01-01,17,42,Male,C20,Master,51099,2015-03-06,,1,1,100000,2
2016-02-01,17,42,Male,C20,Master,51099,2015-03-06,,1,1,0,2
2016-03-01,17,42,Male,C20,Master,51099,2015-03-06,,1,1,674990,2
2016-04-01,17,42,Male,C20,Master,51099,2015-03-06,,1,1,242650,1
2016-05-01,17,42,Male,C20,Master,51099,2015-03-06,,1,1,0,1
2016-06-01,17,42,Male,C20,Master,51099,2015-03-06,,1,1,0,1
2016-07-01,17,43,Male,C20,Master,51099,2015-03-06,2016-07-20,1,1,0,1
2016-01-01,18,27,Female,C17,Bachelor,31631,2016-01-09,,1,1,0,1
2016-02-01,18,27,Female,C17,Bachelor,31631,2016-01-09,,1,1,0,1
2016-03-01,18,27,Female,C17,Bachelor,31631,2016-01-09,,1,1,0,1
2016-04-01,18,27,Female,C17,Bachelor,31631,2016-01-09,,1,1,0,1
2016-05-01,18,27,Female,C17,Bachelor,31631,2016-01-09,2016-04-30,1,1,0,1
2016-10-01,20,26,Female,C19,College,40342,2016-10-25,,3,3,0,1
2016-11-01,20,26,Female,C19,College,40342,2016-10-25,,3,3,0,1
2016-12-01,20,26,Female,C19,College,40342,2016-10-25,,3,3,0,1
2017-01-01,20,26,Female,C19,College,40342,2016-10-25,,3,3,0,1
2017-02-01,20,26,Female,C19,College,40342,2016-10-25,,3,3,0,1
2017-03-01,20,26,Female,C19,College,40342,2016-10-25,2017-03-01,3,3,0,1
2016-01-01,21,33,Female,C29,Bachelor,22755,2015-05-12,,1,1,948560,4
2016-02-01,21,33,Female,C29,Bachelor,22755,2015-05-12,,1,1,551740,4
2016-03-01,21,33,Female,C29,Bachelor,22755,2015-05-12,,1,1,3295370,4
2016-04-01,21,33,Female,C29,Bachelor,22755,2015-05-12,,1,1,0,2
2016-05-01,21,33,Female,C29,Bachelor,22755,2015-05-12,,1,1,116350,2
2016-06-01,21,33,Female,C29,Bachelor,22755,2015-05-12,,1,1,533260,2
2016-07-01,21,33,Female,C29,Bachelor,22755,2015-05-12,,1,1,150450,2
2016-08-01,21,33,Female,C29,Bachelor,22755,2015-05-12,,1,1,0,2
2016-09-01,21,33,Female,C29,Bachelor,22755,2015-05-12,,1,1,520980,2
2016-10-01,21,33,Female,C29,Bachelor,22755,2015-05-12,,1,1,150600,2
2016-11-01,21,34,Female,C29,Bachelor,22755,2015-05-12,,1,1,0,2
2016-12-01,21,34,Female,C29,Bachelor,22755,2015-05-12,,1,1,263690,2
2017-01-01,21,34,Female,C29,Bachelor,22755,2015-05-12,,1,1,150170,1
2017-02-01,21,34,Female,C29,Bachelor,22755,2015-05-12,2017-02-17,1,1,281380,1
2016-01-01,22,40,Male,C10,Master,31224,2015-05-25,,1,1,216170,2
2016-02-01,22,40,Male,C10,Master,31224,2015-05-25,,1,1,404600,2
2016-03-01,22,40,Male,C10,Master,31224,2015-05-25,,1,1,819960,2
2016-04-01,22,40,Male,C10,Master,31224,2015-05-25,,1,1,601680,4
2016-05-01,22,40,Male,C10,Master,31224,2015-05-25,,1,1,635700,4
2016-06-01,22,40,Male,C10,Master,31224,2015-05-25,,1,1,121590,4
2016-07-01,22,40,Male,C10,Master,31224,2015-05-25,,1,1,653680,4
2016-08-01,22,40,Male,C10,Master,31224,2015-05-25,,1,1,1120560,4
2016-09-01,22,40,Male,C10,Master,31224,2015-05-25,,1,1,696920,4
2016-10-01,22,40,Male,C10,Master,31224,2015-05-25,,1,1,200000,3
2016-11-01,22,41,Male,C10,Master,31224,2015-05-25,,1,1,306410,3
2016-12-01,22,41,Male,C10,Master,31224,2015-05-25,,1,1,499480,3
2017-01-01,22,41,Male,C10,Master,31224,2015-05-25,,1,1,500510,2
2017-02-01,22,41,Male,C10,Master,31224,2015-05-25,,1,1,658430,2
2017-03-01,22,41,Male,C10,Master,31224,2015-05-25,,1,1,103800,2
2017-04-01,22,41,Male,C10,Master,31224,2015-05-25,2017-04-26,1,1,0,1
2016-01-01,24,30,Male,C24,Master,76308,2015-05-25,,1,2,106460,2
2016-02-01,24,31,Male,C24,Master,76308,2015-05-25,,1,2,401310,2
2016-03-01,24,31,Male,C24,Master,76308,2015-05-25,,1,2,1103240,2
2016-04-01,24,31,Male,C24,Master,76308,2015-05-25,,1,2,312720,2
2016-05-01,24,31,Male,C24,Master,76308,2015-05-25,,1,2,128730,2
2016-06-01,24,31,Male,C24,Master,76308,2015-05-25,,1,2,97220,2
2016-07-01,24,31,Male,C24,Master,76308,2015-05-25,,1,2,203240,3
2016-08-01,24,31,Male,C24,Master,76308,2015-05-25,,1,2,639720,3
2016-09-01,24,31,Male,C24,Master,76308,2015-05-25,,1,2,765920,3
2016-10-01,24,31,Male,C24,Master,76308,2015-05-25,2016-10-27,1,2,343160,2
2016-01-01,25,29,Male,C24,Bachelor,102077,2014-10-30,,1,3,2552300,3
2016-02-01,25,29,Male,C24,Bachelor,102077,2014-10-30,,1,3,2143680,3
2016-03-01,25,29,Male,C24,Bachelor,102077,2014-10-30,,1,3,2925260,3
2016-04-01,25,29,Male,C24,Bachelor,102077,2014-10-30,,1,3,1030790,4
2016-05-01,25,29,Male,C24,Bachelor,102077,2014-10-30,,1,3,1833580,4
2016-06-01,25,29,Male,C24,Bachelor,102077,2014-10-30,,1,3,999610,4
2016-07-01,25,29,Male,C24,Bachelor,102077,2014-10-30,,1,3,1046670,4
2016-08-01,25,29,Male,C24,Bachelor,102077,2014-10-30,,1,3,677050,4
2016-09-01,25,29,Male,C24,Bachelor,102077,2014-10-30,,1,3,1934570,4
2016-10-01,25,29,Male,C24,Bachelor,102077,2014-10-30,,1,3,1297810,4
2016-11-01,25,30,Male,C24,Bachelor,102077,2014-10-30,,1,3,1474610,4
2016-12-01,25,30,Male,C24,Bachelor,102077,2014-10-30,,1,3,574040,4
2017-01-01,25,30,Male,C24,Bachelor,102077,2014-10-30,,1,3,2109420,4
2017-02-01,25,30,Male,C24,Bachelor,102077,2014-10-30,,1,3,2973000,4
2017-03-01,25,30,Male,C24,Bachelor,102077,2014-10-30,,1,3,3053510,4
2017-04-01,25,30,Male,C24,Bachelor,102077,2014-10-30,,1,3,-414250,3
2017-05-01,25,30,Male,C24,Bachelor,102077,2014-10-30,,1,3,350000,3
2017-06-01,25,30,Male,C24,Bachelor,102077,2014-10-30,,1,3,1219340,3
2017-07-01,25,30,Male,C24,Bachelor,102077,2014-10-30,,1,3,650000,4
2017-08-01,25,30,Male,C24,Bachelor,102077,2014-10-30,,1,3,1512060,4
2017-09-01,25,30,Male,C24,Bachelor,102077,2014-10-30,,1,3,1368060,4
2017-10-01,25,30,Male,C24,Bachelor,102077,2014-10-30,,1,3,1346140,4
2017-11-01,25,31,Male,C24,Bachelor,102077,2014-10-30,,1,3,1680680,4
2017-12-01,25,31,Male,C24,Bachelor,102077,2014-10-30,,1,3,2013180,4
2016-01-01,26,41,Male,C14,Master,121529,2015-05-07,,1,3,243110,4
2016-02-01,26,41,Male,C14,Master,121529,2015-05-07,,1,3,646330,4
2016-03-01,26,41,Male,C14,Master,121529,2015-05-07,,1,3,17651940,4
2016-04-01,26,41,Male,C14,Master,121529,2015-05-07,,1,3,242510,4
2016-05-01,26,41,Male,C14,Master,121529,2015-05-07,,1,3,1098080,4
2016-06-01,26,41,Male,C14,Master,121529,2015-05-07,,1,3,1212720,4
2016-07-01,26,41,Male,C14,Master,121529,2015-05-07,,1,3,2695910,4
2016-08-01,26,41,Male,C14,Master,121529,2015-05-07,,1,3,494710,4
2016-09-01,26,42,Male,C14,Master,121529,2015-05-07,,1,3,986540,4
2016-10-01,26,42,Male,C14,Master,121529,2015-05-07,,1,3,9950710,4
2016-11-01,26,42,Male,C14,Master,121529,2015-05-07,,1,3,13097320,4
2016-12-01,26,42,Male,C14,Master,121529,2015-05-07,,1,3,1086370,4
2017-01-01,26,42,Male,C14,Master,121529,2015-05-07,,1,3,732410,2
2017-02-01,26,42,Male,C14,Master,121529,2015-05-07,,1,3,1511840,2
2017-03-01,26,42,Male,C14,Master,132577,2015-05-07,,1,4,9226690,4
2017-04-01,26,42,Male,C14,Master,132577,2015-05-07,,1,4,1940050,2
2017-05-01,26,42,Male,C14,Master,132577,2015-05-07,,1,4,970030,2
2017-06-01,26,42,Male,C14,Master,132577,2015-05-07,,1,4,0,2
2017-07-01,26,42,Male,C14,Master,132577,2015-05-07,,1,4,153590,2
2017-08-01,26,42,Male,C14,Master,132577,2015-05-07,,1,4,1710410,2
2017-09-01,26,43,Male,C14,Master,132577,2015-05-07,,1,4,440550,2
2017-10-01,26,43,Male,C14,Master,132577,2015-05-07,,1,4,744590,2
2017-11-01,26,43,Male,C14,Master,132577,2015-05-07,,1,4,1578270,2
2017-12-01,26,43,Male,C14,Master,132577,2015-05-07,,1,4,1453220,2
2016-01-01,29,30,Male,C13,Master,30312,2015-05-20,,1,1,231840,2
2016-02-01,29,30,Male,C13,Master,30312,2015-05-20,,1,1,278930,2
2016-03-01,29,30,Male,C13,Master,30312,2015-05-20,,1,1,650990,2
2016-04-01,29,30,Male,C13,Master,30312,2015-05-20,,1,1,111410,1
2016-05-01,29,30,Male,C13,Master,30312,2015-05-20,2016-05-23,1,1,0,1
2016-10-01,30,31,Male,C6,Bachelor,69457,2016-10-03,,3,3,0,1
2016-11-01,30,31,Male,C6,Bachelor,69457,2016-10-03,,3,3,0,1
2016-12-01,30,31,Male,C6,Bachelor,69457,2016-10-03,2016-11-29,3,3,0,1
2017-07-01,31,32,Female,C28,Master,65189,2017-07-04,,3,3,0,1
2017-08-01,31,32,Female,C28,Master,65189,2017-07-04,,3,3,0,1
2017-09-01,31,32,Female,C28,Master,65189,2017-07-04,,3,3,0,1
2017-10-01,31,32,Female,C28,Master,65189,2017-07-04,,3,3,0,2
