op_type,district,street,rooms,area,floor,total_floors,house_seria,house_type,condition,price,lat,lon
For rent,Purvciems,Dzelzavas 93,1,27.0,3,5,LT proj.,Brick-Panel,All amenities,250.0,56.9554841,24.202139339255908
For rent,Ziepniekkalns,Ozolciema 32,2,50.0,7,9,602.,Panel,All amenities,300.0,56.89979805,24.098350150000005
For sale,centrs,Ieroču 6,2,33.0,1,2,P. kara,Wood,Partial amenities,13500.0,56.9750922,24.1398842
For sale,Ķengarags,Maskavas 305,2,50.0,5,5,LT proj.,Panel,All amenities,34000.0,56.8597884,24.3083417
For rent,Teika,Zemgala gatve 80,3,76.0,3,12,Jaun.,Masonry,All amenities,490.0,56.9777452,24.16604241357143
For rent,centrs,Ģertrūdes 16,2,40.0,3,6,P. kara,Masonry,All amenities,440.0,56.9566594,24.1237638
For sale,Ķengarags,Lokomotīves 20,2,37.0,5,5,Specpr.,Brick,All amenities,31000.0,56.91527335,24.18936465
For rent,Imanta,Kurzemes pr. 46,2,49.0,3,5,LT proj.,Panel,All amenities,240.0,NaN,NaN
For rent,centrs,Avotu 7,2,48.0,5,5,P. kara,Brick,All amenities,400.0,56.9509444,24.128357771229048
For rent,Jugla,Juglas 53,2,45.0,2,5,Hrušč.,Panel,All amenities,360.0,56.9761694,24.2544503
For sale,Mangaļi,Mores 3,2,46.0,4,5,Hrušč.,Panel,All amenities,39999.0,57.0188111,24.13501185
For sale,Jugla,Baltezera 1,3,58.0,4,5,Specpr.,Brick,All amenities,50000.0,56.992700299999996,24.2400597
For sale,Mežciems,Gaiļezera 4,2,50.0,1,9,602.,Panel,All amenities,53000.0,56.96794800000001,24.235158631177747
For sale,Maskavas priekšpilsēta,Maskavas 291 k1,3,60.0,2,5,LT proj.,Panel,All amenities,48000.0,56.9228069,24.1703845
For sale,Zolitūde,Zolitūdes 46/2,1,46.0,9,9,119.,Panel,All amenities,38500.0,56.9461963,24.0014164
For sale,Mežciems,Celmu 5,2,36.0,1,5,LT proj.,Panel,All amenities,46000.0,56.9736358,24.233530915029384
For sale,centrs,Krāsotāju 25,2,36.0,5,5,P. kara,Masonry,All amenities,54900.0,56.9562996,24.1467585
For rent,Ziepniekkalns,Ozolciema 54,1,44.0,4,9,M. ģim.,Panel,All amenities,240.0,56.901400100000004,24.099885564509997
For sale,Ķengarags,Maskavas 268/5,3,60.0,3,5,Hrušč.,Panel,All amenities,56500.0,56.8945857,24.2163422
For sale,Mežciems,Eizenšteina 57,3,62.0,6,9,602.,Panel,All amenities,52500.0,56.96342305,24.23512972519864
