Link,Make,Type,Year,Origin,Color,Options,Engine_Size,Fuel_Type,Gear_Type,Condition,Mileage,Region,Price,Negotiable
https://syarah.com/%D9%83%D8%B1%D8%A7%D9%8A%D8%B3%D9%84%D8%B1_C300_%D8%B3%D8%B9%D9%88%D8%AF%D9%8A_2018_%D9%81%D9%84/car-10447460,Chrysler,C300,2018,Saudi,Black,Full,5.7,Gas,Automatic,Used,103000,Riyadh,114000,False
https://syarah.com/%D9%86%D9%8A%D8%B3%D8%A7%D9%86_%D8%A8%D8%A7%D8%AA%D8%B1%D9%88%D9%84_%D8%B1%D8%A8%D8%B9_2016_%D8%B3%D8%B9%D9%88%D8%AF%D9%8A_%D9%81%D9%84/car-10447492,Nissan,Patrol,2016,Saudi,White,Full,4.8,Gas,Automatic,Used,5448,Riyadh,Negotiable,True
https://syarah.com/online/%D9%86%D9%8A%D8%B3%D8%A7%D9%86_%D8%B5%D9%86%D9%8A_SV_2019_%D8%B3%D8%AA%D8%A7%D9%86%D8%AF%D8%B1/car-73516,Nissan,Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,Used,72418,Riyadh,27500,False
https://syarah.com/online/%D9%87%D9%88%D9%86%D8%AF%D8%A7%D9%8A_%D8%A7%D9%84%D9%86%D8%AA%D8%B1%D8%A7_GL_2019_%D8%B3%D8%AA%D8%A7%D9%86%D8%AF%D8%B1/car-73118,Hyundai,Elantra,2019,Saudi,Grey,Standard,1.6,Gas,Automatic,Used,114154,Riyadh,43000,False
https://syarah.com/online/%D9%87%D9%88%D9%86%D8%AF%D8%A7%D9%8A_%D8%A7%D9%84%D9%86%D8%AA%D8%B1%D8%A7_GL_2019_%D9%86%D8%B5_%D9%81%D9%84/car-73130,Hyundai,Elantra,2019,Saudi,Silver,Semi Full,2.0,Gas,Automatic,Used,41912,Riyadh,59500,False
https://syarah.com/%D9%87%D9%88%D9%86%D8%AF%D8%A7_%D8%A7%D9%83%D9%88%D8%B1%D8%AF_2018_%D8%B3%D8%B9%D9%88%D8%AF%D9%8A_%D9%81%D9%84/car-10447250,Honda,Accord,2018,Saudi,Navy,Full,1.5,Gas,Automatic,Used,39000,Riyadh,72000,False
https://syarah.com/%D8%AA%D9%88%D9%8A%D9%88%D8%AA%D8%A7_%D9%84%D8%A7%D9%86%D8%AF%D9%83%D8%B1%D9%88%D8%B2%D8%B1_2011_%D8%B3%D8%B9%D9%88%D8%AF%D9%8A_%D9%86%D8%B5_%D9%81%D9%84/car-10388409,Toyota,Land Cruiser,2011,Saudi,White,Semi Full,4.5,Gas,Automatic,Used,183000,Riyadh,92000,False
https://syarah.com/%D8%AC%D9%8A_%D8%A5%D9%85_%D8%B3%D9%8A_%D9%8A%D9%88%D9%83%D9%86_SLT_2009_%D9%81%D9%84_%D8%B3%D8%B9%D9%88%D8%AF%D9%8A/car-10456268,GMC,Yukon,2009,Saudi,Bronze,Full,5.7,Gas,Automatic,Used,323000,Riyadh,Negotiable,True
https://syarah.com/%D8%B4%D9%81%D8%B1%D9%88%D9%84%D9%8A%D9%87_%D8%A7%D9%85%D8%A8%D8%A7%D9%84%D8%A7_LS_%D8%B3%D8%B9%D9%88%D8%AF%D9%8A_2019_%D8%B3%D8%AA%D8%A7%D9%86%D8%AF%D8%B1/car-10456730,Chevrolet,Impala,2019,Saudi,Black,Standard,3.6,Gas,Automatic,Used,70000,Riyadh,80000,False
https://syarah.com/%D8%AA%D9%88%D9%8A%D9%88%D8%AA%D8%A7_%D9%8A%D8%A7%D8%B1%D8%B3_E_%D8%B3%D8%B9%D9%88%D8%AF%D9%8A_2018_%D8%B3%D8%AA%D8%A7%D9%86%D8%AF%D8%B1/car-10451850,Toyota,Yaris,2018,Saudi,White,Standard,1.5,Gas,Automatic,Used,131000,Jeddah,32000,False
https://syarah.com/%D8%AA%D9%88%D9%8A%D9%88%D8%AA%D8%A7_%D9%83%D8%A7%D9%85%D8%B1%D9%8A_2017_%D9%84%D9%84%D8%A8%D9%8A%D8%B9/car-10356437,Toyota,Camry,2017,Gulf Arabic,White,Standard,2.5,Gas,Automatic,Used,107000,Dammam,50000,False
