Symbol, Name, lastsale, netchange,pctchange, share_volume, Nasdaq100_points,
ATVI, Activision Blizzard Inc, 68.88, -0.17,-0.25, 2725378, -.1,
ADBE, Adobe Inc., 244.76, -1,-0.41, 1446412, -.4,
ALXN, Alexion Pharmaceuticals Inc., 118.585, 6.515,5.81, 1094479, 1.3,
ALGN, Align Technology Inc., 228.075, 6.875,3.11, 842126, .5,
GOOG, Alphabet Inc., 1077.2836, 0.5136,0.05, 740933, .2,
GOOGL, Alphabet Inc., 1094.2, 3.62,0.33, 997090, .9,
AMZN, Amazon.com Inc., 1649.77, 51.76,3.24, 4831282, 22.0,
AAL, American Airlines Group Inc., 35.99, 0.91,2.59, 4840976, .4,
AMGN, Amgen Inc., 192.98, 0.19,0.1, 1254568, .1,
ADI, Analog Devices Inc., 87.04, 3.33,3.98, 1369614, 1.1,
AAPL, Apple Inc., 220.11, 1.25,0.57, 22126603, 5.3,
AMAT, Applied Materials Inc., 35.033, 2.153,6.55, 8284420, 1.8,
ASML, ASML Holding N.V., 175.155, 2.795,1.62, 986942, .2,
ADSK, Autodesk Inc., 133.81, 4.56,3.53, 1013796, .9,
ADP, Automatic Data Processing Inc., 140.62, -3.46,-2.4, 1254978, -1.3,
BIDU, Baidu Inc., 200.12, 10.06,5.29, 4068178, 2.5,
BIIB, Biogen Inc., 315.41, 11.14,3.66, 637179, 2.0,
BMRN, BioMarin Pharmaceutical Inc., 97.45, 5.28,5.73, 515687, .8,
BKNG, Booking Holdings Inc., 1902.31, 27.73,1.48, 147785, 1.2,
AVGO, Broadcom Inc., 230.975, 7.485,3.35, 1507650, 2.8,
CA, CA Inc., 44.42, 0.06,0.14, 3941392, .0,
CDNS, Cadence Design Systems Inc., 45.16, 0.59,1.32, 950813, .2,
CELG, Celgene Corporation, 75.2429, 3.6429,5.09, 4530075, 2.2,
CERN, Cerner Corporation, 58.14, 0.86,1.5, 723105, .3,
CHTR, Charter Communications Inc., 328.3456, 7.9756,2.49, 601950, 1.6,
CHKP, Check Point Software Technologies Ltd., 111.16, 0.16,0.14, 375744, .0,
CTAS, Cintas Corporation, 179.63, -2.24,-1.23, 315763, -.2,
CSCO, Cisco Systems Inc., 45.63, -0.12,-0.26, 12640683, -.5,
CTXS, Citrix Systems Inc., 103.37, 0.9,0.88, 1025157, .1,
CTSH, Cognizant Technology Solutions Corporation, 68.43, -0.6,-0.87, 3047681, -.3,
CMCSA, Comcast Corporation, 37.92, -0.22,-0.58, 12724323, -.9,
COST, Costco Wholesale Corporation, 228.88, 0.25,0.11, 985519, .1,
