Symbol;Company;Sector;SubIndustry;Location;Date first added[3][4];CIK
MMM;3M Company;Industrials;Industrial Conglomerates;St. Paul, Minnesota;;0000066740
ABT;Abbott Laboratories;Health Care;Health Care Equipment;North Chicago, Illinois;31/03/1964;0000001800
ABBV;AbbVie Inc.;Health Care;Pharmaceuticals;North Chicago, Illinois;31/12/2012;0001551152
ABMD;ABIOMED Inc;Health Care;Health Care Equipment;Danvers, Massachusetts;31/05/2018;0000815094
ACN;Accenture plc;Information Technology;IT Consulting & Other Services;Dublin, Ireland;06/07/2011;0001467373
ATVI;Activision Blizzard;Communication Services;Interactive Home Entertainment;Santa Monica, California;31/08/2015;0000718877
ADBE;Adobe Systems Inc;Information Technology;Application Software;San Jose, California;05/05/1997;0000796343
AMD;Advanced Micro Devices Inc;Information Technology;Semiconductors;Sunnyvale, California;20/03/2017;0000002488
AAP;Advance Auto Parts;Consumer Discretionary;Automotive Retail;Roanoke, Virginia;09/07/2015;0001158449
AES;AES Corp;Utilities;Independent Power Producers & Energy Traders;Arlington, Virginia;02/10/1998;0000874761
AET;Aetna Inc;Health Care;Managed Health Care;Hartford, Connecticut;30/06/1976;0001122304
AMG;Affiliated Managers Group Inc;Financials;Asset Management & Custody Banks;Beverly, Massachusetts;01/07/2014;0001004434
AFL;AFLAC Inc;Financials;Life & Health Insurance;Columbus, Georgia;28/05/1999;0000004977
A;Agilent Technologies Inc;Health Care;Health Care Equipment;Santa Clara, California;05/06/2000;0001090872
APD;Air Products & Chemicals Inc;Materials;Industrial Gases;Allentown, Pennsylvania;30/04/1985;0000002969
AKAM;Akamai Technologies Inc;Information Technology;Internet Services & Infrastructure;Cambridge, Massachusetts;12/07/2007;0001086222
ALK;Alaska Air Group Inc;Industrials;Airlines;Seattle, Washington;13/05/2016;0000766421
ALB;Albemarle Corp;Materials;Specialty Chemicals;Baton Rouge, Louisiana;01/07/2016;0000915913
ARE;Alexandria Real Estate Equities Inc;Real Estate;Office REITs;Pasadena, California;20/03/2017;0001035443
ALXN;Alexion Pharmaceuticals;Health Care;Biotechnology;Cheshire, Connecticut;25/05/2012;0000899866
ALGN;Align Technology;Health Care;Health Care Supplies;San Jose, California;19/06/2017;0001097149
ALLE;Allegion;Industrials;Building Products;Dublin, Ireland;02/12/2013;0001579241
AGN;Allergan, Plc;Health Care;Pharmaceuticals;Dublin, Ireland;12/04/1999;0001578845
ADS;Alliance Data Systems;Information Technology;Data Processing & Outsourced Services;Plano, Texas;23/12/2013;0001101215
LNT;Alliant Energy Corp;Utilities;Electric Utilities;Madison, Wisconsin;01/07/2016;0000352541
ALL;Allstate Corp;Financials;Property & Casualty Insurance;Northfield Township, Illinois;13/07/1995;0000899051
GOOGL;Alphabet Inc Class A;Communication Services;Interactive Media & Services;Mountain View, California;03/04/2014;0001652044
GOOG;Alphabet Inc Class C;Communication Services;Interactive Media & Services;Mountain View, California;03/04/2006;0001652044
MO;Altria Group Inc;Consumer Staples;Tobacco;Richmond, Virginia;;0000764180
AMZN;Amazon.com Inc.;Consumer Discretionary;Internet & Direct Marketing Retail;Seattle, Washington;18/11/2005;0001018724
AEE;Ameren Corp;Utilities;Multi-Utilities;St. Louis, Missouri;19/09/1991;0001002910
AAL;American Airlines Group;Industrials;Airlines;Fort Worth, Texas;23/03/2015;0000006201
AEP;American Electric Power;Utilities;Electric Utilities;Columbus, Ohio;;0000004904
AXP;American Express Co;Financials;Consumer Finance;New York, New York;30/06/1976;0000004962
AIG;American International Group, Inc.;Financials;Property & Casualty Insurance;New York, New York;31/03/1980;0000005272
AMT;American Tower Corp.;Real Estate;Specialized REITs;Boston, Massachusetts;19/11/2007;0001053507
AWK;American Water Works Company Inc;Utilities;Water Utilities;Voorhees, New Jersey;04/03/2016;0001410636
AMP;Ameriprise Financial;Financials;Asset Management & Custody Banks;Minneapolis, Minnesota;03/10/2005;0000820027
ABC;AmerisourceBergen Corp;Health Care;Health Care Distributors;Chesterbrook, Pennsylvania;30/08/2001;0001140859
AME;AMETEK Inc.;Industrials;Electrical Components & Equipment;Berwyn, Pennsylvania;23/09/2013;0001037868
AMGN;Amgen Inc.;Health Care;Biotechnology;Thousand Oaks, California;02/01/1992;0000318154
APH;Amphenol Corp;Information Technology;Electronic Components;Wallingford, Connecticut;30/09/2008;0000820313
APC;Anadarko Petroleum Corp;Energy;Oil & Gas Exploration & Production;The Woodlands, Texas;28/07/1997;0000773910
ADI;Analog Devices, Inc.;Information Technology;Semiconductors;Norwood, Massachusetts;12/10/1999;0000006281
ANSS;ANSYS;Information Technology;Application Software;Canonsburg, Pennsylvania;19/06/2017;0001013462
ANTM;Anthem Inc.;Health Care;Managed Health Care;Indianapolis, Indiana;25/07/2002;0001156039
AON;Aon plc;Financials;Insurance Brokers;London, United Kingdom;23/04/1996;0000315293
AOS;A.O. Smith Corp;Industrials;Building Products;Milwaukee, Wisconsin;26/07/2017;0000091142
APA;Apache Corporation;Energy;Oil & Gas Exploration & Production;Houston, Texas;28/07/1997;0000006769
AIV;Apartment Investment & Management(Aimco);Real Estate;Residential REITs;Denver, Colorado;14/03/2003;0000922864
AAPL;Apple Inc.;Information Technology;Technology Hardware, Storage & Peripherals;Cupertino, California;30/11/1982;0000320193
AMAT;Applied Materials Inc.;Information Technology;Semiconductor Equipment;Santa Clara, California;16/03/1995;0000006951
APTV;Aptiv Plc;Consumer Discretionary;Auto Parts & Equipment;Gillingham, Kent, United Kingdom;24/12/2012;0001521332
ADM;Archer-Daniels-Midland Co;Consumer Staples;Agricultural Products;Decatur, Illinois;29/07/1981;0000007084
ARNC;Arconic Inc.;Industrials;Aerospace & Defense;New York, New York;31/03/1964;0000004281
ANET;Arista Networks;Information Technology;Communications Equipment;Santa Clara, California;28/08/2018;0001596532
AJG;Arthur J. Gallagher & Co.;Financials;Insurance Brokers;Itasca, Illinois;31/05/2016;0000354190
AIZ;Assurant Inc.;Financials;Multi-line Insurance;New York, New York;10/04/2007;0001267238
T;AT&T Inc.;Communication Services;Integrated Telecommunication Services;Dallas, Texas;30/11/1983;0000732717
ADSK;Autodesk Inc.;Information Technology;Application Software;San Rafael, California;01/12/1989;0000769397
ADP;Automatic Data Processing;Information Technology;Internet Software & Services;Roseland, New Jersey;31/03/1981;0000008670
AZO;AutoZone Inc;Consumer Discretionary;Specialty Stores;Memphis, Tennessee;02/01/1997;0000866787
AVB;AvalonBay Communities, Inc.;Real Estate;Residential REITs;Arlington, Virginia[5];10/01/2007;0000915912
AVY;Avery Dennison Corp;Materials;Paper Packaging;Glendale, California;31/12/1987;0000008818
BHGE;Baker Hughes, a GE Company;Energy;Oil & Gas Equipment & Services;Houston, Texas;;0001701605
BLL;Ball Corp;Materials;Metal & Glass Containers;Broomfield, Colorado;31/10/1984;0000009389
BAC;Bank of America Corp;Financials;Diversified Banks;Charlotte, North Carolina;30/06/1976;0000070858
BK;The Bank of New York Mellon Corp.;Financials;Asset Management & Custody Banks;New York, New York;31/03/1995;0001390777
BAX;Baxter International Inc.;Health Care;Health Care Equipment;Deerfield, Illinois;30/09/1972;0000010456
BBT;BB&T Corporation;Financials;Regional Banks;Winston-Salem, North Carolina;04/12/1997;0000092230
BDX;Becton Dickinson;Health Care;Health Care Equipment;Franklin Lakes, New Jersey;30/09/1972;0000010795
BRK.B;Berkshire Hathaway;Financials;Multi-Sector Holdings;Omaha, Nebraska;16/02/2010;0001067983
BBY;Best Buy Co. Inc.;Consumer Discretionary;Computer & Electronics Retail;Richfield, Minnesota;29/06/1999;0000764478
BIIB;Biogen Inc.;Health Care;Biotechnology;Weston, Massachusetts;13/11/2003;0000875045
BLK;BlackRock;Financials;Asset Management & Custody Banks;New York, New York;04/04/2011;0001364742
HRB;Block H&R;Consumer Discretionary;Specialized Consumer Services;Kansas City, Missouri;30/11/1986;0000012659
BA;Boeing Company;Industrials;Aerospace & Defense;Chicago, Illinois;;0000012927
BKNG;Booking Holdings Inc;Consumer Discretionary;Internet & Direct Marketing Retail;Norwalk, Connecticut;06/11/2009;0001075531
BWA;BorgWarner;Consumer Discretionary;Auto Parts & Equipment;Auburn Hills, Michigan;19/12/2011;0000908255
BXP;Boston Properties;Real Estate;Office REITs;Boston, Massachusetts;03/04/2006;0001037540
BSX;Boston Scientific;Health Care;Health Care Equipment;Marlborough, Massachusetts[6];24/02/1995;0000885725
BHF;Brighthouse Financial Inc;Financials;Life & Health Insurance;Charlotte, North Carolina;08/08/2017;0001685040
BMY;Bristol-Myers Squibb;Health Care;Health Care Distributors;New York, New York;;0000014272
AVGO;Broadcom;Information Technology;Semiconductors;San Jose, California;08/05/2014;0001441634
BR;Broadridge Financial Solutions;Information Technology;Data Processing & Outsourced Services;Lake Success, New York;18/06/2018;0001383312
BF.B;Brown-Forman Corp.;Consumer Staples;Distillers & Vintners;Louisville, Kentucky;31/10/1982;0000014693
