Symbol;Company;DOW;SP;N100;Company Name;Exchange;Industry;Sector;Tags;EBITDA;EPSSurpriseDollar;EPSSurprisePercent;beta;cash;companyName;consensusEPS;day200MovingAvg;day30ChangePercent;day50MovingAvg;day5ChangePercent;debt;dividendRate;dividendYield;exDividendDate;float;grossProfit;insiderPercent;institutionPercent;latestEPS;latestEPSDate;marketcap;month1ChangePercent;month3ChangePercent;month6ChangePercent;numberOfEstimates;peRatioHigh;peRatioLow;priceToBook;priceToSales;profitMargin;returnOnAssets;returnOnCapital;returnOnEquity;revenue;revenuePerEmployee;revenuePerShare;sharesOutstanding;shortDate;shortInterest;shortRatio;symbol;ttmEPS;week52change;week52high;week52low;year1ChangePercent;year2ChangePercent;year5ChangePercent;ytdChangePercent;Price
MMM;3M Company;True;True;False;3M Company;New York Stock Exchange;Industrial Products;Industrials;['Industrials', 'Diversified Industrials', 'Industrial Products'];2187000000.0;;0.0;1.08765;4129000000.0;3M Company;2.28;200.94986;-0.03532811799292443;195.31207;0.011917206773991225;14009000000.0;5.44;2.8099174;2018-11-21 00:00:00.0;580444230;3910000000.0;;96.8;7.92;2017-12-31;112730789336;-0.023799919322307378;-0.0357547709220296;-0.02606385922195789;6;29.9;14.5;10.93;4.5114346;16.17;12.53;;40.58;7990000000.0;87288;14;582287135;2018-12-14;6881327;2.94;MMM;9.77;-17.5849;259.77;176.87;-0.1758493200544042;0.15190236437480148;0.6301565489181687;0.01387797852841061;191.85
ABT;Abbott Laboratories;False;True;False;Abbott Laboratories;New York Stock Exchange;Medical Devices;Healthcare;['Healthcare', 'Medical Devices'];1663000000.0;;0.0;1.204265;9610000000.0;Abbott Laboratories;0.81;65.14487;-0.00903744082628024;70.2258;0.014241667890177638;27924000000.0;1.28;1.8529241;2019-01-14 00:00:00.0;1742212205;4326000000.0;;110.1;0.27;2017-12-31;121327485851;-0.02594472645234071;0.006442514183146892;0.10931079169269454;10;61.5;8.2;3.97;5.346065;7.51;1.24;;2.84;7589000000.0;76657;4;1756333032;2018-12-14;17236273;2.47;ABT;2.8099999999999996;19.575;74.92;55.58;0.1957494465244854;0.7432294663315466;0.9590827363632752;-0.006043165467625924;68.89
ABBV;AbbVie Inc.;False;True;False;AbbVie Inc.;New York Stock Exchange;Drug Manufacturers;Healthcare;['Healthcare', 'Drug Manufacturers - Major', 'Drug Manufacturers'];1861000000.0;;0.0;1.401198;9789000000.0;AbbVie Inc.;1.92;92.32283;0.005930656934306523;87.14;-0.009767598518019428;37368000000.0;4.28;4.8526077;2019-01-14 00:00:00.0;1502902570;5459000000.0;;112.7;3.29;2017-12-31;132671880041;0.006734391051249896;-0.042291204280806335;-0.08889191902914302;8;65.1;9.9;39.31;5.402701;30.73;11.22;;407.34;7739000000.0;257967;5;1504216327;2018-12-14;30862220;5.05;ABBV;7.49;-8.0756;125.86;77.5;-0.08075686435952613;0.48249246987951816;1.094683493799072;-0.011543202958646208;88.02
ABMD;ABIOMED Inc;False;True;False;ABIOMED Inc.;Nasdaq Global Select;Medical Devices;Healthcare;['Healthcare', 'Medical Devices'];0.0;;25.0;0.361618;0.0;ABIOMED Inc.;0.64;364.35785;0.06746297181079793;329.835;0.06919984686064318;0.0;0.0;0.0;0;41937133;0.0;7;118.7;2.45;2018-03-31;15094096684;0.03543842303651971;-0.11080156013690995;-0.17282487967419471;7;393.2;22.3;19.11;28.26223;33.02;24.08;;27.25;0.0;0;0;45039527;0;0;;ABMD;2.39;61.0118;459.75;207.5;0.6101181896800232;1.9858339272986458;10.457435897435897;0.0812040263259776;325.52
ACN;Accenture plc;False;True;False;Accenture plc Class A (Ireland);New York Stock Exchange;Application Software;Technology;['Technology', 'Information Technology Services', 'Application Software'];0.0;;1.9355;1.103478;0.0;Accenture plc Class A (Ireland);1.55;158.12305;-0.07598516749418642;154.608;0.042177642305238655;0.0;2.92;1.9861244;2018-10-17 00:00:00.0;663109249;0.0;0.5;109.7;6.34;2018-08-31;97943530198;-0.06784174486431643;-0.08270217894108316;-0.10871257405166582;11;31.2;14.2;7.66;2.3902485;10.62;16.95;;38.67;0.0;0;0;666191880;2018-12-14;6103135;2.24;ACN;6.74;-5.8068;175.64;132.63;-0.05806827755656413;0.3270498099507977;1.0139229443657554;0.045735827583754225;146.0
ATVI;Activision Blizzard;False;True;True;Activision Blizzard Inc;Nasdaq Global Select;Application Software;Technology;['Technology', 'Electronic Gaming & Multimedia', 'Application Software'];548000000.0;;0.0;1.038512;4713000000.0;Activision Blizzard Inc;1.22;68.28472;0.011822660098522196;52.9514;0.08861564553741784;0.0;0.34;0.66212267;2018-03-28 00:00:00.0;713826318;1240000000.0;6.5;155.8;0.37;2017-12-31;39182654369;0.07247284878863823;-0.30212014134275617;-0.3260270376689854;8;52.7;10.5;3.64;7.5768447;22.7;3.35;;5.59;2043000000.0;208469;3;763050718;0;0;;ATVI;2.25;-22.7671;84.6794;43.71;-0.22767089003597685;0.35306765601779144;1.9596712372981977;0.09185626196045078;46.44
ADBE;Adobe Systems Inc;False;True;True;Adobe Inc.;Nasdaq Global Select;Application Software;Technology;['Technology', 'Software - Application', 'Application Software'];0.0;;-3.8462;1.163783;0.0;Adobe Inc.;1.56;244.1355;0.02376749192680306;236.12;0.05119589725452059;0.0;0.0;0.0;0;486394147;0.0;0.4;135.6;5.21;2018-11-30;116063508715;-0.025892088983571607;-0.0005884578201840459;-0.04367936290873983;5;174.8;42.2;12.97;12.726598;28.69;15.56;;29.07;0.0;0;0;488133527;0;0;;ADBE;5.58;27.074999;277.61;179.34;0.2707498263053818;1.1962867171623868;3.0575085324232085;0.05877899986641144;236.37
AMD;Advanced Micro Devices Inc;False;True;False;Advanced Micro Devices Inc.;Nasdaq Global Select;Semiconductors;Technology;['Technology', 'Semiconductors'];123000000.0;;0.0;3.324794;1185000000.0;Advanced Micro Devices Inc.;0.06;18.7224;-0.06223277909738728;19.6614;0.03894736842105255;1395000000.0;0.0;0.0;0;985741016;515000000.0;1.4;93.3;0.03;2017-12-31;19728298444;-0.012506253126563283;-0.21040000000000006;0.1927492447129908;8;0.0;0.0;17.94;3.9909086;5.91;8.98;;43.28;1480000000.0;166292;1;999407216;0;0;;AMD;0.36;65.0502;34.14;9.04;0.6505016722408025;0.7255244755244754;3.7796610169491527;0.04832713754646841;20.215
AAP;Advance Auto Parts;False;True;False;Advance Auto Parts Inc W/I;New York Stock Exchange;Retail - Apparel & Specialty;Consumer Cyclical;['Consumer Cyclical', 'Specialty Retail', 'Retail - Apparel & Specialty'];0.0;;0.0;1.132273;0.0;Advance Auto Parts Inc W/I;1.15;146.58829;-0.07885661479945451;167.04362;0.03941817265915239;0.0;0.24;0.14539286;2018-12-20 00:00:00.0;69551652;0.0;4.5;142.0;6.42;2017-12-31;12032566195;-0.006238177744117968;0.012033183064154601;0.17448924268318883;10;30.6;12.7;3.28;1.6033634;4.95;6.36;;16.11;0.0;0;0;72893719;2018-12-14;2987708;2.92;AAP;6.73;49.5156;186.15;102.15;0.4951559375090577;-0.024828560761090954;0.4568320720164154;0.045276089159067924;160.095
AES;AES Corp;False;True;False;The AES Corporation;New York Stock Exchange;Utilities - Regulated;Utilities;['Utilities', 'Utilities - Diversified', 'Utilities - Regulated'];0.0;;0.0;0.971827;0.0;The AES Corporation;0.37;13.38993;0.00788436268068326;15.09412;0.04781420765027317;0.0;0.546;3.559322;2019-01-31 00:00:00.0;657377051;0.0;0.7;153.4;-1.77;2017-12-31;10159643328;-0.02726696258719085;0.04707753424844544;0.21702566543694712;4;0.0;0.0;3.01;1.2259932;17.06;-0.75;;-8.23;0.0;0;0;662297479;2018-12-14;13105683;2.13;AES;1.31;48.1651;16.28;9.865;0.4816531927018437;0.4718722714232256;0.27564385088105914;0.08180535966149508;15.37
