Pgroup;Lp;PKod;Pname;p_sale_in_time;Psale;Pavarage_stock;Rotation_in_days;Rotation_in_times
ART._HYGIENIC;;;;;;;;
 ;1;8478;BAMBINO SZAMPON 400 ML;0,013368984;5,00;0,00;0;
 ;1;17048;BELLA PODPASKI BLUE MAX;0,024064171;9,00;0,00;0;
 ;1;41;BELLA PODPASKI NORMAL 20 B/SKRZYD;0,136363636;51,00;0,00;0;
 ;1;2155;BELLA PODPASKI PERF.BLUE 10;0,06684492;25,00;0,00;0;
 ;1;2918;BELLA PODPASKI PERFECTA GREEN;0,024064171;9,00;0,00;0;
 ;1;8473;EVA MYDLO W PLYNIE Z DOZ 500 MML;0,016042781;6,00;0,00;0;
 ;1;8474;EVA MYDLO W PLYNIE Z DOZOW.500 ML;0,00802139;3,00;0,00;0;
 ;1;8479;PLYN DO ?AZIENKI 1 L ZÓ?TY;0,00802139;3,00;0,00;0;
 ;1;8480;PLYN DO ZATLUSZCZONYCH POWIERZCHNI  750;0,010695187;4,00;0,00;0;
 ;1;8481;PLYN KAMIEN I RDZA 750 ML;0,010695187;4,00;0,00;0;
 ;1;8475;SZAMPON HEAD S CHOUERS 400 ML CYTRUS;0,002673797;1,00;0,00;0;
 ;1;8476;SZAMPON HEADS SHOULDERS 400 ML PIELEGNAC;0,00802139;3,00;0,00;0;
 ;1;360;TAMPON BELLA A/8 REGULAR;0,024064171;9,00;0,00;0;
 ;1;361;TAMPONY BELLA A/8 SUPER;0,013368984;5,00;0,00;0;
 ;1;156;WATA 100G BELLA;0,021390374;8,00;0,00;0;
 ;1;155;WATA BAWELNIANA BELLA 100G;0,005347594;2,00;0,00;0;
 ;1;8482;ODSWIEZACZ SZYSZKA ZAPAS;0,013368984;5,00;2,00;149,6;2,5
 ;1;54;BELLA PODPASKI NOVA MAXI 10;0,048128342;18,00;6,00;124,6666667;3
 ;1;3214;PODPASKI BELLA  NOVA 10 SZT;0,024064171;9,00;3,00;124,6666667;3
 ;1;3646;BELLA HERBS 12 Z WERBENA;0,032085561;12,00;3,00;93,5;4
 ;1;362;TAMPONY BELLA A/8 SUPER PLUS;0,010695187;4,00;1,00;93,5;4
 ;1;55;BELLA PODPASKI NORMAL MAXI 10;0,064171123;24,00;1,00;15,58333333;24
 ;1;17054; WKLADKI ZAP.20 SZT CYTRYNA;0;0,00;0,00;-;-
 ;1;10138;BAMBINO CHUSTECZKI NAS?CZ,63;0;0,00;0,00;-;-
 ;1;91;BELLA  PODPASKI CLASSIC;0;0,00;0,00;-;-
 ;1;12940;BELLA PODPASKI GREEN +50%;0;0,00;0,00;-;-
 ;1;12939;BELLA PODPASKI PERFECTA BLU 50% GRATIS;0;0,00;0,00;-;-
 ;1;10824;BELLA WKLADKI PANTY GRAFFITI;0;0,00;0,00;-;-
 ;1;17070;COLGATE JUNIOR 50 G;0;0,00;0,00;-;-
 ;1;17071;COLGATE JUNIOR 50 G;0;0,00;0,00;-;-
 ;1;17063;ELKOS DEZOD.KULKA;0;0,00;0,00;-;-
 ;1;17066;ELKOS DEZODOR KULKA;0;0,00;0,00;-;-
 ;1;17067;ELKOS DEZODORA KULKA;0;0,00;0,00;-;-
 ;1;17061;LUKSJA MYDLO 90 G TOUCH;0;0,00;0,00;-;-
 ;1;8484;ODSWIEZACZ W ZELU DYNIA 150 G;0;0,00;0,00;-;-
 ;1;8485;ODSWIEZACZ W ZELU DYNIA 150 G;0;0,00;0,00;-;-
 ;1;8483;ODSWIEZACZ W ZELU DYNIA 150 ML;0;0,00;0,00;-;-
 ;1;17068;PALMOLIVE PIANKA DO GOLENIA 300 ML;0;0,00;0,00;-;-
 ;1;17069;PALMOLIVE PIANKA DO GOLENIA 300 ML;0;0,00;0,00;-;-
 ;1;15472;PAPIER SNIADA?IOWY ROLKA MAWA;0;0,00;0,00;-;-
 ;1;1281;PIELUSZKI HAPPY /12 SZT;0;0,00;0,00;-;-
 ;1;1279;PIELUSZKI HAPPY JUNIOR/10 SZT/;0;0,00;0,00;-;-
 ;1;19173;PODPASKI ALWAYS CLASSIC ZE SKRZ,10SZT;0;0,00;0,00;-;-
 ;1;4152;PODPASKI ALWAYS MAX  CLASIC12*;0;0,00;0,00;-;-
 ;1;2154;PODPASKI BELLA PERFECTA MAXI BLUE;0;0,00;0,00;-;-
 ;1;17062;SZAMPON SCHAUMA  400 ML;0;0,00;0,00;-;-
 ;1;359;TAMPON BELLA A/8 MINI;0;0,00;0,00;-;-
 ;1;365;TAMPONY OB A/8 PROCOMFORT SUPER;0;0,00;0,00;-;-
 ;2;13999;WATA BELLA 200GR;0;0,00;0,00;-;-
 ;2;17055;WKLADKI ZAPACH.20 SZT FRESH;0;0,00;0,00;-;-
 ;1;17050;ZESTAW  BOND;0;0,00;0,00;-;-
 ;1;17052;ZESTAW BOND;0;0,00;0,00;-;-
 ;1;17053;ZESTAW FA ZEL+DEZOD;0;0,00;0,00;-;-
ARTICLE_OF_HOUSEHOLD;;;;;;;;
 ;1;6706;BALON KOLOR;0,131016043;49,00;0,00;0;
 ;1;6703;BIBULA KOLOR;0,00802139;3,00;0,00;0;
 ;1;6705;DLUGOPIS PSTRYKANY;0,016042781;6,00;0,00;0;
 ;1;6704;KOREKTOR  W PISAKU;0,002673797;1,00;0,00;0;
 ;1;6701;PAPIER KOLOROWY A4;0,002673797;1,00;0,00;0;
 ;1;569;SERWETKI WIELKANOCNE 20 SZT;0,00802139;3,00;0,00;0;
 ;1;6700;ZESZYT W LINIE 32 K;0,013368984;5,00;0,00;0;
 ;1;6698;ZESZYT W LINIE 16 K;0,050802139;19,00;1,00;19,68421053;19
 ;1;3024;ARO PIEPRZ ZIARNIST 15G;0;0,00;0,00;-;-
 ;1;18197;BATERIA ENERGIZER BASE AA LR6/PALUSZEK D;0;0,00;0,00;-;-
 ;1;6702;FARBY PLAKATOWE 12 KOLOROW;0;0,00;0,00;-;-
 ;1;3021;PODPALKA KOSTKA;0;0,00;0,00;-;-
 ;1;3023;PODPALKA W PLYNIE 500ML;0;0,00;0,00;-;-
 ;1;6707;TOREBKA NA PREZENT;0;0,00;0,00;-;-
 ;1;6699;ZESZYT W KRATKE 32 K;0;0,00;0,00;-;-
 ;;;;;;;;
 ;1;12888;*GAZETA  5 % VATVAT  5%,;1,109625668;415,00;0,00;0;
 ;1;12492;*GAZETA  8% VATVAT  8%,;15,01871658;5617,00;0,00;0;
 ;1;12459;*GAZETA 23% VATVAT 23%,;0,034759358;13,00;14,00;402,7692308;0,928571429
 ;1;12461;*GAZETA VAT  0%,;0;0,00;0,00;-;-
CHEMISTRY;;;;;;;;
 ;1;5307; PATYCZKI BELLA 200;0,042780749;16,00;0,00;0;
 ;1;69;AJAX DO CZYSZCZENIA 500G LEMON;0,002673797;1,00;0,00;0;
 ;1;8835;APART PLYN DO KAPIELI 750 ML;0,00802139;3,00;0,00;0;
 ;1;8834;APART PLYN DO KAPIELI 750 ML;0,00802139;3,00;0,00;0;
 ;1;10232;ARIEL KAPSU?KI DO BIA?EGO 32SZT;0,109625668;41,00;0,00;0;
 ;1;10233;ARIEL KAPSU?KI DO KOLORU 32SZT;0,002673797;1,00;0,00;0;
 ;1;3895;BAMBINO OLIWKA DLA DZIECI 150G;0,00802139;3,00;0,00;0;
 ;1;6995;BARWNIKI DO JAJ HIT;0,002673797;1,00;0,00;0;
 ;1;7927;BATERIA AA LR3;0,018716578;7,00;0,00;0;
 ;1;2560;BATERIA GP PLASKA 3R12 4,5V  312GR;0,002673797;1,00;0,00;0;
 ;1;10365;BATERIA MAXELL R3 AA;0,069518717;26,00;0,00;0;
 ;1;5691;BATERIA R14 1 SZT;0,032085561;12,00;0,00;0;
 ;1;5156;BATERIA R6 AA;0,655080214;245,00;0,00;0;
 ;1;7921;BATERIA R6 ALKAICZ;0,625668449;234,00;0,00;0;
