Date;PKod;Pgroup;Pname;Pquantity;pce_zn;pwa_zn;pce_sn;pwa_sn;pce_sb;pwa_sb;pudzsb;pmarza;pmarzajedn;pkwmarza;pudzmarza
01.01.2018;5307;CHEMISTRY; PATYCZKI BELLA 200;1;1,77;1,77;2,57;2,57;2,78;2,78;0;31,13;0,8;0,8;0,01
01.01.2018;5986;CHEMISTRY;ACE 1 L;1;3,2;3,2;5,68;5,68;6,99;6,99;0,01;43,66;2,48;2,48;0,03
01.01.2018;399;DAIRY_CHESSE;ALMETTE CZOSNEK NIEDZWIEDZI 150GR;4;2,68;10,72;3,8;15,2;3,99;15,96;0,02;29,47;1,12;4,48;0,05
01.01.2018;2246;DAIRY_CHESSE;ALMETTE JOGURTOWY 150G HOCHLAND;4;2,68;10,72;3,8;15,2;3,99;15,96;0,02;29,47;1,12;4,48;0,05
01.01.2018;2247;DAIRY_CHESSE;ALMETTE OGOREK/ZIOLA 150G;4;2,68;10,72;2,85;11,4;3,99;11,98;0,01;5,96;0,17;0,68;0,01
01.01.2018;1305;DAIRY_CHESSE;ALMETTE SER POMIDOR 150 G;5;2,68;13,4;3,8;19;3,99;19,95;0,02;29,47;1,12;5,6;0,06
01.01.2018;1142;DAIRY_CHESSE;ALMETTE SZCZYPIOREK CEBULA 150G;4;2,68;10,72;3,8;15,2;3,99;15,96;0,02;29,47;1,12;4,48;0,05
01.01.2018;17316;GENERAL_FOOD;ALMETTE SZPINAK 150 G;6;2,68;16,08;3,8;22,8;3,99;23,94;0,03;29,47;1,12;6,72;0,07
01.01.2018;3818;DAIRY_CHESSE;ALMETTE Z CHRZANEM;6;2,68;16,08;3,8;22,8;3,99;23,94;0,03;29,47;1,12;6,72;0,07
01.01.2018;1143;DAIRY_CHESSE;ALMETTE ZIOLOWY 150G SEREK;4;2,68;10,72;3,8;15,2;3,99;15,96;0,02;29,47;1,12;4,48;0,05
01.01.2018;7695;SWEETS;AMELIA PIANKA 380 G SMIET.CZEK;2;4,18;8,36;6,7;13,4;8,24;16,48;0,02;37,61;2,52;5,04;0,05
01.01.2018;8404;VEGETABLES;AMINO BLYSK  ZUREK;6;0,82;4,92;1,51;9,06;1,59;9,54;0,01;45,7;0,69;4,14;0,04
01.01.2018;3067;GENERAL_FOOD;AMINO BLYSK GULASZOWA 61G;1;0,82;0,82;1,51;1,51;1,59;1,59;0;45,7;0,69;0,69;0,01
01.01.2018;17427;OILS;AMINO BLYSK OGORKOWA;2;0,92;1,84;1,51;3,02;1,59;3,18;0;39,07;0,59;1,18;0,01
01.01.2018;5663;GENERAL_FOOD;AMINO BLYSK. ROSOL Z KURY PIKANTNY;9;0,82;7,38;1,51;13,59;1,59;14,31;0,02;45,7;0,69;6,21;0,06
01.01.2018;782;GENERAL_FOOD;AMINO BLYSK.POMIDOROWA;25;0,92;23;1,51;37,75;1,59;39,75;0,04;39,07;0,59;14,75;0,15
01.01.2018;16572;GENERAL_FOOD;AMINO B?YSK_PIECZARKOWA;6;0,82;4,92;1,39;8,31;1,46;8,75;0,01;40,79;0,57;3,39;0,04
01.01.2018;2269;GENERAL_FOOD;AMINO SOS BOLONSKI 43G;6;1,13;6,78;1,66;9,96;1,79;10,74;0,01;31,93;0,53;3,18;0,03
01.01.2018;199;GENERAL_FOOD;AMINO SOS PIECZENIOWY CIEMNY 38GR;11;0,99;10,89;1,66;18,26;1,79;19,69;0,02;40,36;0,67;7,37;0,08
01.01.2018;86;GENERAL_FOOD;ANANAS PLASTRY 580 G GIANA;2;3,48;6,96;4,98;9,96;5,38;10,76;0,01;30,12;1,5;3;0,03
01.01.2018;5633;SWEETS;ANDRUTY   FURMANIAK;97;0,7;67,84;0,89;86,49;1,09;105,93;0,12;21,56;0,19;18,65;0,19
01.01.2018;6605;SWEETS;ANIMALS MODEL;1;5,68;5,68;7,29;7,29;8,97;8,97;0,01;22,09;1,61;1,61;0,02
01.01.2018;7646;SPICES;APEPETITA GYROS 30 G;2;1;2;1,34;2,68;1,45;2,9;0;25,37;0,34;0,68;0,01
01.01.2018;19589;SPICES;APETTITA CYNAMON 20 G;2;0,79;1,58;1,05;2,1;1,29;2,58;0;24,76;0,26;0,52;0,01
01.01.2018;6562;SPICES;APPETITA GALKA MUSZKATOLOWA;1;0,99;0,99;1,37;1,37;1,69;1,69;0;27,74;0,38;0,38;0
01.01.2018;7218;SPICES;APPETITA IMBIR MIELONY;1;0,99;0,99;1,29;1,29;1,59;1,59;0;23,26;0,3;0,3;0
01.01.2018;4581;SPICES;APPETITA PRZYPRAWA DO GULASZU 20 G;1;0,97;0,97;1,34;1,34;1,45;1,45;0;27,61;0,37;0,37;0
01.01.2018;10232;CHEMISTRY;ARIEL KAPSU?KI DO BIA?EGO 32SZT;2;0,78;1,56;1,37;2,74;1,69;3,38;0;43,07;0,59;1,18;0,01
01.01.2018;9274;TABLETS;ASPIRYN ULTRA 2 SZT;4;1,83;7,32;2,68;10,72;2,89;11,56;0,01;31,72;0,85;3,4;0,04
01.01.2018;14220;BREAD;B BABKA DUZA JOGURTOWA/POLEWA;1;7,31;7,31;8,81;8,81;9,51;9,51;0,01;17,03;1,5;1,5;0,02
01.01.2018;7762;BREAD;B CIASTKA FRANCUSKIE/ROZNE LUZ;2,38;13,69;32,51;18,01;42,77;19,46;46,21;0,05;23,99;4,32;10,26;0,11
01.01.2018;14208;BREAD;B ROGAL MLECZNY 0_1KG;34;0,99;33,66;1,25;42,5;1,35;45,9;0,05;20,8;0,26;8,84;0,09
01.01.2018;13413;BREAD;B ROGALE/GNIAZDO SMIET/EKLER/OMLET;160;1,64;262;1,82;291,04;1,96;313,92;0,35;9,98;0,18;29,04;0,3
01.01.2018;7926;BREAD;B SERNIK/PIANKI/ROGALE Z MAKIEM;1,15;22,56;25,9;29,43;33,79;31,78;36,48;0,04;23,35;6,87;7,89;0,08
01.01.2018;2911;DAIRY_CHESSE;BAKOMA 7 ZBOZ SLIWKA 150GR;6;1,39;8,34;1,73;10,35;1,86;11,16;0,01;19,42;0,34;2,01;0,02
01.01.2018;12547;DAIRY_CHESSE;BAKOMA BAKUS DO KIESZONKI TRUSKAW.;3;1,57;4,71;2,18;6,54;2,29;6,87;0,01;27,98;0,61;1,83;0,02
01.01.2018;12548;DAIRY_CHESSE;BAKOMA BAKUS DO KIESZONKI WANIL.;3;1,57;4,71;2,18;6,54;2,29;6,87;0,01;27,98;0,61;1,83;0,02
