Index,Name,Volume,Volume_USD,Market_Cap,Market_Cap_USD,Sales,Floor_Price,Floor_Price_USD,Average_Price,Average_Price_USD,Owners,Assets,Owner_Asset_Ratio,Category,Website,Logo
0,basis.markets,27256.63,4001818.417,708.1454545,103969.9156,366,39.5,5799.39,74.47166667,10933.9301,12,16,75,"Collectibles,Digital,Privilege",https://basis.markets/,https://content.solsea.io/files/thumbnail/1636669983973-23915727-basis-markets-banner-design-01.jpg
1,Skeleton Crew Skulls,11381.25,1670995.125,106.656,15659.23392,2075,0.67,98.3694,5.484939759,805.2988554,103,132,78.03,,https://skeletoncrew.rip/,https://content.solsea.io/files/thumbnail/1633080381187-181516172-Solsea Profile Image@2x.png
2,Flippies,6732.19,988420.1358,1663.863158,244288.3888,1504,0.8,117.456,4.47619016,657.1942392,905,1638,55.25,,https://www.flippies.art/,https://content.solsea.io/files/thumbnail/1632312299559-878440662-FlippiesOriginal02.png
3,Meerkat Millionaires Country Club,3734.76,548337.4632,90.275,13254.1755,395,3.79,556.4478,9.455088608,1388.196109,19,23,82.61,,https://meerkatmillionaires.club/,https://content.solsea.io/files/thumbnail/1632759644698-41570094-kkjewfw - Meerkat Millionaire.png
4,Stylish Studs,3191.15,468524.643,165,24225.3,729,4.3,631.326,4.377434842,642.6949835,28,50,56,,https://stylishstuds.io,https://content.solsea.io/files/thumbnail/1632756712180-920281342-StylishStuds_500x500 - Ian Cummings.png
5,I'M AIKO,2904.7,426468.054,2530.877143,371583.3821,1411,1.2,176.184,2.058610914,302.2452544,599,1206,49.67,"Art,Collectibles,Graphics,2D,Image",https://aiko.io,https://content.solsea.io/files/thumbnail/1633727219959-29519567-aiko-avatar.png
6,Crypto Idolz,2315.74,339996.9468,1168.041981,171491.9237,1418,0.6,88.092,1.633102962,239.7721769,244,529,46.12,,https://cryptoidolz.com/,https://content.solsea.io/files/thumbnail/1632483368175-722908038-logo small - Cry Ido.png
7,Megalodon Rogue Shark Tooth,2116.61,310760.6802,60.050375,8816.596058,5229,0.04,5.8728,0.404782941,59.43023144,946,1309,72.27,,https://t.co/ra8GsIsSz7?amp=1,https://content.solsea.io/files/thumbnail/1635431310376-188827088-Q1-6BRWp_400x400.jpg
8,CorruptCatz,1983.92,291279.1344,345.79,50768.8878,1489,0.1,14.682,1.33238415,195.620641,636,916,69.43,,https://corruptcatz.com,https://content.solsea.io/files/thumbnail/1633536108110-272155488-icon image.jpeg
9,Meta Waifus,1844.59,270822.7038,989.4912667,145277.1078,1156,1.27,186.4614,1.59566609,234.2756953,376,643,58.48,"3D,PFP,Metaverse,Art,Collectibles",https://metawaifus.com,https://content.solsea.io/files/thumbnail/1637106844666-870870235-logo.jpg
10,Crypto Idolz - Butts,1756.29,257858.4978,910.915461,133740.608,2906,0.24,35.2368,0.604366827,88.73313758,413,847,48.76,,https://cryptoidolz.com/,https://content.solsea.io/files/thumbnail/1635528818581-197912343-test (3).png
11,Doge Capital,1630.23,239350.3686,5.62,825.1284,597,1.29,189.3978,2.730703518,400.9218905,5,6,83.33,,https://www.thedogecapital.com/,https://content.solsea.io/files/thumbnail/1634638173888-970803881-Solana Doge Business - Kishore Rabha.png
12,Hot Bunnies NFT,1590.89,233574.4698,527.85,77498.937,412,1,146.82,3.861383495,566.9283248,243,391,62.15,"Digital,Metaverse,Art,Picture,Image",https://hotbunniesnft.com/,https://content.solsea.io/files/thumbnail/1637244261395-551119489-logo.jpg
13,BOSS BULLS ™ CLUB,1236.33,181517.9706,244.6866667,35924.8964,370,1.49,218.7618,3.341432432,490.5891097,99,127,77.95,"Art,Digital,PFP,3D",https://www.bossbullsclub.com,https://content.solsea.io/files/thumbnail/1637619421072-164614310-Logo_V1_Gray.png
14,Solana Doodle Apes,1132.74,166308.8868,327.8888889,48140.64667,1162,1.5,220.23,0.974819277,143.1229663,123,175,70.29,,solanadoodleapes.com,https://content.solsea.io/files/thumbnail/1641588367369-616144667.jpg
15,Crypto Idolz - Faces,990.64,145445.7648,962.1567742,141263.8576,1264,0.25,36.705,0.783734177,115.0678519,388,1239,31.32,,https://cryptoidolz.pro/,https://content.solsea.io/files/thumbnail/1640533293633-256094393.png
16,Psychedelic Apes,981.33,144078.8706,0,0,60,15.5,2275.71,16.3555,2401.31451,12,13,92.31,"Digital,Art,Metaverse,Collectibles,PFP,3D",https://psychapes.io,https://content.solsea.io/files/thumbnail/1636940749652-486232950-Psychedelic Apes LOGO.jpg
17,169 Pixel Gang,970.46,142482.9372,84.8475,12457.30995,1195,0.1,14.682,0.812100418,119.2325834,285,419,68.02,,169pixel.com,https://content.solsea.io/files/thumbnail/1632493684926-580863571-13 big.png
18,Solchicks,858.32,126018.5424,0,0,126,9,1321.38,6.812063492,1000.147162,14,15,93.33,,https://solchicks.io,https://content.solsea.io/files/thumbnail/1637457753642-142284151-clearbackground.png
19,PixTapes,813.65,119460.093,470.3744681,69060.3794,4596,0.1,14.682,0.177034378,25.99218734,706,1242,56.84,"Art,Music,Collectibles",https://pixtapes.com,https://content.solsea.io/files/thumbnail/1635523689431-454856821-05516 - Usher - Love in this Club.jpg
20,NEKOVERSE ,800.77,117569.0514,45.82,6727.2924,424,1.2,176.184,1.888608491,277.2854986,29,29,100,,,https://content.solsea.io/files/thumbnail/1638379734038-484834063.png
21,EITBIT APES,748.53,109899.1746,41.38666667,6076.3904,507,0.21,30.8322,1.476390533,216.763658,89,128,69.53,,https://www.eitbitape.world/,https://content.solsea.io/files/thumbnail/1633186350554-239450755-logo_ape8bit - Franco Martinez.png
22,Solagon ,718.88,105545.9616,68,9983.76,435,0.23,33.7686,1.652597701,242.6343945,194,272,71.32,,https://solagon.io,https://content.solsea.io/files/thumbnail/1632826882670-712847941-logo.jpg
23,Exiled Lomu,710.88,104371.4016,24.99,3669.0318,474,0.7,102.774,1.499746835,220.1928304,38,51,74.51,,https://blockasset.co/#/legends,https://content.solsea.io/files/thumbnail/1636379426405-949444748-download (13).png
24,Genesis Zombies,704.35,103412.667,130.54,19165.8828,1009,0.55,80.751,0.698067393,102.4902547,86,122,70.49,Privilege,https://solanazombie.business/genesis,https://content.solsea.io/files/thumbnail/1636662439575-198637640-genesis-269.png
25,SolanaMonkeyBusiness,695,102039.9,0,0,2,,,347.5,51019.95,0,0,,,https://solanamonkey.business,https://content.solsea.io/files/thumbnail/1631992630841-332444038-logo SMB gen2 violet carret - Airdrop Pekka.png
26,Sol Snipers,668.68,98175.5976,0,0,139,,,4.810647482,706.2992633,0,1,,,,https://content.solsea.io/files/thumbnail/1641661121333-394797110.png
27,Solameleon,659.26,96792.5532,294.0571429,43173.46971,4980,0.05,7.341,0.132381526,19.43625566,2041,3320,61.48,Collectibles,https://www.solameleon.com/,https://content.solsea.io/files/thumbnail/1633595689457-739048017-sm-512x512.png
28,SOLgods,657.3,96504.786,0,0,315,5,734.1,2.086666667,306.3644,35,58,60.34,"Digital,Art",http://solanagods.io/,https://content.solsea.io/files/thumbnail/1635432037345-532075560-2021-10-28 14.21.42.jpg
29,SOL NFL Player's,643.51,94480.1382,624.4940625,91688.21826,411,0.25,36.705,1.565717762,229.8786818,304,451,67.41,"AI,Pixel Art,Metaverse,Trading Cards",https://www.solnfl.com/,https://content.solsea.io/files/thumbnail/1640698852314-552911903.png
30,SolChan NFT,597.59,87738.1638,91.16,13384.1112,507,0.28,41.1096,1.178678501,173.0535775,136,212,64.15,,https://solchan.io,https://content.solsea.io/files/thumbnail/1632949489029-233960368-CleanShot 2021-09-25 at 22.43.34 - Cpt Dubas.png
31,The Degens,574.61,84364.2402,0,0,200,0.5,73.41,2.87305,421.821201,18,28,64.29,"Metaverse,Collectibles,PFP,3D,Design",https://thedegens.co/,https://content.solsea.io/files/thumbnail/1633876101156-88811193-logo corr.png
32,SOLEX,564.48,82876.9536,48.05058824,7054.787365,586,0.67,98.3694,0.963276451,141.4282485,73,94,77.66,,https://www.solex.watch/rank,https://content.solsea.io/files/thumbnail/1633838856814-33244219-8.png
33,Bull Empire ,520.21,76377.2322,0,0,53,,,9.815283019,1441.079853,0,0,,,https://t.co/f4Sd8U8OU8,https://content.solsea.io/files/thumbnail/1641994350435-545555364.jpg
