"Programs","FY 2018 PB Request (FY 2018 $M)","FY 2019 Estimate (FY 2018 $M)","FY 2019 PB Request (FY 2018 $M)","Notes"
"F-35A","5,141.90","4,513.90","5,822.79",""
"B-21 (LRSB)","2,003.58","2,662.02","2,268.99",""
"KC-46","3,333.10","3,309.50","2,604.74",""
"GBSD","215.72","347.64","338.30",""
"T-X","106.00","323.46","260.28",""
"Presidential Aircraft Recapitalization","434.07","737.10","659.89",""
"MC-130J","698.71","468.85","1,337.78","Also includes HC-130"
"JSTARs Recapitalization","417.20","623.25","0.00",""
"Combat Rescue Helicopter","354.49","549.98","1,115.63",""
"JDAMs","710.10","312.88","306.77",""
"JASSMs","471.30","477.31","467.98",""
"LRSO","451.29","619.55","602.91",""
"Advanced EHF","202.58","159.25","177.79",""
"GPS III","840.27","1,353.11","1,087.90","Includes OCX"
"SBIRS","1,425.27","893.12","195.08",""
"EELV","1,861.48","1,789.46","1,911.89",""
