,P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),Dividend %,ROE,ROI,EPS Q/Q,Insider Own
AACG,1.04,-,-,-,0.01,-0.62,-,-38.80%,-45.00%,154.90%,18.70%
AACQ,-,-,-,-,-,-,-,-,-,-,-
AACQU,,,,,,,,,,,
AACQW,,,,,,,,,,,
AAL,-,-,-,-,-,-13.85,-,219.80%,10.30%,-590.60%,0.93%
AAME,0.33,62.42,-,-,0.26,0.03,-,1.00%,1.10%,210.50%,2.80%
AAOI,0.73,-,-,-,0.57,-3.91,-,-30.50%,-15.60%,3.60%,5.50%
AAON,10.10,46.27,51.25,3.86,0.02,1.44,0.57%,24.10%,18.10%,42.00%,16.60%
AAPL,34.64,40.62,30.59,3.21,1.73,3.27,0.62%,75.20%,31.70%,-3.00%,0.07%
AAWW,0.71,-,6.31,-,1.17,-9.16,-,-12.40%,-5.00%,19.90%,1.40%
AAXJ,-,-,-,-,-,-,1.47%,-,-,-,-
AAXN,8.69,-,94.98,-,0.00,-0.66,-,-5.60%,-1.40%,-113.50%,1.10%
ABCB,1.03,11.55,10.46,1.44,0.19,3.30,1.58%,9.20%,15.20%,445.10%,0.30%
ABCL,-,2235.56,-,-,0.31,0.02,-,-,-61.40%,-,23.40%
ABCM,-,-,-,-,-,-,0.70%,-,-,-,-
ABEO,1.28,-,-,-,0.02,-1.04,-,-62.00%,-,77.90%,2.20%
ABIO,0.48,-,-,-,0.00,-2.65,-,-31.30%,-,56.70%,0.30%
ABMD,12.36,71.16,64.00,4.16,0.00,4.56,-,18.90%,17.90%,378.60%,1.10%
ABNB,-,-,-,-,-,-1.76,-,-,95.80%,-17.70%,13.50%
ABST,-,-,-,-,-,-,2.10%,-,-,-24.60%,0.43%
ABTX,0.93,16.18,14.20,-,0.35,2.11,1.17%,6.00%,17.90%,39.00%,0.70%
ABUS,-,-,-,-,-,-1.24,-,128.90%,203.20%,81.70%,1.60%
ACAC,,,,,,,,,,,
ACACU,-,-,-,-,-,-,-,-,-,-,-
ACACW,,,,,,,,,,,
ACAD,12.91,-,-,-,0.00,-1.71,-,-40.30%,-35.40%,-86.10%,0.38%
ACAM,1.42,509.09,-,-,0.00,0.02,-,0.30%,-,-115.60%,-
ACAMU,,,,,,,,,,,
ACAMW,,,,,,,,,,,
ACBI,1.01,17.55,12.04,1.67,0.22,0.91,-,5.90%,18.70%,20.70%,0.60%
ACCD,7.47,-,-,-,0.00,-1.20,-,33.50%,20.50%,-45.60%,1.30%
ACER,2.88,-,-,-,0.00,-2.07,-,-161.00%,-,1.00%,16.30%
ACET,0.63,-,-,-,0.00,-12.56,-,-68.50%,-,58.70%,0.40%
ACEV,-,-,-,-,-,-,-,-,-,-,-
ACEVU,-,-,-,-,-,-,-,-,-,-,-
ACEVW,,,,,,,,,,,
ACGL,1.25,12.92,12.92,2.44,0.26,2.79,-,10.40%,13.10%,8.00%,2.93%
ACGLO,,,,,,,,,,,
ACGLP,,,,,,,,,,,
ACHC,1.70,44.40,18.43,3.49,1.22,1.13,-,4.00%,5.20%,-14.10%,0.10%
ACHV,1.04,-,-,-,0.00,-8.76,-,-72.10%,-,87.40%,0.48%
ACIA,4.64,45.74,24.88,-,0.00,1.60,-,11.10%,3.90%,58.70%,0.20%
ACIU,1.42,-,-,-,0.01,-0.97,-,-24.20%,16.20%,-204.80%,46.99%
ACIW,3.99,75.21,45.00,6.27,1.13,0.51,-,5.50%,4.70%,-49.90%,0.90%
ACKIU,-,-,-,-,-,0.00,-,-,-,-425.00%,-
ACLS,2.12,21.99,18.44,1.10,0.10,1.32,-,10.30%,4.30%,1432.00%,0.50%
ACMR,16.32,121.27,50.81,6.06,0.29,0.67,-,19.90%,16.50%,-101.90%,2.50%
ACNB,0.85,12.37,-,-,0.00,2.02,4.00%,6.90%,28.10%,-12.80%,2.70%
ACOR,0.11,0.75,-,0.03,0.73,0.92,-,16.10%,-48.20%,100.80%,1.50%
ACRS,6.81,-,-,-,0.27,-1.36,-,-103.50%,-158.70%,55.50%,3.70%
ACRX,-,-,-,-,-,-0.56,-,85.50%,340.90%,36.60%,2.11%
ACST,3.53,-,-,-,-,-0.07,-,-,-,-,8.64%
ACTC,,,,,,,,,,,
ACTCU,-,-,-,-,-,-,-,-,-,-,-
ACTCW,,,,,,,,,,,
ACTG,0.95,17.36,11.26,0.87,0.57,0.23,-,7.30%,-17.20%,320.60%,1.90%
ACWI,-,-,-,-,-,-,1.97%,-,-,-,-
ACWX,-,-,-,-,-,-,2.85%,-,-,-,-
ADAP,2.22,-,-,-,0.00,-0.96,-,-44.90%,-113.30%,38.70%,0.20%
ADBE,20.50,46.12,37.79,2.77,0.35,10.84,-,33.90%,20.60%,22.00%,0.31%
ADES,1.18,-,-,-,0.35,-0.64,-,-24.20%,-17.50%,28.60%,0.80%
ADI,4.55,45.01,23.33,3.92,0.43,3.28,1.68%,10.40%,8.20%,39.50%,0.32%
ADIL,3.27,-,-,-,0.00,-0.82,-,-132.80%,-,-46.10%,17.53%
ADILW,,,,,,,,,,,
ADMA,2.41,-,-,-,1.36,-0.87,-,-98.80%,-,0.00%,0.50%
ADMP,1.35,-,-,-,0.19,-0.50,-,-115.90%,-76.90%,20.90%,1.30%
ADMS,-,-,-,-,-,-2.22,-,328.40%,-72.70%,57.70%,0.40%
ADOC,-,-,-,-,-,-,-,-,-,-,3.51%
ADOCR,,,,,,,,,,,
ADOCW,,,,,,,,,,,
ADP,13.00,30.66,27.83,2.77,0.34,5.75,2.11%,44.40%,30.80%,4.70%,0.10%
ADPT,10.25,-,-,-,0.00,-0.95,-,-20.10%,-12.90%,-143.60%,1.30%
ADRE,-,-,-,-,-,-,1.07%,-,-,-,-
ADSK,954.19,155.07,59.06,4.44,23.62,1.97,-,-,14.00%,97.80%,0.10%
ADTN,1.92,-,34.27,-,0.00,-0.32,2.44%,-4.20%,-16.80%,111.70%,1.00%
ADTX,1.12,-,-,-,0.00,-0.73,-,-596.90%,-,26.20%,4.60%
ADUS,3.60,53.79,32.93,3.59,0.12,2.18,-,7.10%,5.10%,47.90%,1.50%
ADV,1.71,-,18.04,-,0.00,-0.05,-,-0.60%,-,-528.10%,64.00%
ADVM,2.07,-,-,-,0.00,-1.28,-,-32.20%,-39.20%,-25.00%,0.30%
ADVWW,,,,,,,,,,,
ADXN,-,-,-,-,-,-,-,-,-,-,-
ADXS,0.68,-,-,-,0.00,-0.60,-,-81.60%,-49.70%,90.50%,0.09%
AEGN,1.46,-,16.22,-,0.56,-1.33,-,-9.80%,0.60%,-581.00%,3.40%
AEHL,0.12,-,-,-,0.02,-1.10,-,-3.00%,-3.40%,240.10%,49.00%
AEHR,4.77,-,-,-,0.13,-0.10,-,-15.50%,-17.70%,125.10%,8.00%
AEIS,4.84,36.01,17.52,6.06,0.42,2.69,-,14.50%,4.30%,528.40%,0.60%
AEMD,2.17,-,-,-,0.00,-0.79,-,-54.60%,-67.80%,88.70%,1.00%
AEP,2.02,21.55,17.93,3.81,1.59,3.86,3.55%,9.60%,5.30%,1.60%,0.01%
AEPPL,,,,,,,,,,,
AEPPZ,,,,,,,,,,,
AERI,10.31,-,-,-,3.41,-4.19,-,-173.00%,-52.70%,20.60%,0.50%
AESE,1.07,-,-,-,0.17,-1.26,-,-74.10%,-26.80%,5.90%,18.10%
AEY,2.35,-,-,-,0.54,-1.65,-,-95.90%,-75.50%,45.00%,27.10%
AEYE,29.02,-,-,-,0.17,-0.63,-,-236.80%,-434.30%,56.30%,6.40%
AEZS,1.58,-,-,-,0.01,-0.18,-,-125.80%,628.40%,-3.10%,0.60%
AFIB,3.04,-,-,-,0.30,-,-,-,42.60%,-226.20%,2.30%
AFIN,0.51,-,-,-,0.00,-0.40,11.44%,-2.60%,1.60%,-136.90%,0.10%
AFINO,,,,,,,,,,,
AFINP,,,,,,,,,,,
AFMD,8.69,-,-,-,0.05,-0.63,-,-100.40%,-77.40%,60.20%,6.55%
AFYA,4.53,47.74,22.83,4.61,0.24,0.53,-,11.60%,7.90%,-51.70%,19.14%
AGBA,,,,,,,,,,,
AGBAR,,,,,,,,,,,
AGBAU,,,,,,,,,,,
AGBAW,,,,,,,,,,,
AGC,,,,,,,,,,,
AGCUU,-,-,-,-,-,-,-,-,-,-,-
AGCWW,,,,,,,,,,,
AGEN,-,-,-,-,-,-1.09,-,82.80%,-,15.30%,0.30%
AGFS,0.43,-,-,-,0.98,-1.48,-,-25.00%,-3.10%,-888.10%,2.00%
AGIO,6.23,-,-,-,0.00,-4.93,-,-57.60%,-,20.70%,11.33%
AGLE,3.59,-,-,-,0.00,-1.91,-,-81.40%,-,55.80%,2.53%
AGMH,29.38,-,-,-,0.00,-0.08,-,-,-11.30%,-51.50%,54.51%
AGNC,0.93,-,6.61,-,5.93,-0.52,9.23%,-2.90%,-,-,0.34%
AGNCM,,,,,,,,,,,
AGNCN,,,,,,,,,,,
AGNCO,,,,,,,,,,,
AGNCP,,,,,,,,,,,
AGRX,3.78,-,-,-,0.24,-0.50,-,-56.80%,-,-115.00%,0.70%
AGTC,1.88,-,-,-,0.17,-2.14,-,-73.10%,-58.30%,6.30%,0.30%
AGYS,11.53,-,50.83,-,0.00,-1.12,-,-32.60%,-47.70%,277.30%,2.50%
AGZD,-,-,-,-,-,-,2.40%,-,-,-,-
AHAC,,,,,,,,,,,
AHACU,-,-,-,-,-,-,-,-,-,-,2.95%
AHACW,,,,,,,,,,,
AHCO,4.80,-,26.30,-,1.67,-0.11,-,-,6.60%,-601.90%,1.60%
AHPI,2.24,-,-,-,0.40,-0.64,-,-27.80%,-26.20%,75.00%,2.30%
AIA,-,-,-,-,-,-,1.57%,-,-,-,-
AIH,1.80,-,2.01,-,1.34,-1.40,-,-44.50%,-3.60%,-114.60%,-
AIHS,8.23,-,-,-,1.90,-0.29,-,-358.10%,-58.60%,-190.30%,32.82%
AIKI,1.05,-,-,-,0.00,-0.75,-,-50.70%,-,95.80%,5.62%
AIMC,1.89,-,17.31,-,0.79,-0.30,0.43%,-1.00%,5.80%,48.30%,0.50%
AINV,0.69,-,7.20,-,1.59,-1.66,11.67%,-10.40%,5.00%,386.80%,0.20%
AIQ,-,-,-,-,-,-,0.44%,-,-,-,-
AIRG,3.59,-,70.84,-,0.00,-0.22,-,-4.50%,0.50%,-93.40%,0.60%
AIRR,-,-,-,-,-,-,0.21%,-,-,-,-
AIRT,3.65,-,-,-,4.60,-1.17,-,-16.10%,9.20%,-27.40%,45.22%
AIRTP,,,,,,,,,,,
AIRTW,,,,,,,,,,,
