State,Month,Unemployment_Rate,Date
Alabama,Jan,2.7,Jan-2020
Alaska,Jan,6.0,Jan-2020
Arizona,Jan,4.5,Jan-2020
Arkansas,Jan,3.5,Jan-2020
California,Jan,3.9,Jan-2020
Colorado,Jan,2.5,Jan-2020
Connecticut,Jan,3.7,Jan-2020
Delaware,Jan,4.0,Jan-2020
D.C.,Jan,5.2,Jan-2020
Florida,Jan,2.8,Jan-2020
Georgia,Jan,3.1,Jan-2020
Hawaii,Jan,2.7,Jan-2020
Idaho,Jan,2.8,Jan-2020
Illinois,Jan,3.5,Jan-2020
Indiana,Jan,3.1,Jan-2020
Iowa,Jan,2.8,Jan-2020
Kansas,Jan,3.1,Jan-2020
Kentucky,Jan,4.3,Jan-2020
Louisiana,Jan,5.1,Jan-2020
Maine,Jan,3.1,Jan-2020
Maryland,Jan,3.3,Jan-2020
Massachusetts,Jan,2.8,Jan-2020
Michigan,Jan,3.8,Jan-2020
Minnesota,Jan,3.2,Jan-2020
Mississippi,Jan,5.5,Jan-2020
Missouri,Jan,3.5,Jan-2020
Montana,Jan,3.5,Jan-2020
Nebraska,Jan,3.9,Jan-2020
Nevada,Jan,3.6,Jan-2020
New Hampshire,Jan,2.6,Jan-2020
New Jersey,Jan,3.8,Jan-2020
New Mexico,Jan,4.8,Jan-2020
New York,Jan,3.8,Jan-2020
North Carolina,Jan,3.6,Jan-2020
North Dakota,Jan,2.3,Jan-2020
Ohio,Jan,4.1,Jan-2020
Oklahoma,Jan,3.3,Jan-2020
Oregon,Jan,3.3,Jan-2020
Pennsylvania,Jan,4.7,Jan-2020
Rhode Island,Jan,3.1,Jan-2020
South Carolina,Jan,2.4,Jan-2020
South Dakota,Jan,3.4,Jan-2020
Tennessee,Jan,3.3,Jan-2020
Texas,Jan,4.5,Jan-2020
Utah,Jan,2.5,Jan-2020
Vermont,Jan,2.4,Jan-2020
Virginia,Jan,2.7,Jan-2020
Washington,Jan,3.9,Jan-2020
West Virginia,Jan,5.0,Jan-2020
Wisconsin,Jan,3.5,Jan-2020
Wyoming,Jan,3.7,Jan-2020
Puerto Rico,Jan,8.9,Jan-2020
Alabama,Feb,2.7,Feb-2020
Alaska,Feb,5.8,Feb-2020
Arizona,Feb,4.5,Feb-2020
Arkansas,Feb,3.9,Feb-2020
California,Feb,2.5,Feb-2020
Colorado,Feb,2.8,Feb-2020
Connecticut,Feb,3.9,Feb-2020
Delaware,Feb,5.2,Feb-2020
D.C.,Feb,2.8,Feb-2020
Florida,Feb,3.1,Feb-2020
Georgia,Feb,2.7,Feb-2020
Hawaii,Feb,2.7,Feb-2020
Idaho,Feb,3.4,Feb-2020
Illinois,Feb,3.1,Feb-2020
Indiana,Feb,2.8,Feb-2020
Iowa,Feb,3.1,Feb-2020
Kansas,Feb,4.2,Feb-2020
Kentucky,Feb,5.2,Feb-2020
Louisiana,Feb,3.2,Feb-2020
Maine,Feb,3.3,Feb-2020
Maryland,Feb,2.8,Feb-2020
Massachusetts,Feb,3.6,Feb-2020
Michigan,Feb,3.1,Feb-2020
Minnesota,Feb,5.4,Feb-2020
Mississippi,Feb,3.5,Feb-2020
Missouri,Feb,3.5,Feb-2020
Montana,Feb,2.9,Feb-2020
Nebraska,Feb,3.6,Feb-2020
Nevada,Feb,3.6,Feb-2020
New Hampshire,Feb,3.8,Feb-2020
New Jersey,Feb,4.8,Feb-2020
New Mexico,Feb,3.7,Feb-2020
New York,Feb,3.6,Feb-2020
North Carolina,Feb,2.2,Feb-2020
North Dakota,Feb,4.2,Feb-2020
Ohio,Feb,3.2,Feb-2020
Oklahoma,Feb,3.3,Feb-2020
Oregon,Feb,4.7,Feb-2020
Pennsylvania,Feb,3.4,Feb-2020
Rhode Island,Feb,2.5,Feb-2020
South Carolina,Feb,3.3,Feb-2020
South Dakota,Feb,3.4,Feb-2020
Tennessee,Feb,3.5,Feb-2020
Texas,Feb,2.5,Feb-2020
Utah,Feb,3.4,Feb-2020
Vermont,Feb,2.6,Feb-2020
Virginia,Feb,3.8,Feb-2020
Washington,Feb,4.9,Feb-2020
West Virginia,Feb,3.7,Feb-2020
Wisconsin,Feb,2.7,Feb-2020
Wyoming,Feb,5.8,Feb-2020
Puerto Rico,Feb,4.5,Feb-2020
Alabama,Mar,3.5,Mar-2020
Alaska,Mar,5.6,Mar-2020
Arizona,Mar,5.5,Mar-2020
Arkansas,Mar,4.8,Mar-2020
California,Mar,5.3,Mar-2020
Colorado,Mar,4.5,Mar-2020
Connecticut,Mar,3.7,Mar-2020
Delaware,Mar,5.1,Mar-2020
D.C.,Mar,6.0,Mar-2020
Florida,Mar,4.3,Mar-2020
Georgia,Mar,4.2,Mar-2020
Hawaii,Mar,2.6,Mar-2020
Idaho,Mar,2.6,Mar-2020
Illinois,Mar,4.6,Mar-2020
Indiana,Mar,3.2,Mar-2020
Iowa,Mar,3.7,Mar-2020
Kansas,Mar,3.1,Mar-2020
Kentucky,Mar,5.8,Mar-2020
Louisiana,Mar,6.1,Mar-2020
Maine,Mar,3.2,Mar-2020
Maryland,Mar,3.3,Mar-2020
Massachusetts,Mar,2.9,Mar-2020
Michigan,Mar,4.1,Mar-2020
Minnesota,Mar,3.1,Mar-2020
Mississippi,Mar,5.3,Mar-2020
Missouri,Mar,4.5,Mar-2020
Montana,Mar,3.5,Mar-2020
Nebraska,Mar,4.2,Mar-2020
Nevada,Mar,6.3,Mar-2020
New Hampshire,Mar,2.6,Mar-2020
New Jersey,Mar,3.8,Mar-2020
New Mexico,Mar,5.9,Mar-2020
New York,Mar,4.5,Mar-2020
North Carolina,Mar,4.4,Mar-2020
North Dakota,Mar,2.2,Mar-2020
Ohio,Mar,5.5,Mar-2020
Oklahoma,Mar,3.1,Mar-2020
Oregon,Mar,3.3,Mar-2020
Pennsylvania,Mar,6.0,Mar-2020
Rhode Island,Mar,4.6,Mar-2020
South Carolina,Mar,2.6,Mar-2020
South Dakota,Mar,3.3,Mar-2020
Tennessee,Mar,3.5,Mar-2020
Texas,Mar,4.7,Mar-2020
Utah,Mar,3.6,Mar-2020
Vermont,Mar,3.2,Mar-2020
Virginia,Mar,3.3,Mar-2020
Washington,Mar,5.1,Mar-2020
West Virginia,Mar,6.1,Mar-2020
Wisconsin,Mar,3.4,Mar-2020
Wyoming,Mar,3.7,Mar-2020
Puerto Rico,Mar,,Mar-2020
