Category: All categories

Region,Zoom Video Communications: (8/13/19 - 8/13/20)
Vermont,100
Massachusetts,93
Delaware,88
California,87
New Hampshire,85
District of Columbia,84
Maryland,83
Rhode Island,81
Maine,81
New Jersey,78
Connecticut,74
Washington,73
Alaska,73
Oregon,68
Hawaii,68
Colorado,68
New York,67
Kansas,66
Pennsylvania,63
Nebraska,62
Virginia,62
Minnesota,62
Utah,61
South Dakota,61
Illinois,61
Wyoming,59
Idaho,58
Michigan,58
Iowa,57
Texas,56
North Carolina,56
Arizona,55
New Mexico,54
Montana,54
Wisconsin,54
Florida,53
North Dakota,53
Missouri,51
Indiana,50
Ohio,48
Arkansas,48
Oklahoma,46
Georgia,46
Tennessee,44
Nevada,43
South Carolina,43
Kentucky,43
Louisiana,42
Alabama,38
Mississippi,36
West Virginia,34
