Local time,Open,High,Low,Close,Volume
01.01.2015 19:00:00.000 GMT-0300,1.55783,1.55871,1.53252,1.53252,214767.07819999996
02.01.2015 19:00:00.000 GMT-0300,1.53252,1.53252,1.53252,1.53252,0
03.01.2015 19:00:00.000 GMT-0300,1.53252,1.53252,1.53252,1.53252,0
04.01.2015 19:00:00.000 GMT-0300,1.53002,1.53193,1.51535,1.52472,210874.6717
05.01.2015 19:00:00.000 GMT-0300,1.52474,1.52739,1.51408,1.51502,215543.1504
06.01.2015 19:00:00.000 GMT-0300,1.51504,1.51550,1.50550,1.51098,236548.29010000004
07.01.2015 19:00:00.000 GMT-0300,1.51098,1.51176,1.50342,1.50887,189452.2598
08.01.2015 19:00:00.000 GMT-0300,1.50887,1.51755,1.50771,1.51554,205007.82179999998
09.01.2015 19:00:00.000 GMT-0300,1.51554,1.51554,1.51554,1.51554,0
10.01.2015 19:00:00.000 GMT-0300,1.51554,1.51554,1.51554,1.51554,0
11.01.2015 19:00:00.000 GMT-0300,1.51766,1.51933,1.50985,1.51712,208299.8984
12.01.2015 19:00:00.000 GMT-0300,1.51712,1.51916,1.50773,1.51580,207332.19989999998
13.01.2015 19:00:00.000 GMT-0300,1.51581,1.52689,1.51449,1.52304,256371.5995
14.01.2015 19:00:00.000 GMT-0300,1.52316,1.52666,1.51499,1.51793,297616.6982
15.01.2015 19:00:00.000 GMT-0300,1.51793,1.52344,1.50752,1.51370,200198.13940000004
16.01.2015 19:00:00.000 GMT-0300,1.51370,1.51370,1.51370,1.51370,0
17.01.2015 19:00:00.000 GMT-0300,1.51370,1.51370,1.51370,1.51370,0
18.01.2015 19:00:00.000 GMT-0300,1.51270,1.51790,1.51079,1.51110,134370.03040000002
19.01.2015 19:00:00.000 GMT-0300,1.51105,1.51995,1.50572,1.51426,185952.5932
20.01.2015 19:00:00.000 GMT-0300,1.51421,1.51790,1.50761,1.51413,259502.8897
21.01.2015 19:00:00.000 GMT-0300,1.51416,1.52122,1.49720,1.50084,288890.0517999999
22.01.2015 19:00:00.000 GMT-0300,1.50084,1.50356,1.49511,1.49855,301982.83890000003
23.01.2015 19:00:00.000 GMT-0300,1.49855,1.49855,1.49855,1.49855,0
24.01.2015 19:00:00.000 GMT-0300,1.49855,1.49855,1.49855,1.49855,0
25.01.2015 19:00:00.000 GMT-0300,1.50076,1.51030,1.49865,1.50784,219927.27889999998
26.01.2015 19:00:00.000 GMT-0300,1.50784,1.52235,1.50593,1.51961,254842.9885
27.01.2015 19:00:00.000 GMT-0300,1.51961,1.52185,1.51306,1.51357,226827.9718
28.01.2015 19:00:00.000 GMT-0300,1.51357,1.51622,1.50181,1.50642,240948.7598
29.01.2015 19:00:00.000 GMT-0300,1.50642,1.50959,1.49887,1.50594,225106.698
30.01.2015 19:00:00.000 GMT-0300,1.50594,1.50594,1.50594,1.50594,0
31.01.2015 19:00:00.000 GMT-0300,1.50594,1.50594,1.50594,1.50594,0
01.02.2015 19:00:00.000 GMT-0300,1.50898,1.50969,1.50054,1.50383,218832.14909999998
02.02.2015 19:00:00.000 GMT-0300,1.50381,1.51975,1.49883,1.51649,242303.9403
03.02.2015 19:00:00.000 GMT-0300,1.51649,1.52506,1.51390,1.51791,233831.7309
04.02.2015 19:00:00.000 GMT-0300,1.51796,1.53431,1.51649,1.53273,232999.24940000003
05.02.2015 19:00:00.000 GMT-0300,1.53273,1.53521,1.52113,1.52363,227825.9985
06.02.2015 19:00:00.000 GMT-0300,1.52363,1.52363,1.52363,1.52363,0
