Member_number,Date,itemDescription
1808,21/7/2015,tropical fruit
2552,5/1/2015,whole milk
2300,19/9/2015,pip fruit
1187,12/12/2015,other vegetables
3037,1/2/2015,whole milk
4941,14/2/2015,rolls/buns
4501,8/5/2015,other vegetables
3803,23/12/2015,pot plants
2762,20/3/2015,whole milk
4119,12/2/2015,tropical fruit
1340,24/2/2015,citrus fruit
2193,14/4/2015,beef
1997,21/7/2015,frankfurter
4546,3/9/2015,chicken
4736,21/7/2015,butter
1959,30/3/2015,fruit/vegetable juice
1974,3/5/2015,packaged fruit/vegetables
2421,2/9/2015,chocolate
1513,3/8/2015,specialty bar
1905,7/7/2015,other vegetables
2810,8/9/2015,butter milk
2867,12/11/2015,whole milk
3962,18/9/2015,tropical fruit
1088,30/11/2015,tropical fruit
4976,17/7/2015,bottled water
4056,12/6/2015,yogurt
3611,13/2/2015,sausage
1420,14/1/2015,other vegetables
4286,8/3/2015,brown bread
4918,27/1/2015,yogurt
4783,22/10/2015,hamburger meat
3709,26/10/2015,root vegetables
4289,8/10/2015,pork
1559,3/10/2015,beef
2900,11/4/2015,pastry
1905,21/2/2015,fruit/vegetable juice
3527,29/9/2015,canned beer
1495,9/1/2015,root vegetables
3558,3/4/2015,citrus fruit
3128,20/4/2015,sausage
1863,4/8/2015,tropical fruit
3841,19/7/2015,berries
3903,6/10/2015,canned beer
2658,16/10/2015,butter milk
4272,6/6/2015,coffee
1120,26/9/2015,pastry
2676,15/8/2015,rolls/buns
1697,21/5/2015,misc. beverages
2507,25/8/2015,root vegetables
4620,11/3/2015,sausage
3365,1/2/2015,canned beer
2978,5/6/2015,ham
2910,28/7/2015,turkey
1061,5/9/2015,whole milk
3276,3/4/2015,whole milk
1326,19/6/2015,packaged fruit/vegetables
3023,28/7/2015,rolls/buns
2185,11/10/2015,ham
3552,16/6/2015,rolls/buns
1967,20/1/2015,other vegetables
4708,20/3/2015,sausage
2874,15/2/2015,sausage
4177,13/4/2015,frankfurter
1663,7/2/2015,rolls/buns
2632,2/3/2015,whole milk
1377,14/3/2015,curd cheese
4162,22/12/2015,red/blush wine
2270,1/7/2015,sausage
4829,3/11/2015,tropical fruit
3811,14/4/2015,red/blush wine
4766,29/9/2015,whole milk
2436,12/4/2015,frankfurter
3860,5/5/2015,whole milk
4875,12/5/2015,frozen potato products
1587,1/7/2015,other vegetables
4038,8/7/2015,citrus fruit
4750,21/9/2015,flour
1199,10/12/2015,sugar
1603,30/9/2015,frozen meals
3111,31/1/2015,chocolate
3894,13/12/2015,root vegetables
1456,18/9/2015,root vegetables
2022,4/3/2015,herbs
2505,30/11/2015,bottled water
4851,20/12/2015,sausage
4293,4/8/2015,coffee
2775,6/11/2015,pork
3693,18/2/2015,berries
1202,22/7/2015,soda
3699,23/8/2015,berries
4152,15/4/2015,fruit/vegetable juice
4155,26/1/2015,citrus fruit
4010,29/12/2015,pork
4389,20/10/2015,detergent
3746,17/8/2015,grapes
2560,17/5/2015,sausage
1503,25/7/2015,chicken
2555,23/12/2015,whole milk
3645,12/12/2015,citrus fruit
3886,11/9/2015,soda
2932,20/3/2015,sausage
1711,18/6/2015,frankfurter
4291,8/12/2015,sausage
1143,25/4/2015,soda
4564,8/7/2015,rolls/buns
3337,14/5/2015,beef
4931,4/5/2015,whole milk
2623,10/10/2015,processed cheese
4581,3/4/2015,tropical fruit
2635,11/6/2015,frankfurter
1095,30/10/2015,packaged fruit/vegetables
2990,23/5/2015,whole milk
2426,5/6/2015,berries
4555,7/11/2015,citrus fruit
3635,4/9/2015,tropical fruit
3058,18/5/2015,hamburger meat
4391,26/3/2015,hamburger meat
1306,23/6/2015,whole milk
1024,10/8/2015,fish
1295,23/7/2015,frankfurter
1661,1/6/2015,packaged fruit/vegetables
4591,15/5/2015,pastry
3169,14/6/2015,other vegetables
3915,21/5/2015,misc. beverages
1127,14/1/2015,frankfurter
4828,8/8/2015,sparkling wine
3683,10/6/2015,specialty bar
1971,18/9/2015,sausage
3014,11/11/2015,curd cheese
3779,15/9/2015,frankfurter
2489,4/5/2015,whole milk
3564,27/6/2015,newspapers
4092,30/9/2015,berries
3221,13/1/2015,curd
1279,6/9/2015,tropical fruit
2581,22/8/2015,soda
2295,25/2/2015,rolls/buns
4760,22/2/2015,canned beer
3649,16/1/2015,canned beer
1075,19/11/2015,frankfurter
3987,19/8/2015,other vegetables
4106,25/8/2015,whole milk
4338,24/6/2015,whole milk
4166,6/11/2015,citrus fruit
1211,10/3/2015,frankfurter
3954,21/1/2015,frankfurter
3928,18/7/2015,butter milk
3827,30/9/2015,hamburger meat
4699,8/2/2015,pasta
4747,8/6/2015,other vegetables
3028,9/6/2015,sausage
2851,16/3/2015,rolls/buns
4417,25/2/2015,grapes
3822,7/3/2015,root vegetables
2288,31/5/2015,coffee
2184,30/6/2015,popcorn
4554,27/8/2015,whole milk
3361,5/3/2015,tropical fruit
2999,17/4/2015,beef
2614,25/6/2015,whole milk
4064,5/6/2015,frankfurter
3567,4/10/2015,tropical fruit
2587,7/5/2015,canned beer
3783,17/6/2015,finished products
1923,14/2/2015,beverages
4835,19/2/2015,hamburger meat
1514,24/8/2015,whole milk
3154,22/6/2015,finished products
1313,25/12/2015,other vegetables
2794,18/7/2015,ham
2359,9/4/2015,other vegetables
2238,9/3/2015,curd
3795,17/1/2015,bottled beer
3724,26/11/2015,curd
1152,5/3/2015,whole milk
4559,16/3/2015,whole milk
3922,27/2/2015,dessert
1709,22/4/2015,sausage
2219,17/4/2015,other vegetables
2206,17/10/2015,ham
1752,6/4/2015,other vegetables
3942,10/11/2015,other vegetables
3296,17/8/2015,soda
2257,5/2/2015,herbs
4313,28/7/2015,frankfurter
2001,21/8/2015,rolls/buns
2449,8/7/2015,curd
4914,12/4/2015,frankfurter
2764,24/7/2015,other vegetables
4187,9/5/2015,dog food
1392,20/4/2015,specialty bar
3427,28/4/2015,curd
1411,20/2/2015,frankfurter
3390,14/11/2015,soda
4787,1/8/2015,beef
3310,17/1/2015,canned beer
1782,10/10/2015,pork
3375,26/4/2015,frankfurter
2760,7/1/2015,sausage
4249,13/9/2015,canned beer
2904,6/6/2015,specialty chocolate
4090,26/2/2015,curd
3060,5/7/2015,canned beer
3768,7/10/2015,whole milk
1232,21/1/2015,rolls/buns
1360,23/10/2015,pork
1107,1/10/2015,citrus fruit
2865,4/11/2015,pot plants
2958,14/6/2015,rolls/buns
2448,12/7/2015,butter
1222,24/9/2015,condensed milk
2943,20/6/2015,sausage
2270,11/8/2015,whole milk
3812,21/7/2015,sausage
1482,22/11/2015,beverages
4720,22/2/2015,beverages
1344,4/9/2015,bottled water
2397,4/10/2015,newspapers
4182,12/5/2015,cleaner
4487,10/7/2015,sausage
3467,24/12/2015,newspapers
2443,15/11/2015,sausage
2749,27/1/2015,misc. beverages
4389,13/4/2015,white wine
1674,4/12/2015,sausage
4262,16/10/2015,meat
2082,7/4/2015,frankfurter
4494,6/1/2015,ice cream
2460,28/9/2015,canned beer
4509,29/11/2015,tropical fruit
2267,3/7/2015,meat
4891,5/9/2015,whole milk
3962,20/9/2015,sausage
4964,18/7/2015,frankfurter
2914,30/11/2015,meat
2808,5/5/2015,root vegetables
1085,15/8/2015,root vegetables
3808,18/8/2015,whole milk
4149,7/1/2015,citrus fruit
2331,5/6/2015,citrus fruit
4475,3/4/2015,other vegetables
2761,25/4/2015,citrus fruit
2620,14/12/2015,sausage
3206,13/10/2015,frankfurter
1226,13/4/2015,hard cheese
1395,7/3/2015,cream cheese 
2465,7/6/2015,turkey
3572,9/7/2015,pork
4387,8/5/2015,whole milk
1555,27/3/2015,rolls/buns
1181,16/11/2015,sausage
2814,11/5/2015,ice cream
2794,16/9/2015,liquor
2912,28/1/2015,pip fruit
4667,12/1/2015,root vegetables
2235,25/10/2015,soda
2353,2/5/2015,soda
3449,8/3/2015,sausage
1058,10/11/2015,root vegetables
1027,17/5/2015,pork
3302,22/5/2015,pork
2229,30/5/2015,chocolate
2188,15/8/2015,fruit/vegetable juice
1547,18/4/2015,pickled vegetables
1649,30/6/2015,bottled water
3254,10/9/2015,frankfurter
2818,7/11/2015,tropical fruit
2703,8/5/2015,canned beer
3332,31/1/2015,root vegetables
2473,1/7/2015,meat
2810,30/12/2015,frankfurter
1033,22/4/2015,tropical fruit
4222,27/5/2015,tropical fruit
3679,21/9/2015,citrus fruit
2212,27/8/2015,hamburger meat
1507,22/6/2015,chicken
2870,21/1/2015,chicken
3429,26/4/2015,frankfurter
4148,9/4/2015,canned beer
2970,30/12/2015,turkey
2013,30/8/2015,packaged fruit/vegetables
3967,30/5/2015,pasta
2885,15/5/2015,citrus fruit
3935,2/7/2015,sausage
3283,1/5/2015,whole milk
3268,6/11/2015,canned beer
3677,30/4/2015,citrus fruit
3495,27/6/2015,liquor (appetizer)
1410,4/10/2015,citrus fruit
2440,6/6/2015,sausage
4088,13/1/2015,chicken
2469,23/9/2015,hamburger meat
4229,6/3/2015,sausage
2728,2/8/2015,beef
4694,25/1/2015,citrus fruit
2836,29/12/2015,UHT-milk
1311,12/2/2015,candy
1760,23/1/2015,newspapers
3656,2/3/2015,beef
3720,28/5/2015,sausage
2996,26/9/2015,frankfurter
1949,22/7/2015,canned beer
4498,11/2/2015,bottled beer
2447,28/12/2015,onions
1952,23/3/2015,tropical fruit
4099,27/1/2015,bottled water
1804,12/3/2015,beef
1510,16/5/2015,sausage
2879,18/4/2015,hair spray
4899,12/3/2015,chicken
4326,29/9/2015,pork
1670,17/5/2015,ice cream
1117,24/5/2015,meat
1346,3/4/2015,other vegetables
1178,15/11/2015,bottled water
1649,25/6/2015,tropical fruit
4651,21/6/2015,photo/film
4243,2/4/2015,sausage
4429,21/7/2015,grapes
4645,25/7/2015,domestic eggs
4019,24/7/2015,rolls/buns
4459,26/4/2015,tropical fruit
3006,27/12/2015,chicken
1834,17/9/2015,frankfurter
3236,4/7/2015,berries
1765,11/3/2015,margarine
3855,9/3/2015,tropical fruit
4392,28/11/2015,ham
3330,26/7/2015,hamburger meat
1723,2/9/2015,yogurt
4110,30/3/2015,soda
2600,28/1/2015,yogurt
2946,7/10/2015,soda
2426,8/9/2015,bottled water
4170,3/5/2015,sausage
1109,6/4/2015,citrus fruit
3429,4/1/2015,shopping bags
2055,4/2/2015,newspapers
2480,20/9/2015,frankfurter
2441,30/5/2015,sausage
1054,4/10/2015,frankfurter
4818,11/1/2015,salt
3379,21/1/2015,oil
3939,10/2/2015,curd
1367,5/8/2015,other vegetables
1043,10/1/2015,citrus fruit
2231,17/10/2015,frankfurter
3235,28/12/2015,root vegetables
4554,16/7/2015,tropical fruit
3245,24/1/2015,beef
2996,19/5/2015,berries
2507,5/1/2015,canned beer
4186,25/10/2015,whipped/sour cream
3929,28/4/2015,root vegetables
3760,22/11/2015,whole milk
4928,18/8/2015,beef
4217,18/12/2015,frozen vegetables
1174,11/2/2015,rolls/buns
4103,19/6/2015,whole milk
4408,13/3/2015,whole milk
2588,28/12/2015,citrus fruit
2598,11/11/2015,pastry
1518,11/12/2015,frankfurter
2702,8/4/2015,tropical fruit
1001,20/1/2015,frankfurter
2270,30/9/2015,berries
2838,10/11/2015,rolls/buns
1683,26/5/2015,root vegetables
4040,3/4/2015,yogurt
3897,23/8/2015,other vegetables
2200,11/3/2015,berries
4073,29/1/2015,berries
3700,19/4/2015,other vegetables
3973,10/6/2015,rolls/buns
2715,6/7/2015,ham
3967,23/11/2015,whole milk
4002,3/9/2015,tropical fruit
2962,1/3/2015,bottled water
4340,25/12/2015,butter milk
2092,6/11/2015,newspapers
3143,24/5/2015,coffee
2209,3/10/2015,bottled beer
2816,22/8/2015,onions
2659,1/6/2015,hamburger meat
1588,13/10/2015,sausage
1144,15/10/2015,hard cheese
2166,10/12/2015,sausage
3300,6/10/2015,hamburger meat
3944,3/1/2015,onions
4979,24/4/2015,coffee
2630,21/1/2015,shopping bags
4240,29/4/2015,yogurt
2357,8/7/2015,soda
1743,18/4/2015,sliced cheese
2331,15/2/2015,sausage
1643,28/4/2015,yogurt
1291,20/3/2015,domestic eggs
3675,4/7/2015,whole milk
4134,6/11/2015,meat
1363,21/6/2015,dish cleaner
4212,1/5/2015,other vegetables
1500,21/3/2015,whole milk
2622,1/10/2015,other vegetables
3543,18/3/2015,tropical fruit
2525,24/5/2015,baking powder
1264,12/10/2015,specialty bar
3601,6/7/2015,ice cream
1771,23/3/2015,frankfurter
4694,6/2/2015,canned beer
1122,21/12/2015,bottled water
3507,12/8/2015,other vegetables
4524,26/4/2015,citrus fruit
3612,27/9/2015,sausage
3262,11/6/2015,domestic eggs
1897,25/1/2015,pork
1656,30/10/2015,specialty cheese
3953,10/1/2015,pork
1488,21/6/2015,beef
1652,17/3/2015,other vegetables
4953,16/9/2015,chicken
3445,30/4/2015,soda
3180,15/3/2015,whole milk
4934,6/9/2015,rolls/buns
2980,27/4/2015,bottled beer
2763,13/2/2015,root vegetables
4819,4/3/2015,pastry
3169,2/7/2015,berries
1850,11/3/2015,citrus fruit
4285,29/12/2015,whole milk
4366,13/8/2015,soda
2253,16/6/2015,bottled water
3398,11/3/2015,tropical fruit
2215,22/7/2015,salty snack
3737,3/3/2015,bottled water
2649,28/11/2015,chocolate
3203,7/8/2015,citrus fruit
4261,16/2/2015,bottled water
2435,17/7/2015,onions
2046,21/8/2015,dessert
4267,11/2/2015,beef
1086,28/12/2015,rolls/buns
1992,4/1/2015,beef
3622,26/7/2015,soda
4700,27/6/2015,coffee
2272,16/5/2015,rolls/buns
1663,19/5/2015,pork
2519,3/6/2015,soda
2639,30/10/2015,sausage
1466,19/4/2015,beef
4122,23/10/2015,whole milk
3598,15/4/2015,pork
3097,10/8/2015,berries
1873,19/9/2015,sausage
1537,1/2/2015,bottled water
3960,25/3/2015,tropical fruit
1136,15/6/2015,herbs
