year,institution_type,sector,facility_type_b,no_of_facilities
2009,Primary Care Facilities,Public,Polyclinics,18
2009,Primary Care Facilities,Private,General Practioner Clinics,1628
2009,Dental Clinics,Public,Polyclinic Dental Clinics,9
2009,Dental Clinics,Public,Hospital/Institution Dental Clinic,5
2009,Dental Clinics,Public,School Dental Clinics,226
2009,Dental Clinics,Private,Private Dental Clinics,582
2009,Pharmacies,Public,Public Pharmacies,58
2009,Pharmacies,Private,Private Pharmacies,153
2010,Primary Care Facilities,Public,Polyclinics,18
2010,Primary Care Facilities,Private,General Practioner Clinics,1651
2010,Dental Clinics,Public,Polyclinic Dental Clinics,9
2010,Dental Clinics,Public,Hospital/Institution Dental Clinic,6
2010,Dental Clinics,Public,School Dental Clinics,225
2010,Dental Clinics,Private,Private Dental Clinics,610
2010,Pharmacies,Public,Public Pharmacies,58
2010,Pharmacies,Private,Private Pharmacies,168
2011,Primary Care Facilities,Public,Polyclinics,18
2011,Primary Care Facilities,Private,General Practioner Clinics,1685
2011,Dental Clinics,Public,Polyclinic Dental Clinics,9
2011,Dental Clinics,Public,Hospital/Institution Dental Clinic,6
2011,Dental Clinics,Public,School Dental Clinics,226
2011,Dental Clinics,Private,Private Dental Clinics,631
2011,Pharmacies,Public,Public Pharmacies,56
2011,Pharmacies,Private,Private Pharmacies,193
2012,Primary Care Facilities,Public,Polyclinics,18
2012,Primary Care Facilities,Private,General Practioner Clinics,1743
2012,Dental Clinics,Public,Polyclinic Dental Clinics,9
2012,Dental Clinics,Public,Hospital/Institution Dental Clinic,6
2012,Dental Clinics,Public,School Dental Clinics,225
2012,Dental Clinics,Private,Private Dental Clinics,660
2012,Pharmacies,Public,Public Pharmacies,50
2012,Pharmacies,Private,Private Pharmacies,195
2013,Primary Care Facilities,Public,Polyclinics,18
2013,Primary Care Facilities,Private,General Practioner Clinics,1805
2013,Dental Clinics,Public,Polyclinic Dental Clinics,9
2013,Dental Clinics,Public,Hospital/Institution Dental Clinic,6
2013,Dental Clinics,Public,School Dental Clinics,221
2013,Dental Clinics,Private,Private Dental Clinics,694
2013,Pharmacies,Public,Public Pharmacies,51
2013,Pharmacies,Private,Private Pharmacies,196
2014,Primary Care Facilities,Public,Polyclinics,18
2014,Primary Care Facilities,Private,General Practioner Clinics,1868
2014,Dental Clinics,Public,Polyclinic Dental Clinics,9
2014,Dental Clinics,Public,Hospital/Institution Dental Clinic,6
2014,Dental Clinics,Public,School Dental Clinics,233
2014,Dental Clinics,Private,Private Dental Clinics,722
2014,Pharmacies,Public,Public Pharmacies,63
2014,Pharmacies,Private,Private Pharmacies,190
2015,Primary Care Facilities,Public,Polyclinics,18
2015,Primary Care Facilities,Private,General Practioner Clinics,1933
2015,Dental Clinics,Public,Polyclinic Dental Clinics,9
2015,Dental Clinics,Public,Hospital/Institution Dental Clinic,7
2015,Dental Clinics,Public,School Dental Clinics,232
2015,Dental Clinics,Private,Private Dental Clinics,792
2015,Pharmacies,Public,Public Pharmacies,62
2015,Pharmacies,Private,Private Pharmacies,170
2016,Primary Care Facilities,Public,Polyclinics,18
2016,Primary Care Facilities,Private,General Practioner Clinics,2025
2016,Dental Clinics,Public,Polyclinic Dental Clinics,9
2016,Dental Clinics,Public,Hospital/Institution Dental Clinic,8
2016,Dental Clinics,Public,School Dental Clinics,236
2016,Dental Clinics,Private,Private Dental Clinics,835
2016,Pharmacies,Public,Public Pharmacies,62
2016,Pharmacies,Private,Private Pharmacies,173
2017,Primary Care Facilities,Public,Polyclinics,20
2017,Primary Care Facilities,Private,General Practioner Clinics,2116
2017,Dental Clinics,Public,Polyclinic Dental Clinics,10
2017,Dental Clinics,Public,Hospital/Institution Dental Clinic,9
2017,Dental Clinics,Public,School Dental Clinics,233
2017,Dental Clinics,Private,Private Dental Clinics,863
2017,Pharmacies,Public,Public Pharmacies,62
2017,Pharmacies,Private,Private Pharmacies,181
2018,Primary Care Facilities,Public,Polyclinics,20
2018,Primary Care Facilities,Private,General Practioner Clinics,2222
2018,Dental Clinics,Public,Polyclinic Dental Clinics,10
2018,Dental Clinics,Public,Hospital/Institution Dental Clinic,8
2018,Dental Clinics,Public,School Dental Clinics,228
2018,Dental Clinics,Private,Private Dental Clinics,876
2018,Pharmacies,Public,Public Pharmacies,68
2018,Pharmacies,Private,Private Pharmacies,190
2019,Primary Care Facilities,Public,Polyclinics,20
2019,Primary Care Facilities,Private,General Practioner Clinics,2304
2019,Dental Clinics,Public,Polyclinic Dental Clinics,10
2019,Dental Clinics,Public,Hospital/Institution Dental Clinic,8
2019,Dental Clinics,Public,School Dental Clinics,288
2019,Dental Clinics,Private,Private Dental Clinics,851
2019,Pharmacies,Public,Public Pharmacies,67
2019,Pharmacies,Private,Private Pharmacies,189
