Category: All categories

Region,Robinhood: (8/30/19 - 8/30/20)
Hawaii,100
California,97
District of Columbia,96
New York,86
New Jersey,85
Massachusetts,83
Washington,83
Florida,81
Connecticut,78
Virginia,76
Maryland,76
Rhode Island,74
Nevada,73
Alaska,73
Georgia,72
Illinois,72
Utah,71
Michigan,69
Texas,69
Delaware,67
Arizona,66
Colorado,65
Vermont,65
North Carolina,64
Pennsylvania,63
Minnesota,61
North Dakota,60
Oregon,60
Louisiana,59
Wisconsin,58
South Carolina,58
Kansas,58
Alabama,57
Ohio,57
Nebraska,56
Indiana,56
New Hampshire,56
Missouri,56
Arkansas,55
Maine,54
Tennessee,54
Wyoming,54
South Dakota,54
Idaho,53
Kentucky,51
Iowa,51
Oklahoma,50
New Mexico,49
Mississippi,48
West Virginia,46
Montana,45
