Symbol,Security,Sector,SubIndustry,Address,State
A,"Agilent Technologies Inc","Health Care","Health Care Equipment & Services","Santa Clara",California
AA,"Alcoa Inc",Materials,Aluminum,"New York","New York"
AAL,"American Airlines Group",Industrials,Airlines,"Fort Worth",Texas
AAP,"Advance Auto Parts","Consumer Discretionary","Automotive Retail",Roanoke,Virginia
AAPL,"Apple Inc.","Information Technology","Computer Hardware",Cupertino,California
ABBV,AbbVie,"Health Care",Pharmaceuticals,"North Chicago",Illinois
ABC,"AmerisourceBergen Corp","Health Care","Health Care Distribution & Services",Chesterbrook,Pennsylvania
ABT,"Abbott Laboratories","Health Care","Health Care Equipment & Services","North Chicago",Illinois
ACE,"ACE Limited",Financials,"Property & Casualty Insurance",Zurich,Switzerland
ACN,"Accenture plc","Information Technology","IT Consulting & Other Services",Dublin,Ireland
ADBE,"Adobe Systems Inc","Information Technology","Application Software","San Jose",California
ADI,"Analog Devices, Inc.","Information Technology",Semiconductors,Norwood,Massachusetts
ADM,"Archer-Daniels-Midland Co","Consumer Staples","Agricultural Products",Decatur,Illinois
ADP,"Automatic Data Processing","Information Technology","Internet Software & Services",Roseland,"New Jersey"
ADS,"Alliance Data Systems","Information Technology","Data Processing & Outsourced Services",Plano,Texas
ADSK,"Autodesk Inc","Information Technology","Application Software","San Rafael",California
ADT,"ADT Corp",Industrials,"Diversified Commercial Services","Boca Raton",Florida
AEE,"Ameren Corp",Utilities,MultiUtilities,"St. Louis",Missouri
AEP,"American Electric Power",Utilities,"Electric Utilities",Columbus,Ohio
AES,"AES Corp",Utilities,"Independent Power Producers & Energy Traders",Arlington,Virginia
AET,"Aetna Inc","Health Care","Managed Health Care",Hartford,Connecticut
AFL,"AFLAC Inc",Financials,"Life & Health Insurance",Columbus,Georgia
AGN,"Allergan plc","Health Care",Pharmaceuticals,Dublin,Ireland
AIG,"American International Group, Inc.",Financials,"Property & Casualty Insurance","New York","New York"
AIV,"Apartment Investment & Mgmt",Financials,REITs,Denver,Colorado
AIZ,"Assurant Inc",Financials,"Multi-line Insurance","New York","New York"
AKAM,"Akamai Technologies Inc","Information Technology","Internet Software & Services",Cambridge,Massachusetts
ALL,"Allstate Corp",Financials,"Property & Casualty Insurance","Northfield Township",Illinois
ALLE,Allegion,Industrials,"Building Products",Dublin,Ireland
ALTR,"Altera Corp","Information Technology",Semiconductors,"San Jose",California
ALXN,"Alexion Pharmaceuticals","Health Care",Biotechnology,Cheshire,Connecticut
AMAT,"Applied Materials Inc","Information Technology","Semiconductor Equipment","Santa Clara",California
AME,Ametek,Industrials,"Electrical Components & Equipment",Berwyn,Pennsylvania
AMG,"Affiliated Managers Group Inc",Financials,"Asset Management & Custody Banks",Beverly,Massachusetts
AMGN,"Amgen Inc","Health Care",Biotechnology,"Thousand Oaks",California
AMP,"Ameriprise Financial",Financials,"Diversified Financial Services",Minneapolis,Minnesota
AMT,"American Tower Corp A",Financials,"Specialized REITs",Boston,Massachusetts
AMZN,"Amazon.com Inc","Consumer Discretionary","Internet Retail",Seattle,Washington
AN,"AutoNation Inc","Consumer Discretionary","Specialty Stores","Fort Lauderdale",Florida
ANTM,"Anthem Inc.","Health Care","Managed Health Care",Indianapolis,Indiana
AON,"Aon plc",Financials,"Insurance Brokers",London,"United Kingdom"
APA,"Apache Corporation",Energy,"Oil & Gas Exploration & Production",Houston,Texas
APC,"Anadarko Petroleum Corp",Energy,"Oil & Gas Exploration & Production","The Woodlands",Texas
APD,"Air Products & Chemicals Inc",Materials,"Industrial Gases",Allentown,Pennsylvania
APH,"Amphenol Corp A",Industrials,"Electrical Components & Equipment",Wallingford,Connecticut
ARG,"Airgas Inc",Materials,"Industrial Gases",Radnor,Pennsylvania
ATVI,"Activision Blizzard","Information Technology","Home Entertainment Software","Santa Monica",California
AVB,"AvalonBay Communities, Inc.",Financials,"Residential REITs",Arlington,Virginia
AVGO,"Avago Technologies","Information Technology",Semiconductors,"San Jose",California
AVY,"Avery Dennison Corp",Materials,"Paper Packaging",Glendale,California
AXP,"American Express Co",Financials,"Consumer Finance","New York","New York"
AZO,"AutoZone Inc","Consumer Discretionary","Specialty Stores",Memphis,Tennessee
BA,"Boeing Company",Industrials,"Aerospace & Defense",Chicago,Illinois
BAC,"Bank of America Corp",Financials,Banks,Charlotte,"North Carolina"
BAX,"Baxter International Inc.","Health Care","Health Care Equipment & Services",Deerfield,Illinois
BBBY,"Bed Bath & Beyond","Consumer Discretionary","Specialty Stores",Union,"New Jersey"
BBT,"BB&T Corporation",Financials,Banks,Winston-Salem,"North Carolina"
BBY,"Best Buy Co. Inc.","Consumer Discretionary","Computer & Electronics Retail",Richfield,Minnesota
BCR,"Bard (C.R.) Inc.","Health Care","Health Care Equipment & Services","Murray Hill","New Jersey"
BDX,"Becton Dickinson","Health Care","Health Care Equipment & Services","Franklin Lakes","New Jersey"
BEN,"Franklin Resources",Financials,"Asset Management & Custody Banks","San Mateo",California
BF-B,"Brown-Forman Corporation","Consumer Staples","Distillers & Vintners",Louisville,Kentucky
BHI,"Baker Hughes Inc",Energy,"Oil & Gas Equipment & Services",Houston,Texas
BIIB,"BIOGEN IDEC Inc.","Health Care",Biotechnology,Weston,Massachusetts
BK,"The Bank of New York Mellon Corp.",Financials,Banks,"New York","New York"
BLK,BlackRock,Financials,"Asset Management & Custody Banks","New York","New York"
BLL,"Ball Corp",Materials,"Metal & Glass Containers",Broomfield,Colorado
BMY,"Bristol-Myers Squibb","Health Care","Health Care Distributors & Services","New York","New York"
BRCM,"Broadcom Corporation","Information Technology",Semiconductors,Irvine,California
BRK-B,"Berkshire Hathaway",Financials,"Multi-Sector Holdings",Omaha,Nebraska
BSX,"Boston Scientific","Health Care","Health Care Equipment & Services",Marlborough,Massachusetts
BWA,BorgWarner,"Consumer Discretionary","Auto Parts & Equipment","Auburn Hills",Michigan
BXLT,Baxalta,"Health Care",Biotechnology,Deerfield,Illinois
BXP,"Boston Properties",Financials,REITs,Boston,Massachusetts
C,"Citigroup Inc.",Financials,Banks,"New York","New York"
CA,"CA, Inc.","Information Technology","Systems Software",Islandia,"New York"
CAG,"ConAgra Foods Inc.","Consumer Staples","Packaged Foods & Meats",Omaha,Nebraska
CAH,"Cardinal Health Inc.","Health Care","Health Care Distributors & Services",Dublin,Ohio
CAM,"Cameron International Corp.",Energy,"Oil & Gas Equipment & Services",Houston,Texas
CAT,"Caterpillar Inc.",Industrials,"Construction & Farm Machinery & Heavy Trucks",Peoria,Illinois
CB,"Chubb Corp.",Financials,"Property & Casualty Insurance",Warren,"New Jersey"
CBG,"CBRE Group",Financials,"Real Estate Services","Los Angeles",California
CBS,"CBS Corp.","Consumer Discretionary","Broadcasting & Cable TV","New York","New York"
CCE,"Coca-Cola Enterprises","Consumer Staples","Soft Drinks",Atlanta,Georgia
CCI,"Crown Castle International Corp.",Financials,REITs,Houston,Texas
CCL,"Carnival Corp.","Consumer Discretionary","Hotels, Resorts & Cruise Lines",Miami,Florida
CELG,"Celgene Corp.","Health Care",Biotechnology,Summit,"New Jersey"
CERN,Cerner,"Health Care","Health Care Distributors & Services","North Kansas City",Missouri
CF,"CF Industries Holdings Inc",Materials,"Fertilizers & Agricultural Chemicals",Deerfield,Illinois
CHK,"Chesapeake Energy",Energy,"Integrated Oil & Gas","Oklahoma City",Oklahoma
CHRW,"C. H. Robinson Worldwide",Industrials,"Air Freight & Logistics","Eden Prairie",Minnesota
CI,"CIGNA Corp.","Health Care","Managed Health Care",Philadelphia,Pennsylvania
