Year,Month,Price_wheat_ton,Price_rice_ton,Price_corn_ton,Inflation_rate,Price_wheat_ton_infl,Price_rice_ton_infl,Price_corn_ton_infl
1992,Feb,170.12,278.25,113.62,89.59,322.53,527.53,215.41
1992,Mar,161.44,277.2,117.0,89.59,306.07,525.54,221.82
1992,Apr,153.07,278.0,108.52,89.59,290.21,527.06,205.74
1992,May,139.72,274.0,109.64,89.59,264.9,519.48,207.87
1992,Jun,140.36,268.8,110.9,89.59,266.11,509.62,210.26
1992,Jul,129.93,278.5,102.75,89.59,246.33,528.01,194.8
1992,Aug,118.8,270.8,96.96,89.59,225.23,513.41,183.83
1992,Sep,131.47,257.0,98.05,89.59,249.25,487.25,185.89
1992,Oct,137.42,250.0,95.11,89.59,260.53,473.98,180.32
1992,Nov,145.84,252.6,94.48,89.59,276.5,478.9,179.12
1992,Dec,146.27,256.25,94.61,89.59,277.31,485.82,179.37
1993,Jan,156.92,259.75,94.21,84.15,288.97,478.33,173.49
1993,Feb,149.43,254.25,94.38,84.15,275.18,468.2,173.8
1993,Mar,145.46,230.2,97.14,84.15,267.86,423.91,178.88
1993,Apr,156.34,206.25,100.55,84.15,287.9,379.81,185.16
1993,May,140.09,184.75,98.59,84.15,257.98,340.22,181.55
1993,Jun,112.25,189.0,92.76,84.15,206.71,348.04,170.82
1993,Jul,116.77,200.75,101.25,84.15,215.03,369.68,186.45
1993,Aug,119.55,209.0,100.31,84.15,220.15,384.87,184.72
1993,Sep,115.71,206.0,100.9,84.15,213.08,379.35,185.81
1993,Oct,127.87,256.75,106.53,84.15,235.47,472.81,196.17
1993,Nov,136.41,307.75,116.67,84.15,251.2,566.72,214.85
1993,Dec,140.49,320.5,121.79,84.15,258.71,590.2,224.28
1994,Jan,152.71,356.0,127.23,79.47,274.07,638.91,228.34
1994,Feb,144.19,343.75,123.22,79.47,258.78,616.93,221.14
1994,Mar,133.49,269.75,119.4,79.47,239.57,484.12,214.29
1994,Apr,129.98,269.25,113.23,79.47,233.28,483.22,203.21
1994,May,125.25,233.0,109.59,79.47,224.79,418.17,196.68
1994,Jun,120.15,213.75,112.16,79.47,215.63,383.62,201.29
